Id;Question;Chart
393;Feature generation based on the use of variable marital-status wouldn’t be useful, but the use of fnlwgt seems to be promising.;'adult_histograms'
394;Feature generation based on the use of variable occupation wouldn’t be useful, but the use of fnlwgt seems to be promising.;'adult_histograms'
395;Feature generation based on the use of variable relationship wouldn’t be useful, but the use of fnlwgt seems to be promising.;'adult_histograms'
396;Feature generation based on the use of variable race wouldn’t be useful, but the use of fnlwgt seems to be promising.;'adult_histograms'
397;Feature generation based on the use of variable gender wouldn’t be useful, but the use of fnlwgt seems to be promising.;'adult_histograms'
398;Feature generation based on the use of variable capital-gain wouldn’t be useful, but the use of fnlwgt seems to be promising.;'adult_histograms'
399;Feature generation based on the use of variable capital-loss wouldn’t be useful, but the use of fnlwgt seems to be promising.;'adult_histograms'
400;Feature generation based on the use of variable hours-per-week wouldn’t be useful, but the use of fnlwgt seems to be promising.;'adult_histograms'
401;Feature generation based on the use of variable age wouldn’t be useful, but the use of education seems to be promising.;'adult_histograms'
402;Feature generation based on the use of variable workclass wouldn’t be useful, but the use of education seems to be promising.;'adult_histograms'
403;Feature generation based on the use of variable fnlwgt wouldn’t be useful, but the use of education seems to be promising.;'adult_histograms'
404;Feature generation based on the use of variable marital-status wouldn’t be useful, but the use of education seems to be promising.;'adult_histograms'
405;Feature generation based on the use of variable occupation wouldn’t be useful, but the use of education seems to be promising.;'adult_histograms'
406;Feature generation based on the use of variable relationship wouldn’t be useful, but the use of education seems to be promising.;'adult_histograms'
407;Feature generation based on the use of variable race wouldn’t be useful, but the use of education seems to be promising.;'adult_histograms'
408;Feature generation based on the use of variable gender wouldn’t be useful, but the use of education seems to be promising.;'adult_histograms'
409;Feature generation based on the use of variable capital-gain wouldn’t be useful, but the use of education seems to be promising.;'adult_histograms'
410;Feature generation based on the use of variable capital-loss wouldn’t be useful, but the use of education seems to be promising.;'adult_histograms'
411;Feature generation based on the use of variable hours-per-week wouldn’t be useful, but the use of education seems to be promising.;'adult_histograms'
412;Feature generation based on the use of variable age wouldn’t be useful, but the use of educational-num seems to be promising.;'adult_histograms'
413;Feature generation based on the use of variable workclass wouldn’t be useful, but the use of educational-num seems to be promising.;'adult_histograms'
414;Feature generation based on the use of variable fnlwgt wouldn’t be useful, but the use of educational-num seems to be promising.;'adult_histograms'
415;Feature generation based on the use of variable education wouldn’t be useful, but the use of educational-num seems to be promising.;'adult_histograms'
416;Feature generation based on the use of variable marital-status wouldn’t be useful, but the use of educational-num seems to be promising.;'adult_histograms'
417;Feature generation based on the use of variable occupation wouldn’t be useful, but the use of educational-num seems to be promising.;'adult_histograms'
418;Feature generation based on the use of variable relationship wouldn’t be useful, but the use of educational-num seems to be promising.;'adult_histograms'
419;Feature generation based on the use of variable race wouldn’t be useful, but the use of educational-num seems to be promising.;'adult_histograms'
420;Feature generation based on the use of variable gender wouldn’t be useful, but the use of educational-num seems to be promising.;'adult_histograms'
421;Feature generation based on the use of variable capital-gain wouldn’t be useful, but the use of educational-num seems to be promising.;'adult_histograms'
422;Feature generation based on the use of variable capital-loss wouldn’t be useful, but the use of educational-num seems to be promising.;'adult_histograms'
423;Feature generation based on the use of variable hours-per-week wouldn’t be useful, but the use of educational-num seems to be promising.;'adult_histograms'
424;Feature generation based on the use of variable age wouldn’t be useful, but the use of marital-status seems to be promising.;'adult_histograms'
425;Feature generation based on the use of variable workclass wouldn’t be useful, but the use of marital-status seems to be promising.;'adult_histograms'
426;Feature generation based on the use of variable fnlwgt wouldn’t be useful, but the use of marital-status seems to be promising.;'adult_histograms'
427;Feature generation based on the use of variable education wouldn’t be useful, but the use of marital-status seems to be promising.;'adult_histograms'
428;Feature generation based on the use of variable educational-num wouldn’t be useful, but the use of marital-status seems to be promising.;'adult_histograms'
429;Feature generation based on the use of variable occupation wouldn’t be useful, but the use of marital-status seems to be promising.;'adult_histograms'
430;Feature generation based on the use of variable relationship wouldn’t be useful, but the use of marital-status seems to be promising.;'adult_histograms'
431;Feature generation based on the use of variable race wouldn’t be useful, but the use of marital-status seems to be promising.;'adult_histograms'
432;Feature generation based on the use of variable gender wouldn’t be useful, but the use of marital-status seems to be promising.;'adult_histograms'
433;Feature generation based on the use of variable capital-gain wouldn’t be useful, but the use of marital-status seems to be promising.;'adult_histograms'
434;Feature generation based on the use of variable capital-loss wouldn’t be useful, but the use of marital-status seems to be promising.;'adult_histograms'
435;Feature generation based on the use of variable hours-per-week wouldn’t be useful, but the use of marital-status seems to be promising.;'adult_histograms'
436;Feature generation based on the use of variable age wouldn’t be useful, but the use of occupation seems to be promising.;'adult_histograms'
437;Feature generation based on the use of variable workclass wouldn’t be useful, but the use of occupation seems to be promising.;'adult_histograms'
438;Feature generation based on the use of variable fnlwgt wouldn’t be useful, but the use of occupation seems to be promising.;'adult_histograms'
439;Feature generation based on the use of variable education wouldn’t be useful, but the use of occupation seems to be promising.;'adult_histograms'
440;Feature generation based on the use of variable educational-num wouldn’t be useful, but the use of occupation seems to be promising.;'adult_histograms'
441;Feature generation based on the use of variable marital-status wouldn’t be useful, but the use of occupation seems to be promising.;'adult_histograms'
442;Feature generation based on the use of variable relationship wouldn’t be useful, but the use of occupation seems to be promising.;'adult_histograms'
443;Feature generation based on the use of variable race wouldn’t be useful, but the use of occupation seems to be promising.;'adult_histograms'
444;Feature generation based on the use of variable gender wouldn’t be useful, but the use of occupation seems to be promising.;'adult_histograms'
445;Feature generation based on the use of variable capital-gain wouldn’t be useful, but the use of occupation seems to be promising.;'adult_histograms'
446;Feature generation based on the use of variable capital-loss wouldn’t be useful, but the use of occupation seems to be promising.;'adult_histograms'
447;Feature generation based on the use of variable hours-per-week wouldn’t be useful, but the use of occupation seems to be promising.;'adult_histograms'
448;Feature generation based on the use of variable age wouldn’t be useful, but the use of relationship seems to be promising.;'adult_histograms'
449;Feature generation based on the use of variable workclass wouldn’t be useful, but the use of relationship seems to be promising.;'adult_histograms'
450;Feature generation based on the use of variable fnlwgt wouldn’t be useful, but the use of relationship seems to be promising.;'adult_histograms'
451;Feature generation based on the use of variable education wouldn’t be useful, but the use of relationship seems to be promising.;'adult_histograms'
452;Feature generation based on the use of variable educational-num wouldn’t be useful, but the use of relationship seems to be promising.;'adult_histograms'
453;Feature generation based on the use of variable marital-status wouldn’t be useful, but the use of relationship seems to be promising.;'adult_histograms'
454;Feature generation based on the use of variable occupation wouldn’t be useful, but the use of relationship seems to be promising.;'adult_histograms'
455;Feature generation based on the use of variable race wouldn’t be useful, but the use of relationship seems to be promising.;'adult_histograms'
456;Feature generation based on the use of variable gender wouldn’t be useful, but the use of relationship seems to be promising.;'adult_histograms'
457;Feature generation based on the use of variable capital-gain wouldn’t be useful, but the use of relationship seems to be promising.;'adult_histograms'
458;Feature generation based on the use of variable capital-loss wouldn’t be useful, but the use of relationship seems to be promising.;'adult_histograms'
459;Feature generation based on the use of variable hours-per-week wouldn’t be useful, but the use of relationship seems to be promising.;'adult_histograms'
460;Feature generation based on the use of variable age wouldn’t be useful, but the use of race seems to be promising.;'adult_histograms'
461;Feature generation based on the use of variable workclass wouldn’t be useful, but the use of race seems to be promising.;'adult_histograms'
462;Feature generation based on the use of variable fnlwgt wouldn’t be useful, but the use of race seems to be promising.;'adult_histograms'
463;Feature generation based on the use of variable education wouldn’t be useful, but the use of race seems to be promising.;'adult_histograms'
464;Feature generation based on the use of variable educational-num wouldn’t be useful, but the use of race seems to be promising.;'adult_histograms'
465;Feature generation based on the use of variable marital-status wouldn’t be useful, but the use of race seems to be promising.;'adult_histograms'
466;Feature generation based on the use of variable occupation wouldn’t be useful, but the use of race seems to be promising.;'adult_histograms'
467;Feature generation based on the use of variable relationship wouldn’t be useful, but the use of race seems to be promising.;'adult_histograms'
468;Feature generation based on the use of variable gender wouldn’t be useful, but the use of race seems to be promising.;'adult_histograms'
469;Feature generation based on the use of variable capital-gain wouldn’t be useful, but the use of race seems to be promising.;'adult_histograms'
470;Feature generation based on the use of variable capital-loss wouldn’t be useful, but the use of race seems to be promising.;'adult_histograms'
471;Feature generation based on the use of variable hours-per-week wouldn’t be useful, but the use of race seems to be promising.;'adult_histograms'
472;Feature generation based on the use of variable age wouldn’t be useful, but the use of gender seems to be promising.;'adult_histograms'
473;Feature generation based on the use of variable workclass wouldn’t be useful, but the use of gender seems to be promising.;'adult_histograms'
474;Feature generation based on the use of variable fnlwgt wouldn’t be useful, but the use of gender seems to be promising.;'adult_histograms'
475;Feature generation based on the use of variable education wouldn’t be useful, but the use of gender seems to be promising.;'adult_histograms'
476;Feature generation based on the use of variable educational-num wouldn’t be useful, but the use of gender seems to be promising.;'adult_histograms'
477;Feature generation based on the use of variable marital-status wouldn’t be useful, but the use of gender seems to be promising.;'adult_histograms'
478;Feature generation based on the use of variable occupation wouldn’t be useful, but the use of gender seems to be promising.;'adult_histograms'
479;Feature generation based on the use of variable relationship wouldn’t be useful, but the use of gender seems to be promising.;'adult_histograms'
480;Feature generation based on the use of variable race wouldn’t be useful, but the use of gender seems to be promising.;'adult_histograms'
481;Feature generation based on the use of variable capital-gain wouldn’t be useful, but the use of gender seems to be promising.;'adult_histograms'
482;Feature generation based on the use of variable capital-loss wouldn’t be useful, but the use of gender seems to be promising.;'adult_histograms'
483;Feature generation based on the use of variable hours-per-week wouldn’t be useful, but the use of gender seems to be promising.;'adult_histograms'
484;Feature generation based on the use of variable age wouldn’t be useful, but the use of capital-gain seems to be promising.;'adult_histograms'
485;Feature generation based on the use of variable workclass wouldn’t be useful, but the use of capital-gain seems to be promising.;'adult_histograms'
486;Feature generation based on the use of variable fnlwgt wouldn’t be useful, but the use of capital-gain seems to be promising.;'adult_histograms'
487;Feature generation based on the use of variable education wouldn’t be useful, but the use of capital-gain seems to be promising.;'adult_histograms'
488;Feature generation based on the use of variable educational-num wouldn’t be useful, but the use of capital-gain seems to be promising.;'adult_histograms'
489;Feature generation based on the use of variable marital-status wouldn’t be useful, but the use of capital-gain seems to be promising.;'adult_histograms'
490;Feature generation based on the use of variable occupation wouldn’t be useful, but the use of capital-gain seems to be promising.;'adult_histograms'
491;Feature generation based on the use of variable relationship wouldn’t be useful, but the use of capital-gain seems to be promising.;'adult_histograms'
492;Feature generation based on the use of variable race wouldn’t be useful, but the use of capital-gain seems to be promising.;'adult_histograms'
493;Feature generation based on the use of variable gender wouldn’t be useful, but the use of capital-gain seems to be promising.;'adult_histograms'
494;Feature generation based on the use of variable capital-loss wouldn’t be useful, but the use of capital-gain seems to be promising.;'adult_histograms'
495;Feature generation based on the use of variable hours-per-week wouldn’t be useful, but the use of capital-gain seems to be promising.;'adult_histograms'
496;Feature generation based on the use of variable age wouldn’t be useful, but the use of capital-loss seems to be promising.;'adult_histograms'
497;Feature generation based on the use of variable workclass wouldn’t be useful, but the use of capital-loss seems to be promising.;'adult_histograms'
498;Feature generation based on the use of variable fnlwgt wouldn’t be useful, but the use of capital-loss seems to be promising.;'adult_histograms'
499;Feature generation based on the use of variable education wouldn’t be useful, but the use of capital-loss seems to be promising.;'adult_histograms'
500;Feature generation based on the use of variable educational-num wouldn’t be useful, but the use of capital-loss seems to be promising.;'adult_histograms'
501;Feature generation based on the use of variable marital-status wouldn’t be useful, but the use of capital-loss seems to be promising.;'adult_histograms'
502;Feature generation based on the use of variable occupation wouldn’t be useful, but the use of capital-loss seems to be promising.;'adult_histograms'
503;Feature generation based on the use of variable relationship wouldn’t be useful, but the use of capital-loss seems to be promising.;'adult_histograms'
504;Feature generation based on the use of variable race wouldn’t be useful, but the use of capital-loss seems to be promising.;'adult_histograms'
505;Feature generation based on the use of variable gender wouldn’t be useful, but the use of capital-loss seems to be promising.;'adult_histograms'
506;Feature generation based on the use of variable capital-gain wouldn’t be useful, but the use of capital-loss seems to be promising.;'adult_histograms'
507;Feature generation based on the use of variable hours-per-week wouldn’t be useful, but the use of capital-loss seems to be promising.;'adult_histograms'
508;Feature generation based on the use of variable age wouldn’t be useful, but the use of hours-per-week seems to be promising.;'adult_histograms'
509;Feature generation based on the use of variable workclass wouldn’t be useful, but the use of hours-per-week seems to be promising.;'adult_histograms'
510;Feature generation based on the use of variable fnlwgt wouldn’t be useful, but the use of hours-per-week seems to be promising.;'adult_histograms'
511;Feature generation based on the use of variable education wouldn’t be useful, but the use of hours-per-week seems to be promising.;'adult_histograms'
512;Feature generation based on the use of variable educational-num wouldn’t be useful, but the use of hours-per-week seems to be promising.;'adult_histograms'
513;Feature generation based on the use of variable marital-status wouldn’t be useful, but the use of hours-per-week seems to be promising.;'adult_histograms'
514;Feature generation based on the use of variable occupation wouldn’t be useful, but the use of hours-per-week seems to be promising.;'adult_histograms'
515;Feature generation based on the use of variable relationship wouldn’t be useful, but the use of hours-per-week seems to be promising.;'adult_histograms'
516;Feature generation based on the use of variable race wouldn’t be useful, but the use of hours-per-week seems to be promising.;'adult_histograms'
517;Feature generation based on the use of variable gender wouldn’t be useful, but the use of hours-per-week seems to be promising.;'adult_histograms'
518;Feature generation based on the use of variable capital-gain wouldn’t be useful, but the use of hours-per-week seems to be promising.;'adult_histograms'
519;Feature generation based on the use of variable capital-loss wouldn’t be useful, but the use of hours-per-week seems to be promising.;'adult_histograms'
520;Feature generation based on both variables workclass and age seems to be promising.;'adult_histograms'
521;Feature generation based on both variables fnlwgt and age seems to be promising.;'adult_histograms'
522;Feature generation based on both variables education and age seems to be promising.;'adult_histograms'
523;Feature generation based on both variables educational-num and age seems to be promising.;'adult_histograms'
524;Feature generation based on both variables marital-status and age seems to be promising.;'adult_histograms'
525;Feature generation based on both variables occupation and age seems to be promising.;'adult_histograms'
526;Feature generation based on both variables relationship and age seems to be promising.;'adult_histograms'
527;Feature generation based on both variables race and age seems to be promising.;'adult_histograms'
528;Feature generation based on both variables gender and age seems to be promising.;'adult_histograms'
529;Feature generation based on both variables capital-gain and age seems to be promising.;'adult_histograms'
530;Feature generation based on both variables capital-loss and age seems to be promising.;'adult_histograms'
531;Feature generation based on both variables hours-per-week and age seems to be promising.;'adult_histograms'
532;Feature generation based on both variables age and workclass seems to be promising.;'adult_histograms'
533;Feature generation based on both variables fnlwgt and workclass seems to be promising.;'adult_histograms'
534;Feature generation based on both variables education and workclass seems to be promising.;'adult_histograms'
535;Feature generation based on both variables educational-num and workclass seems to be promising.;'adult_histograms'
536;Feature generation based on both variables marital-status and workclass seems to be promising.;'adult_histograms'
537;Feature generation based on both variables occupation and workclass seems to be promising.;'adult_histograms'
538;Feature generation based on both variables relationship and workclass seems to be promising.;'adult_histograms'
539;Feature generation based on both variables race and workclass seems to be promising.;'adult_histograms'
540;Feature generation based on both variables gender and workclass seems to be promising.;'adult_histograms'
541;Feature generation based on both variables capital-gain and workclass seems to be promising.;'adult_histograms'
542;Feature generation based on both variables capital-loss and workclass seems to be promising.;'adult_histograms'
543;Feature generation based on both variables hours-per-week and workclass seems to be promising.;'adult_histograms'
544;Feature generation based on both variables age and fnlwgt seems to be promising.;'adult_histograms'
545;Feature generation based on both variables workclass and fnlwgt seems to be promising.;'adult_histograms'
546;Feature generation based on both variables education and fnlwgt seems to be promising.;'adult_histograms'
547;Feature generation based on both variables educational-num and fnlwgt seems to be promising.;'adult_histograms'
548;Feature generation based on both variables marital-status and fnlwgt seems to be promising.;'adult_histograms'
549;Feature generation based on both variables occupation and fnlwgt seems to be promising.;'adult_histograms'
550;Feature generation based on both variables relationship and fnlwgt seems to be promising.;'adult_histograms'
551;Feature generation based on both variables race and fnlwgt seems to be promising.;'adult_histograms'
552;Feature generation based on both variables gender and fnlwgt seems to be promising.;'adult_histograms'
553;Feature generation based on both variables capital-gain and fnlwgt seems to be promising.;'adult_histograms'
554;Feature generation based on both variables capital-loss and fnlwgt seems to be promising.;'adult_histograms'
555;Feature generation based on both variables hours-per-week and fnlwgt seems to be promising.;'adult_histograms'
556;Feature generation based on both variables age and education seems to be promising.;'adult_histograms'
557;Feature generation based on both variables workclass and education seems to be promising.;'adult_histograms'
558;Feature generation based on both variables fnlwgt and education seems to be promising.;'adult_histograms'
559;Feature generation based on both variables marital-status and education seems to be promising.;'adult_histograms'
560;Feature generation based on both variables occupation and education seems to be promising.;'adult_histograms'
561;Feature generation based on both variables relationship and education seems to be promising.;'adult_histograms'
562;Feature generation based on both variables race and education seems to be promising.;'adult_histograms'
563;Feature generation based on both variables gender and education seems to be promising.;'adult_histograms'
564;Feature generation based on both variables capital-gain and education seems to be promising.;'adult_histograms'
565;Feature generation based on both variables capital-loss and education seems to be promising.;'adult_histograms'
566;Feature generation based on both variables hours-per-week and education seems to be promising.;'adult_histograms'
567;Feature generation based on both variables age and educational-num seems to be promising.;'adult_histograms'
568;Feature generation based on both variables workclass and educational-num seems to be promising.;'adult_histograms'
569;Feature generation based on both variables fnlwgt and educational-num seems to be promising.;'adult_histograms'
570;Feature generation based on both variables education and educational-num seems to be promising.;'adult_histograms'
571;Feature generation based on both variables marital-status and educational-num seems to be promising.;'adult_histograms'
572;Feature generation based on both variables occupation and educational-num seems to be promising.;'adult_histograms'
573;Feature generation based on both variables relationship and educational-num seems to be promising.;'adult_histograms'
574;Feature generation based on both variables race and educational-num seems to be promising.;'adult_histograms'
575;Feature generation based on both variables gender and educational-num seems to be promising.;'adult_histograms'
576;Feature generation based on both variables capital-gain and educational-num seems to be promising.;'adult_histograms'
577;Feature generation based on both variables capital-loss and educational-num seems to be promising.;'adult_histograms'
578;Feature generation based on both variables hours-per-week and educational-num seems to be promising.;'adult_histograms'
579;Feature generation based on both variables age and marital-status seems to be promising.;'adult_histograms'
580;Feature generation based on both variables workclass and marital-status seems to be promising.;'adult_histograms'
581;Feature generation based on both variables fnlwgt and marital-status seems to be promising.;'adult_histograms'
582;Feature generation based on both variables education and marital-status seems to be promising.;'adult_histograms'
583;Feature generation based on both variables educational-num and marital-status seems to be promising.;'adult_histograms'
584;Feature generation based on both variables occupation and marital-status seems to be promising.;'adult_histograms'
585;Feature generation based on both variables relationship and marital-status seems to be promising.;'adult_histograms'
586;Feature generation based on both variables race and marital-status seems to be promising.;'adult_histograms'
587;Feature generation based on both variables gender and marital-status seems to be promising.;'adult_histograms'
588;Feature generation based on both variables capital-gain and marital-status seems to be promising.;'adult_histograms'
589;Feature generation based on both variables capital-loss and marital-status seems to be promising.;'adult_histograms'
590;Feature generation based on both variables hours-per-week and marital-status seems to be promising.;'adult_histograms'
591;Feature generation based on both variables age and occupation seems to be promising.;'adult_histograms'
592;Feature generation based on both variables workclass and occupation seems to be promising.;'adult_histograms'
593;Feature generation based on both variables fnlwgt and occupation seems to be promising.;'adult_histograms'
594;Feature generation based on both variables education and occupation seems to be promising.;'adult_histograms'
595;Feature generation based on both variables educational-num and occupation seems to be promising.;'adult_histograms'
596;Feature generation based on both variables marital-status and occupation seems to be promising.;'adult_histograms'
597;Feature generation based on both variables relationship and occupation seems to be promising.;'adult_histograms'
598;Feature generation based on both variables race and occupation seems to be promising.;'adult_histograms'
599;Feature generation based on both variables gender and occupation seems to be promising.;'adult_histograms'
600;Feature generation based on both variables capital-gain and occupation seems to be promising.;'adult_histograms'
601;Feature generation based on both variables capital-loss and occupation seems to be promising.;'adult_histograms'
602;Feature generation based on both variables hours-per-week and occupation seems to be promising.;'adult_histograms'
603;Feature generation based on both variables age and relationship seems to be promising.;'adult_histograms'
604;Feature generation based on both variables workclass and relationship seems to be promising.;'adult_histograms'
605;Feature generation based on both variables fnlwgt and relationship seems to be promising.;'adult_histograms'
606;Feature generation based on both variables education and relationship seems to be promising.;'adult_histograms'
607;Feature generation based on both variables educational-num and relationship seems to be promising.;'adult_histograms'
608;Feature generation based on both variables marital-status and relationship seems to be promising.;'adult_histograms'
609;Feature generation based on both variables occupation and relationship seems to be promising.;'adult_histograms'
610;Feature generation based on both variables race and relationship seems to be promising.;'adult_histograms'
611;Feature generation based on both variables gender and relationship seems to be promising.;'adult_histograms'
612;Feature generation based on both variables capital-gain and relationship seems to be promising.;'adult_histograms'
613;Feature generation based on both variables capital-loss and relationship seems to be promising.;'adult_histograms'
614;Feature generation based on both variables hours-per-week and relationship seems to be promising.;'adult_histograms'
615;Feature generation based on both variables age and race seems to be promising.;'adult_histograms'
616;Feature generation based on both variables workclass and race seems to be promising.;'adult_histograms'
617;Feature generation based on both variables fnlwgt and race seems to be promising.;'adult_histograms'
618;Feature generation based on both variables education and race seems to be promising.;'adult_histograms'
619;Feature generation based on both variables educational-num and race seems to be promising.;'adult_histograms'
620;Feature generation based on both variables marital-status and race seems to be promising.;'adult_histograms'
621;Feature generation based on both variables occupation and race seems to be promising.;'adult_histograms'
622;Feature generation based on both variables relationship and race seems to be promising.;'adult_histograms'
623;Feature generation based on both variables gender and race seems to be promising.;'adult_histograms'
624;Feature generation based on both variables capital-gain and race seems to be promising.;'adult_histograms'
625;Feature generation based on both variables capital-loss and race seems to be promising.;'adult_histograms'
626;Feature generation based on both variables hours-per-week and race seems to be promising.;'adult_histograms'
627;Feature generation based on both variables age and gender seems to be promising.;'adult_histograms'
628;Feature generation based on both variables workclass and gender seems to be promising.;'adult_histograms'
629;Feature generation based on both variables fnlwgt and gender seems to be promising.;'adult_histograms'
630;Feature generation based on both variables education and gender seems to be promising.;'adult_histograms'
631;Feature generation based on both variables educational-num and gender seems to be promising.;'adult_histograms'
632;Feature generation based on both variables marital-status and gender seems to be promising.;'adult_histograms'
633;Feature generation based on both variables occupation and gender seems to be promising.;'adult_histograms'
634;Feature generation based on both variables relationship and gender seems to be promising.;'adult_histograms'
635;Feature generation based on both variables race and gender seems to be promising.;'adult_histograms'
636;Feature generation based on both variables capital-gain and gender seems to be promising.;'adult_histograms'
637;Feature generation based on both variables capital-loss and gender seems to be promising.;'adult_histograms'
638;Feature generation based on both variables hours-per-week and gender seems to be promising.;'adult_histograms'
639;Feature generation based on both variables age and capital-gain seems to be promising.;'adult_histograms'
640;Feature generation based on both variables workclass and capital-gain seems to be promising.;'adult_histograms'
641;Feature generation based on both variables fnlwgt and capital-gain seems to be promising.;'adult_histograms'
642;Feature generation based on both variables education and capital-gain seems to be promising.;'adult_histograms'
643;Feature generation based on both variables educational-num and capital-gain seems to be promising.;'adult_histograms'
644;Feature generation based on both variables marital-status and capital-gain seems to be promising.;'adult_histograms'
645;Feature generation based on both variables occupation and capital-gain seems to be promising.;'adult_histograms'
646;Feature generation based on both variables relationship and capital-gain seems to be promising.;'adult_histograms'
647;Feature generation based on both variables race and capital-gain seems to be promising.;'adult_histograms'
648;Feature generation based on both variables gender and capital-gain seems to be promising.;'adult_histograms'
649;Feature generation based on both variables capital-loss and capital-gain seems to be promising.;'adult_histograms'
650;Feature generation based on both variables hours-per-week and capital-gain seems to be promising.;'adult_histograms'
651;Feature generation based on both variables age and capital-loss seems to be promising.;'adult_histograms'
652;Feature generation based on both variables workclass and capital-loss seems to be promising.;'adult_histograms'
653;Feature generation based on both variables fnlwgt and capital-loss seems to be promising.;'adult_histograms'
654;Feature generation based on both variables education and capital-loss seems to be promising.;'adult_histograms'
655;Feature generation based on both variables educational-num and capital-loss seems to be promising.;'adult_histograms'
656;Feature generation based on both variables marital-status and capital-loss seems to be promising.;'adult_histograms'
657;Feature generation based on both variables occupation and capital-loss seems to be promising.;'adult_histograms'
658;Feature generation based on both variables relationship and capital-loss seems to be promising.;'adult_histograms'
659;Feature generation based on both variables race and capital-loss seems to be promising.;'adult_histograms'
660;Feature generation based on both variables gender and capital-loss seems to be promising.;'adult_histograms'
661;Feature generation based on both variables capital-gain and capital-loss seems to be promising.;'adult_histograms'
662;Feature generation based on both variables hours-per-week and capital-loss seems to be promising.;'adult_histograms'
663;Feature generation based on both variables age and hours-per-week seems to be promising.;'adult_histograms'
664;Feature generation based on both variables workclass and hours-per-week seems to be promising.;'adult_histograms'
665;Feature generation based on both variables fnlwgt and hours-per-week seems to be promising.;'adult_histograms'
666;Feature generation based on both variables education and hours-per-week seems to be promising.;'adult_histograms'
667;Feature generation based on both variables educational-num and hours-per-week seems to be promising.;'adult_histograms'
668;Feature generation based on both variables marital-status and hours-per-week seems to be promising.;'adult_histograms'
669;Feature generation based on both variables occupation and hours-per-week seems to be promising.;'adult_histograms'
670;Feature generation based on both variables relationship and hours-per-week seems to be promising.;'adult_histograms'
671;Feature generation based on both variables race and hours-per-week seems to be promising.;'adult_histograms'
672;Feature generation based on both variables gender and hours-per-week seems to be promising.;'adult_histograms'
673;Feature generation based on both variables capital-gain and hours-per-week seems to be promising.;'adult_histograms'
674;Feature generation based on both variables capital-loss and hours-per-week seems to be promising.;'adult_histograms'
675;There is no reason to believe that discarding records showing missing values is safer than discarding the corresponding variables in this case.;'adult_mv'
676;Dropping all rows with missing values can lead to a dataset with less than 25% of the original data.;'adult_mv'
677;Dropping all rows with missing values can lead to a dataset with less than 30% of the original data.;'adult_mv'
678;Dropping all rows with missing values can lead to a dataset with less than 40% of the original data.;'adult_mv'
679;Dropping all records with missing values would be better than to drop the variables with missing values.;'adult_mv'
680;Discarding variables workclass and age would be better than discarding all the records with missing values for those variables.;'adult_mv'
681;Discarding variables fnlwgt and age would be better than discarding all the records with missing values for those variables.;'adult_mv'
682;Discarding variables education and age would be better than discarding all the records with missing values for those variables.;'adult_mv'
683;Discarding variables educational-num and age would be better than discarding all the records with missing values for those variables.;'adult_mv'
684;Discarding variables marital-status and age would be better than discarding all the records with missing values for those variables.;'adult_mv'
685;Discarding variables occupation and age would be better than discarding all the records with missing values for those variables.;'adult_mv'
686;Discarding variables relationship and age would be better than discarding all the records with missing values for those variables.;'adult_mv'
687;Discarding variables race and age would be better than discarding all the records with missing values for those variables.;'adult_mv'
688;Discarding variables gender and age would be better than discarding all the records with missing values for those variables.;'adult_mv'
689;Discarding variables capital-gain and age would be better than discarding all the records with missing values for those variables.;'adult_mv'
690;Discarding variables capital-loss and age would be better than discarding all the records with missing values for those variables.;'adult_mv'
691;Discarding variables hours-per-week and age would be better than discarding all the records with missing values for those variables.;'adult_mv'
692;Discarding variables age and workclass would be better than discarding all the records with missing values for those variables.;'adult_mv'
693;Discarding variables fnlwgt and workclass would be better than discarding all the records with missing values for those variables.;'adult_mv'
694;Discarding variables education and workclass would be better than discarding all the records with missing values for those variables.;'adult_mv'
695;Discarding variables educational-num and workclass would be better than discarding all the records with missing values for those variables.;'adult_mv'
696;Discarding variables marital-status and workclass would be better than discarding all the records with missing values for those variables.;'adult_mv'
697;Discarding variables occupation and workclass would be better than discarding all the records with missing values for those variables.;'adult_mv'
698;Discarding variables relationship and workclass would be better than discarding all the records with missing values for those variables.;'adult_mv'
699;Discarding variables race and workclass would be better than discarding all the records with missing values for those variables.;'adult_mv'
700;Discarding variables gender and workclass would be better than discarding all the records with missing values for those variables.;'adult_mv'
701;Discarding variables capital-gain and workclass would be better than discarding all the records with missing values for those variables.;'adult_mv'
702;Discarding variables capital-loss and workclass would be better than discarding all the records with missing values for those variables.;'adult_mv'
703;Discarding variables hours-per-week and workclass would be better than discarding all the records with missing values for those variables.;'adult_mv'
704;Discarding variables age and fnlwgt would be better than discarding all the records with missing values for those variables.;'adult_mv'
705;Discarding variables workclass and fnlwgt would be better than discarding all the records with missing values for those variables.;'adult_mv'
706;Discarding variables education and fnlwgt would be better than discarding all the records with missing values for those variables.;'adult_mv'
707;Discarding variables educational-num and fnlwgt would be better than discarding all the records with missing values for those variables.;'adult_mv'
708;Discarding variables marital-status and fnlwgt would be better than discarding all the records with missing values for those variables.;'adult_mv'
709;Discarding variables occupation and fnlwgt would be better than discarding all the records with missing values for those variables.;'adult_mv'
710;Discarding variables relationship and fnlwgt would be better than discarding all the records with missing values for those variables.;'adult_mv'
711;Discarding variables race and fnlwgt would be better than discarding all the records with missing values for those variables.;'adult_mv'
712;Discarding variables gender and fnlwgt would be better than discarding all the records with missing values for those variables.;'adult_mv'
713;Discarding variables capital-gain and fnlwgt would be better than discarding all the records with missing values for those variables.;'adult_mv'
