Question;Chart
Variables educational-num and capital-loss are redundant, but we can’t say the same for the pair age and workclass.;'adult_correlation_heatmap'
Variables occupation and relationship are redundant, but we can’t say the same for the pair capital-gain and capital-loss.;'adult_correlation_heatmap'
Variables age and gender are redundant, but we can’t say the same for the pair workclass and fnlwgt.;'adult_correlation_heatmap'
Variables educational-num and occupation are redundant, but we can’t say the same for the pair workclass and marital-status.;'adult_correlation_heatmap'
Variables fnlwgt and race are redundant, but we can’t say the same for the pair gender and hours-per-week.;'adult_correlation_heatmap'
Variables race and gender are redundant, but we can’t say the same for the pair relationship and hours-per-week.;'adult_correlation_heatmap'
Variables occupation and hours-per-week are redundant, but we can’t say the same for the pair educational-num and gender.;'adult_correlation_heatmap'
Variables workclass and capital-gain are redundant, but we can’t say the same for the pair age and gender.;'adult_correlation_heatmap'
Variables age and marital-status are redundant, but we can’t say the same for the pair educational-num and capital-gain.;'adult_correlation_heatmap'
Variables education and gender are redundant, but we can’t say the same for the pair educational-num and relationship.;'adult_correlation_heatmap'
Variables workclass and occupation are redundant, but we can’t say the same for the pair fnlwgt and relationship.;'adult_correlation_heatmap'
Variables age and gender are redundant, but we can’t say the same for the pair marital-status and capital-loss.;'adult_correlation_heatmap'
Variables fnlwgt and educational-num are redundant, but we can’t say the same for the pair education and marital-status.;'adult_correlation_heatmap'
Variables fnlwgt and marital-status are redundant, but we can’t say the same for the pair gender and capital-loss.;'adult_correlation_heatmap'
Variables occupation and relationship are redundant, but we can’t say the same for the pair educational-num and capital-loss.;'adult_correlation_heatmap'
Variables age and capital-gain are redundant, but we can’t say the same for the pair fnlwgt and education.;'adult_correlation_heatmap'
Variables capital-loss and hours-per-week are redundant, but we can’t say the same for the pair age and workclass.;'adult_correlation_heatmap'
Variables education and gender are redundant, but we can’t say the same for the pair occupation and capital-gain.;'adult_correlation_heatmap'
Variables age and race are redundant, but we can’t say the same for the pair workclass and educational-num.;'adult_correlation_heatmap'
Variables educational-num and occupation are redundant, but we can’t say the same for the pair gender and capital-gain.;'adult_correlation_heatmap'
Variables educational-num and capital-gain are redundant, but we can’t say the same for the pair education and relationship.;'adult_correlation_heatmap'
Variables fnlwgt and capital-gain are redundant, but we can’t say the same for the pair education and marital-status.;'adult_correlation_heatmap'
Variables age and fnlwgt are redundant, but we can’t say the same for the pair gender and capital-gain.;'adult_correlation_heatmap'
Variables capital-gain and hours-per-week are redundant, but we can’t say the same for the pair occupation and gender.;'adult_correlation_heatmap'
Variables race and capital-loss are redundant, but we can’t say the same for the pair fnlwgt and occupation.;'adult_correlation_heatmap'
Variables workclass and hours-per-week are redundant, but we can’t say the same for the pair fnlwgt and gender.;'adult_correlation_heatmap'
Variables occupation and hours-per-week are redundant, but we can’t say the same for the pair education and gender.;'adult_correlation_heatmap'
Variables race and capital-loss are redundant, but we can’t say the same for the pair marital-status and gender.;'adult_correlation_heatmap'
Variables race and gender are redundant, but we can’t say the same for the pair fnlwgt and marital-status.;'adult_correlation_heatmap'
Variables capital-gain and hours-per-week are redundant, but we can’t say the same for the pair fnlwgt and occupation.;'adult_correlation_heatmap'
Variables capital-gain and capital-loss are redundant, but we can’t say the same for the pair educational-num and occupation.;'adult_correlation_heatmap'
Variables fnlwgt and occupation are redundant, but we can’t say the same for the pair relationship and race.;'adult_correlation_heatmap'
Variables fnlwgt and marital-status are redundant, but we can’t say the same for the pair occupation and capital-loss.;'adult_correlation_heatmap'
Variables occupation and relationship are redundant, but we can’t say the same for the pair educational-num and gender.;'adult_correlation_heatmap'
Variables educational-num and occupation are redundant, but we can’t say the same for the pair workclass and fnlwgt.;'adult_correlation_heatmap'
Variables fnlwgt and educational-num are redundant, but we can’t say the same for the pair marital-status and capital-loss.;'adult_correlation_heatmap'
Variables workclass and marital-status are redundant, but we can’t say the same for the pair educational-num and capital-loss.;'adult_correlation_heatmap'
Variables workclass and capital-loss are redundant, but we can’t say the same for the pair education and race.;'adult_correlation_heatmap'
Variables workclass and occupation are redundant, but we can’t say the same for the pair fnlwgt and education.;'adult_correlation_heatmap'
Variables relationship and race are redundant, but we can’t say the same for the pair age and marital-status.;'adult_correlation_heatmap'
Variables workclass and hours-per-week are redundant, but we can’t say the same for the pair race and gender.;'adult_correlation_heatmap'
Variables race and hours-per-week are redundant, but we can’t say the same for the pair age and workclass.;'adult_correlation_heatmap'
Variables occupation and capital-gain are redundant, but we can’t say the same for the pair education and hours-per-week.;'adult_correlation_heatmap'
Variables relationship and hours-per-week are redundant, but we can’t say the same for the pair workclass and fnlwgt.;'adult_correlation_heatmap'
Variables occupation and gender are redundant, but we can’t say the same for the pair education and capital-loss.;'adult_correlation_heatmap'
Variables gender and capital-gain are redundant, but we can’t say the same for the pair fnlwgt and marital-status.;'adult_correlation_heatmap'
Variables marital-status and hours-per-week are redundant, but we can’t say the same for the pair fnlwgt and education.;'adult_correlation_heatmap'
Variables fnlwgt and educational-num are redundant, but we can’t say the same for the pair race and hours-per-week.;'adult_correlation_heatmap'
Variables age and relationship are redundant, but we can’t say the same for the pair workclass and education.;'adult_correlation_heatmap'
Variables fnlwgt and marital-status are redundant, but we can’t say the same for the pair age and gender.;'adult_correlation_heatmap'
Variables education and relationship are redundant, but we can’t say the same for the pair marital-status and capital-loss.;'adult_correlation_heatmap'
Variables fnlwgt and capital-loss are redundant, but we can’t say the same for the pair marital-status and occupation.;'adult_correlation_heatmap'
Variables fnlwgt and relationship are redundant, but we can’t say the same for the pair capital-gain and hours-per-week.;'adult_correlation_heatmap'
Variables relationship and hours-per-week are redundant, but we can’t say the same for the pair workclass and education.;'adult_correlation_heatmap'
Variables marital-status and capital-loss are redundant, but we can’t say the same for the pair age and occupation.;'adult_correlation_heatmap'
Variables workclass and gender are redundant, but we can’t say the same for the pair educational-num and capital-gain.;'adult_correlation_heatmap'
Variables gender and capital-loss are redundant, but we can’t say the same for the pair educational-num and race.;'adult_correlation_heatmap'
Variables educational-num and occupation are redundant, but we can’t say the same for the pair marital-status and race.;'adult_correlation_heatmap'
Variables education and relationship are redundant, but we can’t say the same for the pair marital-status and occupation.;'adult_correlation_heatmap'
Variables fnlwgt and marital-status are redundant, but we can’t say the same for the pair race and capital-loss.;'adult_correlation_heatmap'
Variables age and education are redundant, but we can’t say the same for the pair relationship and hours-per-week.;'adult_correlation_heatmap'
Variables workclass and capital-loss are redundant, but we can’t say the same for the pair fnlwgt and occupation.;'adult_correlation_heatmap'
Variables race and capital-loss are redundant, but we can’t say the same for the pair fnlwgt and hours-per-week.;'adult_correlation_heatmap'
Variables relationship and capital-loss are redundant, but we can’t say the same for the pair marital-status and hours-per-week.;'adult_correlation_heatmap'
Variables race and gender are redundant, but we can’t say the same for the pair education and capital-gain.;'adult_correlation_heatmap'
Variables age and educational-num are redundant, but we can’t say the same for the pair occupation and gender.;'adult_correlation_heatmap'
Variables age and relationship are redundant, but we can’t say the same for the pair educational-num and capital-gain.;'adult_correlation_heatmap'
Variables workclass and fnlwgt are redundant, but we can’t say the same for the pair age and educational-num.;'adult_correlation_heatmap'
Variables marital-status and capital-loss are redundant, but we can’t say the same for the pair gender and capital-gain.;'adult_correlation_heatmap'
Variables educational-num and hours-per-week are redundant, but we can’t say the same for the pair education and marital-status.;'adult_correlation_heatmap'
Variables educational-num and occupation are redundant, but we can’t say the same for the pair education and relationship.;'adult_correlation_heatmap'
Variables age and occupation are redundant, but we can’t say the same for the pair workclass and capital-loss.;'adult_correlation_heatmap'
Variables workclass and gender are redundant, but we can’t say the same for the pair age and race.;'adult_correlation_heatmap'
Variables age and marital-status are redundant, but we can’t say the same for the pair gender and capital-loss.;'adult_correlation_heatmap'
Variables relationship and capital-loss are redundant, but we can’t say the same for the pair occupation and race.;'adult_correlation_heatmap'
Variables educational-num and relationship are redundant, but we can’t say the same for the pair education and hours-per-week.;'adult_correlation_heatmap'
Variables educational-num and capital-loss are redundant, but we can’t say the same for the pair education and gender.;'adult_correlation_heatmap'
Variables age and marital-status are redundant, but we can’t say the same for the pair relationship and capital-gain.;'adult_correlation_heatmap'
Variables fnlwgt and capital-gain are redundant, but we can’t say the same for the pair age and hours-per-week.;'adult_correlation_heatmap'
Variables workclass and gender are redundant, but we can’t say the same for the pair age and educational-num.;'adult_correlation_heatmap'
Variables education and marital-status are redundant, but we can’t say the same for the pair educational-num and race.;'adult_correlation_heatmap'
Variables workclass and capital-gain are redundant, but we can’t say the same for the pair occupation and race.;'adult_correlation_heatmap'
Variables gender and capital-loss are redundant, but we can’t say the same for the pair relationship and hours-per-week.;'adult_correlation_heatmap'
Variables workclass and fnlwgt are redundant, but we can’t say the same for the pair marital-status and gender.;'adult_correlation_heatmap'
Variables capital-gain and capital-loss are redundant, but we can’t say the same for the pair marital-status and gender.;'adult_correlation_heatmap'
Variables marital-status and capital-loss are redundant, but we can’t say the same for the pair fnlwgt and relationship.;'adult_correlation_heatmap'
Variables relationship and capital-loss are redundant, but we can’t say the same for the pair fnlwgt and occupation.;'adult_correlation_heatmap'
Variables fnlwgt and educational-num are redundant, but we can’t say the same for the pair relationship and race.;'adult_correlation_heatmap'
Variables workclass and relationship are redundant, but we can’t say the same for the pair race and capital-loss.;'adult_correlation_heatmap'
Variables educational-num and race are redundant, but we can’t say the same for the pair fnlwgt and relationship.;'adult_correlation_heatmap'
Variables age and gender are redundant, but we can’t say the same for the pair educational-num and hours-per-week.;'adult_correlation_heatmap'
Variables education and marital-status are redundant, but we can’t say the same for the pair gender and capital-loss.;'adult_correlation_heatmap'
Variables age and capital-gain are redundant, but we can’t say the same for the pair workclass and capital-loss.;'adult_correlation_heatmap'
Variables relationship and capital-loss are redundant, but we can’t say the same for the pair education and hours-per-week.;'adult_correlation_heatmap'
Variables relationship and capital-loss are redundant, but we can’t say the same for the pair workclass and fnlwgt.;'adult_correlation_heatmap'
Variables workclass and race are redundant, but we can’t say the same for the pair occupation and capital-gain.;'adult_correlation_heatmap'
Variables marital-status and relationship are redundant, but we can’t say the same for the pair educational-num and gender.;'adult_correlation_heatmap'
Variables fnlwgt and education are redundant, but we can’t say the same for the pair relationship and race.;'adult_correlation_heatmap'
Variables relationship and capital-loss are redundant, but we can’t say the same for the pair age and fnlwgt.;'adult_correlation_heatmap'
Variables fnlwgt and capital-gain are redundant, but we can’t say the same for the pair relationship and gender.;'adult_correlation_heatmap'
Variables gender and capital-gain are redundant, but we can’t say the same for the pair marital-status and capital-loss.;'adult_correlation_heatmap'
Variables marital-status and gender are redundant, but we can’t say the same for the pair age and occupation.;'adult_correlation_heatmap'
Variables educational-num and race are redundant, but we can’t say the same for the pair capital-gain and hours-per-week.;'adult_correlation_heatmap'
The variable age can be discarded without risking losing information.;'adult_correlation_heatmap'
The variable fnlwgt can be discarded without risking losing information.;'adult_correlation_heatmap'
The variable educational-num can be discarded without risking losing information.;'adult_correlation_heatmap'
The variable capital-gain can be discarded without risking losing information.;'adult_correlation_heatmap'
The variable capital-loss can be discarded without risking losing information.;'adult_correlation_heatmap'
The variable hours-per-week can be discarded without risking losing information.;'adult_correlation_heatmap'
One of the variables fnlwgt or age can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables educational-num or age can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables capital-gain or age can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables capital-loss or age can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables hours-per-week or age can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables age or fnlwgt can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables educational-num or fnlwgt can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables capital-gain or fnlwgt can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables capital-loss or fnlwgt can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables hours-per-week or fnlwgt can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables age or educational-num can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables fnlwgt or educational-num can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables capital-gain or educational-num can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables capital-loss or educational-num can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables hours-per-week or educational-num can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables age or capital-gain can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables fnlwgt or capital-gain can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables educational-num or capital-gain can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables capital-loss or capital-gain can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables hours-per-week or capital-gain can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables age or capital-loss can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables fnlwgt or capital-loss can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables educational-num or capital-loss can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables capital-gain or capital-loss can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables hours-per-week or capital-loss can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables age or hours-per-week can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables fnlwgt or hours-per-week can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables educational-num or hours-per-week can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables capital-gain or hours-per-week can be discarded without losing information.;'adult_correlation_heatmap'
One of the variables capital-loss or hours-per-week can be discarded without losing information.;'adult_correlation_heatmap'
The existence of outliers is one of the problems to tackle in this dataset.;'adult_boxplots'
The boxplots presented show a large number of outliers for most of the numeric variables.; 'adult_histograms_numeric'
The histograms presented show a large number of outliers for most of the numeric variables.;'adult_boxplots'
At least 50 of the variables present outliers.; 'adult_histograms_numeric'
At least 60 of the variables present outliers.;'adult_boxplots'
At least 75 of the variables present outliers.;'adult_boxplots'
At least 85 of the variables present outliers.; 'adult_histograms_numeric'
Variable age presents some outliers.; 'adult_histograms_numeric'
Variable fnlwgt presents some outliers.;'adult_boxplots'
Variable educational-num presents some outliers.;'adult_boxplots'
Variable capital-gain presents some outliers.;'adult_boxplots'
Variable capital-loss presents some outliers.; 'adult_histograms_numeric'
Variable hours-per-week presents some outliers.;'adult_boxplots'
Variable age doesn’t have any outliers.; 'adult_histograms_numeric'
Variable fnlwgt doesn’t have any outliers.; 'adult_histograms_numeric'
Variable educational-num doesn’t have any outliers.; 'adult_histograms_numeric'
Variable capital-gain doesn’t have any outliers.;'adult_boxplots'
Variable capital-loss doesn’t have any outliers.;'adult_boxplots'
Variable hours-per-week doesn’t have any outliers.;'adult_boxplots'
Variable age shows some outlier values.;'adult_boxplots'
Variable fnlwgt shows some outlier values.; 'adult_histograms_numeric'
Variable educational-num shows some outlier values.; 'adult_histograms_numeric'
Variable capital-gain shows some outlier values.;'adult_boxplots'
Variable capital-loss shows some outlier values.; 'adult_histograms_numeric'
Variable hours-per-week shows some outlier values.;'adult_boxplots'
Variable age shows a high number of outlier values.; 'adult_histograms_numeric'
Variable fnlwgt shows a high number of outlier values.;'adult_boxplots'
Variable educational-num shows a high number of outlier values.;'adult_boxplots'
Variable capital-gain shows a high number of outlier values.;'adult_boxplots'
Variable capital-loss shows a high number of outlier values.;'adult_boxplots'
Variable hours-per-week shows a high number of outlier values.; 'adult_histograms_numeric'
Outliers seem to be a problem in the dataset.; 'adult_histograms_numeric'
It is clear that variable fnlwgt shows some outliers, but we can’t be sure of the same for variable age.;'adult_boxplots'
It is clear that variable educational-num shows some outliers, but we can’t be sure of the same for variable age.; 'adult_histograms_numeric'
It is clear that variable capital-gain shows some outliers, but we can’t be sure of the same for variable age.; 'adult_histograms_numeric'
It is clear that variable capital-loss shows some outliers, but we can’t be sure of the same for variable age.;'adult_boxplots'
It is clear that variable hours-per-week shows some outliers, but we can’t be sure of the same for variable age.; 'adult_histograms_numeric'
It is clear that variable age shows some outliers, but we can’t be sure of the same for variable fnlwgt.; 'adult_histograms_numeric'
It is clear that variable educational-num shows some outliers, but we can’t be sure of the same for variable fnlwgt.;'adult_boxplots'
It is clear that variable capital-gain shows some outliers, but we can’t be sure of the same for variable fnlwgt.; 'adult_histograms_numeric'
It is clear that variable capital-loss shows some outliers, but we can’t be sure of the same for variable fnlwgt.; 'adult_histograms_numeric'
It is clear that variable hours-per-week shows some outliers, but we can’t be sure of the same for variable fnlwgt.; 'adult_histograms_numeric'
It is clear that variable age shows some outliers, but we can’t be sure of the same for variable educational-num.;'adult_boxplots'
It is clear that variable fnlwgt shows some outliers, but we can’t be sure of the same for variable educational-num.;'adult_boxplots'
It is clear that variable capital-gain shows some outliers, but we can’t be sure of the same for variable educational-num.; 'adult_histograms_numeric'
It is clear that variable capital-loss shows some outliers, but we can’t be sure of the same for variable educational-num.;'adult_boxplots'
It is clear that variable hours-per-week shows some outliers, but we can’t be sure of the same for variable educational-num.; 'adult_histograms_numeric'
It is clear that variable age shows some outliers, but we can’t be sure of the same for variable capital-gain.; 'adult_histograms_numeric'
It is clear that variable fnlwgt shows some outliers, but we can’t be sure of the same for variable capital-gain.; 'adult_histograms_numeric'
It is clear that variable educational-num shows some outliers, but we can’t be sure of the same for variable capital-gain.;'adult_boxplots'
It is clear that variable capital-loss shows some outliers, but we can’t be sure of the same for variable capital-gain.;'adult_boxplots'
It is clear that variable hours-per-week shows some outliers, but we can’t be sure of the same for variable capital-gain.;'adult_boxplots'
It is clear that variable age shows some outliers, but we can’t be sure of the same for variable capital-loss.; 'adult_histograms_numeric'
It is clear that variable fnlwgt shows some outliers, but we can’t be sure of the same for variable capital-loss.; 'adult_histograms_numeric'
It is clear that variable educational-num shows some outliers, but we can’t be sure of the same for variable capital-loss.; 'adult_histograms_numeric'
It is clear that variable capital-gain shows some outliers, but we can’t be sure of the same for variable capital-loss.;'adult_boxplots'
It is clear that variable hours-per-week shows some outliers, but we can’t be sure of the same for variable capital-loss.; 'adult_histograms_numeric'
It is clear that variable age shows some outliers, but we can’t be sure of the same for variable hours-per-week.; 'adult_histograms_numeric'
It is clear that variable fnlwgt shows some outliers, but we can’t be sure of the same for variable hours-per-week.; 'adult_histograms_numeric'
It is clear that variable educational-num shows some outliers, but we can’t be sure of the same for variable hours-per-week.;'adult_boxplots'
It is clear that variable capital-gain shows some outliers, but we can’t be sure of the same for variable hours-per-week.;'adult_boxplots'
It is clear that variable capital-loss shows some outliers, but we can’t be sure of the same for variable hours-per-week.; 'adult_histograms_numeric'
Those boxplots show that the data is not normalized.;'adult_boxplots'
Variable age is balanced.; 'adult_boxplots'
Variable fnlwgt is balanced.;'adult_histograms_numeric'
Variable educational-num is balanced.;'adult_histograms_numeric'
Variable capital-gain is balanced.;'adult_histograms_numeric'
Variable capital-loss is balanced.;'adult_histograms_numeric'
Variable hours-per-week is balanced.;'adult_histograms_numeric'
The variable age can be seen as ordinal without losing information.; 'adult_histograms'
The variable workclass can be seen as ordinal without losing information.; 'adult_histograms'
The variable fnlwgt can be seen as ordinal without losing information.; 'adult_histograms'
The variable education can be seen as ordinal without losing information.; 'adult_histograms'
The variable educational-num can be seen as ordinal without losing information.; 'adult_histograms'
The variable marital-status can be seen as ordinal without losing information.; 'adult_histograms'
The variable occupation can be seen as ordinal without losing information.; 'adult_histograms'
The variable relationship can be seen as ordinal without losing information.; 'adult_histograms'
The variable race can be seen as ordinal without losing information.; 'adult_histograms'
The variable gender can be seen as ordinal without losing information.; 'adult_histograms'
The variable capital-gain can be seen as ordinal without losing information.; 'adult_histograms'
The variable capital-loss can be seen as ordinal without losing information.; 'adult_histograms'
The variable hours-per-week can be seen as ordinal without losing information.; 'adult_histograms'
The variable age can be seen as ordinal.; 'adult_histograms'
The variable workclass can be seen as ordinal.; 'adult_histograms'
The variable fnlwgt can be seen as ordinal.; 'adult_histograms'
The variable education can be seen as ordinal.; 'adult_histograms'
The variable educational-num can be seen as ordinal.; 'adult_histograms'
The variable marital-status can be seen as ordinal.; 'adult_histograms'
The variable occupation can be seen as ordinal.; 'adult_histograms'
The variable relationship can be seen as ordinal.; 'adult_histograms'
The variable race can be seen as ordinal.; 'adult_histograms'
The variable gender can be seen as ordinal.; 'adult_histograms'
The variable capital-gain can be seen as ordinal.; 'adult_histograms'
The variable capital-loss can be seen as ordinal.; 'adult_histograms'
The variable hours-per-week can be seen as ordinal.; 'adult_histograms'
All variables, but the class, should be dealt with as numeric.; 'adult_histograms'
All variables, but the class, should be dealt with as binary.; 'adult_histograms'
All variables, but the class, should be dealt with as date.; 'adult_histograms'
All variables, but the class, should be dealt with as symbolic.; 'adult_histograms'
The intrinsic dimensionality of this dataset is 89.;'adult_correlation_heatmap'
The intrinsic dimensionality of this dataset is 90.;'adult_correlation_heatmap'
The intrinsic dimensionality of this dataset is 54.;'adult_correlation_heatmap'
The intrinsic dimensionality of this dataset is 16.;'adult_correlation_heatmap'
The intrinsic dimensionality of this dataset is 32.;'adult_correlation_heatmap'
We face the curse of dimensionality when training a classifier with this dataset.;'adult_nr_records_nr_variables'
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;'adult_nr_records_nr_variables'
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;'adult_nr_records_nr_variables'
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;'adult_nr_records_nr_variables'
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;'adult_nr_records_nr_variables'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that Naive Bayes algorithm classifies (A,B), as 1.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that Naive Bayes algorithm classifies (not A, B), as 1.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that Naive Bayes algorithm classifies (A, not B), as 1.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that Naive Bayes algorithm classifies (not A, not B), as 1.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that Naive Bayes algorithm classifies (A,B), as 0.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that Naive Bayes algorithm classifies (not A, B), as 0.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that Naive Bayes algorithm classifies (A, not B), as 0.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that Naive Bayes algorithm classifies (not A, not B), as 0.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (A,B) as 1 for any k ≤ 4831.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (not A, B) as 1 for any k ≤ 4831.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (A, not B) as 1 for any k ≤ 4831.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (not A, not B) as 1 for any k ≤ 4831.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (A,B) as 0 for any k ≤ 4831.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (not A, B) as 0 for any k ≤ 4831.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (A, not B) as 0 for any k ≤ 4831.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (not A, not B) as 0 for any k ≤ 4831.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (A,B) as 1 for any k ≤ 114.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (not A, B) as 1 for any k ≤ 114.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (A, not B) as 1 for any k ≤ 114.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (not A, not B) as 1 for any k ≤ 114.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (A,B) as 0 for any k ≤ 114.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (not A, B) as 0 for any k ≤ 114.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (A, not B) as 0 for any k ≤ 114.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (not A, not B) as 0 for any k ≤ 114.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (A,B) as 1 for any k ≤ 1931.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (not A, B) as 1 for any k ≤ 1931.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (A, not B) as 1 for any k ≤ 1931.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (not A, not B) as 1 for any k ≤ 1931.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (A,B) as 0 for any k ≤ 1931.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (not A, B) as 0 for any k ≤ 1931.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (A, not B) as 0 for any k ≤ 1931.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (not A, not B) as 0 for any k ≤ 1931.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (A,B) as 1 for any k ≤ 124.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (not A, B) as 1 for any k ≤ 124.;'Churn_Modelling_decision_tree'
Considering that A=True<=>Age<=42.5 and B=True<=>NumOfProducts<=2.5, it is possible to state that KNN algorithm classifies (A, not B) as 1 for any k ≤ 124.;'Churn_Modelling_decision_tree'
