no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,avg_price_per_room,no_of_special_requests,booking_status
2,0,1,4,Meal Plan 1,0,Room_Type 4,25,2018,12,7,0,96.9,2,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,68,2017,11,28,0,60.0,0,Not_Canceled
1,0,2,1,Not Selected,0,Room_Type 1,24,2018,12,4,0,88.0,2,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,11,2018,4,29,0,122.33,0,Canceled
3,0,0,1,Meal Plan 1,0,Room_Type 4,116,2018,7,28,0,137.7,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,3,2018,2,7,0,72.07,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,103,2018,4,5,0,84.58,1,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,13,2018,10,17,0,140.0,2,Not_Canceled
2,2,0,1,Meal Plan 2,0,Room_Type 6,44,2018,8,10,0,259.2,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,54,2018,7,3,0,85.5,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,4,19,0,111.0,0,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,5,2018,3,8,0,1.0,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,153,2018,7,23,0,108.45,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,56,2018,9,3,0,120.38,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,59,2018,4,19,0,85.5,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,14,2017,10,15,0,100.0,0,Not_Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,23,2018,9,11,0,84.7,0,Not_Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 1,75,2018,5,22,0,115.85,2,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,11,2017,8,28,0,81.0,2,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,34,2018,9,25,0,117.0,1,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,19,2018,2,11,0,55.32,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,41,2018,12,27,0,65.0,0,Not_Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 1,17,2017,12,18,0,82.0,1,Not_Canceled
3,0,1,1,Meal Plan 1,0,Room_Type 4,14,2018,3,26,0,182.0,0,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,12,2018,8,14,0,131.5,3,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,54,2018,10,16,0,81.0,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,191,2018,6,3,0,132.0,0,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,53,2017,12,29,0,81.0,1,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,109,2018,10,24,0,89.4,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,37,2018,8,21,0,135.9,0,Not_Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,119,2018,6,28,0,112.5,0,Canceled
3,0,1,3,Meal Plan 1,0,Room_Type 4,46,2018,3,21,0,124.1,1,Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,0,90.0,0,Not_Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,26,2018,5,22,0,121.0,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,301,2018,11,18,0,52.0,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,37,2018,5,18,0,89.0,0,Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 4,7,2018,4,9,0,138.0,0,Canceled
2,0,1,0,Not Selected,0,Room_Type 4,0,2017,8,17,0,129.0,0,Not_Canceled
2,0,1,0,Meal Plan 1,1,Room_Type 4,168,2018,5,29,0,132.3,3,Not_Canceled
2,0,0,1,Not Selected,1,Room_Type 1,11,2018,2,5,0,90.0,0,Not_Canceled
2,0,2,6,Meal Plan 2,0,Room_Type 1,107,2018,6,28,0,140.25,1,Not_Canceled
2,2,1,3,Meal Plan 1,0,Room_Type 6,77,2018,5,2,0,187.85,1,Not_Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,219,2017,9,4,0,108.0,0,Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,6,2018,2,28,0,54.0,0,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,54,2018,2,27,0,73.5,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,172,2018,9,16,0,80.75,0,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,8,2018,2,12,0,81.0,0,Not_Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,100,2017,10,16,0,108.0,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,95,2018,4,17,0,90.3,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,36,2018,2,22,0,82.7,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2,2018,3,10,0,89.0,0,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,69,2018,5,11,0,92.28,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,140,2018,5,29,0,105.3,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,12,2018,5,30,0,112.42,0,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,14,2017,9,15,0,114.0,1,Not_Canceled
2,1,1,2,Meal Plan 2,0,Room_Type 1,34,2018,8,8,0,194.85,1,Canceled
1,0,1,5,Meal Plan 1,0,Room_Type 1,349,2018,10,4,0,80.0,0,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,68,2018,6,19,0,116.1,1,Not_Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,3,2017,10,18,0,65.0,0,Not_Canceled
2,1,0,3,Meal Plan 1,0,Room_Type 1,172,2018,10,4,0,125.1,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,159,2018,8,2,0,82.44,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,16,2017,10,1,0,111.75,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,0,110.0,0,Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,0,90.0,0,Not_Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,36,2018,8,14,0,135.9,1,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,3,2018,6,13,0,106.0,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,275,2018,10,5,0,90.0,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,16,2018,2,26,0,2.0,0,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,11,2018,11,17,0,79.05,0,Canceled
2,0,0,3,Meal Plan 1,1,Room_Type 1,22,2018,10,25,0,139.0,1,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,4,2017,9,12,0,128.5,2,Not_Canceled
2,0,2,2,Not Selected,0,Room_Type 1,84,2018,4,10,0,58.14,0,Not_Canceled
2,2,2,4,Meal Plan 1,0,Room_Type 6,20,2018,11,11,0,196.67,4,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,99,2018,2,19,0,81.0,0,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 4,97,2018,8,4,0,82.45,0,Not_Canceled
2,0,2,0,Not Selected,0,Room_Type 1,1,2018,11,13,0,95.0,0,Canceled
1,0,2,7,Meal Plan 1,0,Room_Type 1,0,2017,8,25,0,0.0,0,Not_Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 4,22,2018,6,27,0,164.33,0,Canceled
2,0,2,2,Meal Plan 2,0,Room_Type 4,37,2018,6,26,0,156.6,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,26,2018,6,14,0,111.35,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,221,2017,10,10,0,65.0,0,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,52,2018,9,4,0,98.82,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 4,20,2018,5,26,0,110.0,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 4,109,2018,5,2,0,88.01,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,157,2018,12,8,0,68.0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,33,2017,10,1,0,79.35,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,90,2018,4,24,0,70.03,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,61,2018,4,22,0,118.8,0,Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,9,12,0,159.0,1,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,52,2018,4,18,0,85.5,0,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,0,60.0,0,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,29,2018,6,8,0,103.55,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,6,14,0,91.0,1,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,23,2018,10,20,0,119.0,1,Canceled
3,0,2,5,Meal Plan 1,0,Room_Type 6,87,2018,7,9,0,181.16,2,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,39,2018,7,3,0,117.9,0,Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,1,2018,5,3,0,142.0,2,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,20,2018,12,22,0,74.8,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,15,2017,9,10,0,116.75,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,0,120.0,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,3,2018,4,8,0,89.0,0,Canceled
2,0,1,2,Not Selected,0,Room_Type 1,54,2018,11,11,0,79.2,2,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,44,2018,4,25,0,101.34,1,Not_Canceled
2,0,0,2,Not Selected,1,Room_Type 1,90,2018,8,10,0,91.8,0,Not_Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 4,9,2018,5,9,0,141.0,0,Canceled
2,1,0,2,Meal Plan 1,0,Room_Type 1,69,2017,7,7,0,76.08,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,10,2017,11,14,0,43.5,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 2,2,2018,1,7,0,77.25,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,14,2018,8,17,0,104.17,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,79,2017,7,7,0,37.33,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,0,89.0,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,17,2018,9,8,0,118.58,1,Not_Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 1,169,2018,9,1,0,76.5,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,194,2018,9,12,0,101.4,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,74,2018,3,24,0,114.3,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,249,2018,9,7,0,126.9,1,Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,221,2018,8,31,0,112.5,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 5,34,2018,4,11,0,113.04,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,83,2018,10,19,0,132.3,2,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,4,2018,2,19,0,81.0,0,Not_Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,150,2018,1,2,0,101.0,0,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,4,2018,2,14,1,68.0,0,Not_Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,85,2017,9,30,0,125.0,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,63,2018,5,16,0,92.28,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,81,2018,6,23,0,90.9,0,Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 4,7,2018,12,27,0,116.73,2,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,161,2018,7,7,0,97.75,1,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,205,2017,7,25,0,76.5,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,131,2018,5,5,0,114.3,1,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,5,2018,5,24,0,110.0,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,133,2018,3,11,0,84.33,1,Not_Canceled
2,1,1,2,Meal Plan 1,0,Room_Type 6,68,2018,5,13,0,198.9,0,Canceled
3,0,0,4,Meal Plan 1,0,Room_Type 4,21,2018,6,28,0,182.0,3,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,72,2018,5,13,0,119.85,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,118,2018,11,3,0,90.0,1,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,37,2017,9,20,0,95.0,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,11,2018,2,12,0,73.6,2,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,48,2018,3,20,0,93.5,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,179,2018,7,17,0,90.95,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,23,2018,6,21,0,127.67,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,0,109.0,0,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,57,2018,6,10,0,75.33,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,34,2017,10,6,0,66.53,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,271,2018,9,21,0,101.33,1,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,304,2018,11,3,0,89.0,0,Canceled
1,0,0,1,Meal Plan 2,0,Room_Type 1,0,2018,8,25,0,90.0,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,275,2018,10,1,0,106.2,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,1,14,1,81.9,0,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 4,125,2018,10,17,0,132.3,2,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,12,2018,11,22,0,77.78,2,Not_Canceled
3,1,0,3,Meal Plan 1,0,Room_Type 7,58,2018,7,27,0,191.9,2,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,13,2018,1,20,0,80.3,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,113,2017,8,22,0,76.5,1,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,118,2018,6,6,0,110.0,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,259,2018,12,28,0,131.43,2,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,38,2018,3,21,0,102.7,2,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,175,2018,11,12,0,83.01,2,Canceled
2,0,2,0,Meal Plan 2,0,Room_Type 1,275,2018,4,17,0,110.0,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,26,2018,9,3,0,131.0,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,17,2018,3,17,0,80.0,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,0,101.5,0,Canceled
1,0,1,1,Meal Plan 1,0,Room_Type 6,0,2018,3,21,1,0.0,2,Not_Canceled
2,1,2,2,Meal Plan 1,0,Room_Type 1,39,2018,3,25,0,134.1,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,27,2018,6,9,0,120.0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,112,2018,6,2,0,100.0,0,Not_Canceled
2,0,1,1,Meal Plan 2,0,Room_Type 5,96,2017,9,28,0,138.0,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,54,2018,2,26,0,78.3,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,221,2017,10,10,0,65.0,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,129,2018,5,13,0,80.75,2,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,12,22,1,75.0,0,Not_Canceled
2,0,0,3,Not Selected,1,Room_Type 1,0,2018,4,13,0,118.0,1,Not_Canceled
1,0,2,1,Meal Plan 2,0,Room_Type 1,145,2017,8,29,0,72.5,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,136,2018,8,26,0,90.9,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,12,2017,9,21,0,124.0,2,Not_Canceled
1,0,6,13,Meal Plan 1,0,Room_Type 1,5,2017,10,4,0,95.0,1,Canceled
2,0,0,4,Meal Plan 2,0,Room_Type 1,184,2018,10,18,0,130.5,1,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 7,1,2018,5,17,1,0.0,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,186,2018,4,22,0,80.0,0,Not_Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,208,2018,9,3,0,161.1,1,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,1,27,1,0.0,1,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,33,2018,11,7,0,197.0,2,Not_Canceled
2,0,2,2,Not Selected,0,Room_Type 1,6,2018,4,3,0,85.0,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,0,2017,8,6,0,81.0,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,45,2018,6,8,0,128.4,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,15,2018,2,19,0,80.0,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,99,2018,2,19,0,81.0,0,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,120,2018,7,18,0,94.5,0,Not_Canceled
2,1,1,1,Meal Plan 1,0,Room_Type 1,80,2018,7,25,0,93.25,1,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,146,2018,6,27,0,85.5,1,Canceled
1,0,2,4,Meal Plan 1,0,Room_Type 1,69,2018,6,12,0,120.0,0,Canceled
2,0,1,2,Not Selected,0,Room_Type 1,185,2018,12,16,0,79.2,0,Canceled
2,0,2,8,Not Selected,0,Room_Type 1,80,2018,3,30,0,73.1,0,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,32,2018,11,18,0,54.71,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,78,2018,12,29,0,169.91,1,Not_Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 4,34,2018,4,16,0,135.45,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,68,2018,6,18,0,92.83,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,107,2018,10,3,0,80.75,0,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 1,57,2018,2,27,0,59.21,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,67,2018,10,28,0,89.1,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,0,2018,9,16,0,95.0,0,Not_Canceled
2,0,2,2,Not Selected,0,Room_Type 1,57,2018,3,12,0,45.9,0,Not_Canceled
2,0,2,3,Meal Plan 2,0,Room_Type 1,53,2018,5,21,0,131.52,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 2,111,2018,4,18,0,76.97,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,65,2017,7,11,0,76.5,1,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,4,2018,2,9,1,65.33,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,133,2018,6,8,0,90.95,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,0,101.5,0,Not_Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,126,2018,8,3,0,139.5,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,5,2018,8,20,0,130.0,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,12,2017,9,17,0,152.0,1,Not_Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,120,2018,5,1,0,105.3,1,Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,1,2018,6,20,0,141.0,0,Not_Canceled
1,0,2,6,Meal Plan 1,0,Room_Type 1,7,2018,11,2,1,65.0,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,0,115.0,1,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,0,105.0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,263,2018,10,21,0,110.0,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,1,2018,6,17,0,75.0,1,Not_Canceled
1,0,0,2,Not Selected,0,Room_Type 1,119,2018,11,4,0,79.2,2,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,142,2018,5,6,0,114.3,0,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,24,2018,9,16,0,139.0,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,110,2018,7,11,0,108.3,0,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,23,2018,2,12,0,79.0,1,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,83,2018,11,11,0,94.36,2,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,0,115.0,1,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,32,2018,12,14,0,87.78,2,Not_Canceled
2,0,2,0,Meal Plan 1,1,Room_Type 1,2,2018,12,18,0,106.5,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,27,2017,9,16,0,65.0,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,79,2018,6,9,0,126.9,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,6,21,0,121.5,1,Not_Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,27,2017,12,27,0,91.8,1,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,207,2018,8,8,0,63.75,0,Not_Canceled
1,0,1,1,Meal Plan 1,0,Room_Type 1,4,2017,8,17,0,128.0,3,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,273,2017,7,17,0,109.0,0,Canceled
2,0,0,4,Not Selected,0,Room_Type 1,148,2018,11,16,0,74.8,0,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,16,2018,11,16,0,75.0,0,Not_Canceled
3,0,1,1,Meal Plan 1,0,Room_Type 4,45,2018,4,30,0,159.3,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,1,2018,2,27,0,81.0,1,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,5,2018,8,21,0,119.35,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,0,115.0,1,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,212,2018,8,22,0,90.95,0,Canceled
2,0,2,5,Meal Plan 2,0,Room_Type 1,191,2018,9,7,0,80.75,1,Not_Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,9,2018,6,20,0,179.0,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,276,2018,9,22,0,116.33,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,26,2018,8,15,0,85.0,0,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,4,2018,5,1,0,125.0,1,Not_Canceled
3,0,0,1,Meal Plan 1,0,Room_Type 4,154,2018,7,9,0,146.7,0,Canceled
0,2,0,1,Meal Plan 1,0,Room_Type 1,130,2018,3,25,0,6.0,2,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,18,2018,4,18,0,107.25,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,1,2017,10,9,0,139.33,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 4,23,2018,11,11,0,130.0,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,1,2017,11,3,0,80.0,0,Not_Canceled
1,0,0,5,Meal Plan 1,0,Room_Type 1,230,2018,9,6,0,111.0,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,10,2018,1,15,0,87.0,1,Not_Canceled
3,0,1,5,Meal Plan 1,0,Room_Type 1,200,2018,9,20,0,150.45,0,Canceled
2,0,2,1,Not Selected,0,Room_Type 1,95,2018,10,30,0,79.8,2,Canceled
2,1,2,1,Meal Plan 1,0,Room_Type 1,82,2018,7,24,0,124.6,0,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,19,2017,12,22,0,58.0,1,Not_Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 4,69,2018,8,27,0,162.3,1,Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 4,44,2018,8,14,0,168.3,2,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,18,2018,11,20,0,71.21,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,11,2018,6,14,0,90.0,0,Canceled
2,1,2,0,Meal Plan 1,0,Room_Type 2,48,2018,9,4,0,126.0,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 5,58,2018,4,21,0,96.08,0,Not_Canceled
3,0,2,0,Meal Plan 1,0,Room_Type 4,24,2018,5,1,0,172.0,2,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,5,2018,4,18,0,95.0,0,Canceled
2,1,1,3,Meal Plan 1,0,Room_Type 1,178,2018,6,27,0,92.94,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,42,2018,11,4,0,72.0,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,178,2018,8,15,0,99.45,2,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,76,2018,10,10,0,120.0,0,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,58,2018,9,5,0,99.0,3,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,45,2018,10,30,0,75.0,0,Not_Canceled
3,0,0,1,Meal Plan 1,0,Room_Type 4,65,2018,6,21,0,132.3,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,0,130.0,0,Canceled
1,1,1,1,Meal Plan 1,0,Room_Type 1,60,2018,7,4,0,115.2,0,Not_Canceled
