Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
Female,No,35,No,Doctor,14.0,Low,6.0,Cat_7,A
Female,Yes,39,No,Doctor,4.0,Average,2.0,Cat_7,B
Female,Yes,52,No,Engineer,9.0,Low,,Cat_6,B
Female,No,38,Yes,Engineer,10.0,Low,1.0,Cat_6,B
Female,No,30,Yes,Entertainment,12.0,Low,2.0,Cat_6,D
Female,No,43,Yes,Artist,10.0,Low,1.0,Cat_6,D
Female,No,42,No,Entertainment,10.0,Low,4.0,Cat_6,D
Female,No,46,Yes,Artist,2.0,Low,1.0,Cat_7,B
Female,No,47,Yes,Artist,11.0,Low,2.0,Cat_6,B
Female,No,32,No,Entertainment,13.0,Low,5.0,Cat_7,B
Female,Yes,53,Yes,Artist,11.0,Average,2.0,Cat_6,D
Female,Yes,43,Yes,Artist,12.0,Average,,Cat_6,A
Female,No,39,Yes,Artist,0.0,Low,2.0,Cat_6,A
Male,,42,Yes,Artist,3.0,Average,2.0,Cat_6,A
Female,No,37,Yes,Artist,3.0,Low,1.0,Cat_3,B
Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
Male,No,30,No,Marketing,1.0,Low,1.0,Cat_3,D
Female,Yes,49,Yes,Artist,0.0,Low,1.0,Cat_4,A
Male,Yes,55,Yes,Healthcare,0.0,Low,3.0,Cat_4,B
Female,Yes,59,Yes,Doctor,1.0,Low,2.0,Cat_4,C
Female,Yes,46,Yes,Artist,,Low,2.0,Cat_6,C
Female,Yes,27,Yes,Executive,9.0,High,2.0,Cat_6,B
Female,No,25,Yes,Artist,1.0,Low,2.0,Cat_6,B
Female,No,37,Yes,Doctor,1.0,Low,1.0,Cat_6,B
Male,No,38,Yes,Artist,9.0,Low,3.0,Cat_6,A
Male,No,29,Yes,Entertainment,9.0,Low,3.0,Cat_6,D
Male,No,28,Yes,Artist,11.0,Low,2.0,Cat_6,A
Female,Yes,27,Yes,Marketing,8.0,Low,2.0,Cat_6,D
Female,No,42,No,Entertainment,3.0,Low,2.0,Cat_6,D
Female,No,43,Yes,Artist,14.0,Low,2.0,Cat_6,B
Female,Yes,40,Yes,Healthcare,8.0,Average,2.0,Cat_6,A
Male,No,41,Yes,Artist,9.0,Low,3.0,Cat_6,B
Male,Yes,46,No,Entertainment,8.0,Low,1.0,Cat_1,B
Female,No,32,Yes,Healthcare,9.0,Low,3.0,Cat_6,D
Female,No,56,Yes,Entertainment,1.0,Low,1.0,Cat_6,C
Male,No,28,Yes,Marketing,12.0,Low,1.0,Cat_6,A
Female,No,25,Yes,Artist,0.0,Low,3.0,Cat_7,A
Male,Yes,42,Yes,Artist,6.0,Low,7.0,Cat_6,C
Female,No,41,Yes,Entertainment,5.0,Low,2.0,Cat_6,C
Male,Yes,36,Yes,Healthcare,3.0,Low,2.0,Cat_6,C
Female,No,42,Yes,Artist,2.0,Low,1.0,Cat_6,A
Female,No,42,Yes,Artist,8.0,Low,4.0,Cat_6,C
Female,No,55,Yes,Entertainment,1.0,Low,2.0,Cat_6,B
Male,Yes,52,Yes,Entertainment,1.0,High,,Cat_6,D
Female,No,47,Yes,Engineer,1.0,Low,1.0,Cat_6,A
Male,,57,Yes,Artist,2.0,High,3.0,Cat_6,B
Female,No,26,Yes,Artist,8.0,Low,1.0,Cat_6,D
Female,No,28,No,Artist,5.0,Low,2.0,Cat_6,B
Female,No,37,Yes,Doctor,0.0,Low,1.0,Cat_6,D
Male,,89,No,Lawyer,0.0,Low,1.0,Cat_3,D
Male,No,25,No,Marketing,2.0,Low,1.0,Cat_3,D
Male,Yes,50,Yes,Executive,1.0,High,4.0,Cat_4,C
Female,No,42,Yes,Doctor,5.0,Low,1.0,Cat_6,B
Male,No,48,Yes,Artist,,Low,1.0,Cat_6,C
Female,No,37,Yes,Entertainment,9.0,Low,,Cat_3,D
Female,No,30,No,Engineer,1.0,Low,5.0,Cat_3,D
Male,Yes,26,No,Entertainment,2.0,Low,4.0,Cat_3,A
Female,Yes,47,Yes,Artist,,Average,2.0,Cat_6,B
Male,No,36,No,Healthcare,,Low,4.0,Cat_4,D
Male,Yes,53,No,Doctor,,Average,4.0,Cat_3,A
Male,No,30,No,Entertainment,1.0,Low,6.0,Cat_3,A
Female,No,20,No,Healthcare,4.0,Low,7.0,Cat_3,D
Female,No,19,No,Marketing,8.0,Low,5.0,Cat_3,D
Male,No,19,No,Healthcare,9.0,Low,6.0,Cat_3,D
Female,No,37,No,Marketing,12.0,Low,,Cat_3,D
Male,No,20,No,Healthcare,0.0,Low,6.0,Cat_3,D
Male,,39,No,Executive,,Average,3.0,Cat_3,A
Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_3,D
Male,No,31,No,Doctor,0.0,Low,4.0,Cat_3,A
Male,Yes,31,Yes,Healthcare,2.0,High,3.0,Cat_3,A
Female,Yes,41,Yes,Engineer,9.0,Average,3.0,Cat_3,A
Female,Yes,32,No,Homemaker,,Average,2.0,Cat_4,D
Female,Yes,42,Yes,Homemaker,0.0,Average,3.0,Cat_3,D
Female,Yes,89,No,Lawyer,1.0,Low,,Cat_3,B
Male,Yes,78,No,Lawyer,1.0,High,3.0,Cat_3,B
Female,Yes,65,Yes,Lawyer,1.0,Low,2.0,Cat_3,D
Female,Yes,48,Yes,Homemaker,0.0,Average,,Cat_3,A
Male,No,36,Yes,Artist,8.0,Low,2.0,Cat_3,C
Female,Yes,55,Yes,Artist,0.0,Average,4.0,Cat_3,C
Male,Yes,52,Yes,Engineer,0.0,Average,2.0,Cat_3,B
Male,Yes,52,Yes,Homemaker,7.0,Average,3.0,Cat_3,D
Female,Yes,41,Yes,,1.0,Low,1.0,Cat_3,D
Female,Yes,36,Yes,Engineer,,Low,1.0,Cat_3,D
Female,No,37,No,Engineer,7.0,Low,1.0,Cat_3,C
Female,No,40,No,Healthcare,1.0,Low,2.0,Cat_1,A
Male,Yes,38,Yes,Homemaker,,Average,2.0,Cat_3,B
Male,No,25,No,Doctor,0.0,Low,3.0,Cat_3,B
Female,No,33,Yes,Engineer,1.0,Low,4.0,Cat_3,A
Male,No,26,Yes,Artist,1.0,Low,1.0,Cat_3,C
Female,No,28,No,Entertainment,0.0,Low,1.0,Cat_3,D
Male,No,18,No,Marketing,0.0,Low,6.0,Cat_3,B
Male,No,52,No,Entertainment,0.0,Low,3.0,Cat_3,A
Male,No,26,Yes,Healthcare,0.0,Low,2.0,Cat_3,D
Male,No,18,No,Healthcare,0.0,Low,4.0,Cat_3,D
Female,No,20,No,Marketing,1.0,Low,2.0,Cat_3,D
Female,Yes,36,Yes,Doctor,0.0,Average,3.0,Cat_3,B
Male,Yes,27,Yes,Doctor,8.0,Average,2.0,Cat_4,A
Male,No,21,No,Healthcare,,Low,5.0,Cat_7,D
Male,No,27,Yes,Entertainment,8.0,Low,4.0,Cat_3,D
Female,No,28,Yes,Healthcare,,Low,,Cat_3,D
Male,Yes,63,Yes,Lawyer,,Low,4.0,Cat_3,A
Male,No,48,Yes,Entertainment,,Low,,Cat_3,A
Male,Yes,80,Yes,Lawyer,1.0,Low,2.0,Cat_3,D
Female,Yes,71,Yes,Lawyer,7.0,High,3.0,Cat_3,C
Male,Yes,47,No,Doctor,8.0,High,4.0,Cat_6,D
Female,No,22,No,,1.0,Low,4.0,Cat_3,B
Male,Yes,35,Yes,,,High,2.0,Cat_3,C
Female,No,40,No,Entertainment,,Low,6.0,Cat_3,A
Female,No,18,No,Healthcare,,Low,,Cat_3,A
Female,No,26,Yes,Artist,0.0,Low,4.0,Cat_3,D
Female,Yes,73,Yes,Lawyer,,Low,5.0,Cat_1,A
Male,Yes,86,,Lawyer,,Low,1.0,Cat_3,C
Female,No,37,No,Doctor,1.0,Low,2.0,Cat_3,B
Male,Yes,59,Yes,Entertainment,,Low,,Cat_3,A
Female,No,28,No,Homemaker,8.0,Low,1.0,Cat_4,B
Female,Yes,29,Yes,Artist,9.0,Low,3.0,Cat_6,A
Female,Yes,37,Yes,Marketing,7.0,Average,3.0,Cat_6,D
Female,Yes,46,Yes,Marketing,,Average,3.0,Cat_6,A
Male,No,39,,Entertainment,6.0,Low,1.0,Cat_6,B
Female,No,33,No,Homemaker,8.0,Low,1.0,Cat_6,D
Female,No,32,Yes,Doctor,,Low,2.0,Cat_3,D
Female,No,32,No,Doctor,6.0,Low,2.0,Cat_3,A
Female,,25,No,Homemaker,8.0,Low,1.0,Cat_3,D
Female,Yes,48,Yes,Homemaker,9.0,Average,2.0,Cat_3,C
Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3,B
Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,A
Female,Yes,33,Yes,Engineer,8.0,Average,5.0,Cat_4,A
Female,No,33,No,Engineer,7.0,Low,6.0,Cat_4,C
Male,Yes,39,Yes,Artist,0.0,Low,3.0,Cat_6,A
Male,Yes,50,Yes,Entertainment,0.0,Average,4.0,Cat_6,B
Female,Yes,84,Yes,Lawyer,0.0,Low,,Cat_3,A
Female,Yes,46,Yes,Artist,0.0,Average,2.0,Cat_6,B
Male,Yes,31,No,Entertainment,0.0,Average,3.0,Cat_3,A
Male,Yes,57,Yes,Artist,3.0,Average,2.0,Cat_6,B
Male,Yes,73,No,Executive,1.0,High,4.0,Cat_3,B
Male,Yes,36,Yes,Entertainment,9.0,Low,4.0,Cat_6,A
Male,No,53,Yes,Marketing,2.0,Low,4.0,Cat_6,C
Male,Yes,41,Yes,Entertainment,9.0,Average,,Cat_2,B
Female,No,53,No,Engineer,0.0,Low,,Cat_7,B
Male,Yes,35,Yes,Artist,2.0,Average,3.0,Cat_6,C
Male,Yes,62,Yes,Artist,0.0,Average,3.0,Cat_6,C
Male,No,23,No,Marketing,0.0,Low,3.0,Cat_6,A
Male,No,51,Yes,Artist,1.0,Low,2.0,Cat_6,C
Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,A
Female,No,26,Yes,Healthcare,0.0,Low,2.0,Cat_3,B
Male,Yes,86,Yes,Lawyer,1.0,Low,1.0,Cat_6,C
Male,No,26,Yes,Healthcare,0.0,Low,4.0,Cat_7,D
Male,Yes,42,Yes,Executive,0.0,Low,3.0,Cat_6,D
Female,Yes,41,Yes,Homemaker,9.0,Low,1.0,Cat_6,A
Male,Yes,67,No,Lawyer,0.0,Low,3.0,Cat_6,B
Male,Yes,68,Yes,Lawyer,1.0,High,2.0,Cat_6,A
Female,Yes,45,No,Engineer,0.0,High,2.0,Cat_6,A
Female,Yes,86,No,Lawyer,0.0,High,2.0,Cat_6,A
Male,Yes,62,Yes,Artist,0.0,High,2.0,Cat_3,A
Male,Yes,42,Yes,Artist,1.0,Low,2.0,Cat_6,A
Male,No,26,Yes,Doctor,0.0,Low,3.0,Cat_4,C
Male,No,48,No,Entertainment,1.0,Low,1.0,Cat_6,C
Male,Yes,40,No,Entertainment,3.0,Average,5.0,Cat_2,B
Male,No,20,No,Healthcare,0.0,Low,4.0,Cat_6,C
Female,No,25,Yes,Artist,1.0,Low,1.0,Cat_5,D
Male,No,37,Yes,Artist,1.0,Low,,Cat_6,D
Male,Yes,77,Yes,Lawyer,1.0,Low,1.0,Cat_6,D
Male,Yes,50,Yes,Healthcare,,Low,2.0,Cat_6,D
Female,No,22,No,Marketing,0.0,Low,4.0,Cat_6,D
Male,No,26,Yes,Artist,1.0,Low,3.0,Cat_6,A
Male,Yes,71,No,Doctor,0.0,Average,3.0,Cat_6,D
Male,Yes,50,Yes,Artist,,Low,2.0,Cat_6,A
Male,No,29,No,Entertainment,1.0,Low,1.0,Cat_4,D
Male,Yes,51,Yes,Entertainment,,Low,4.0,Cat_6,A
Male,Yes,52,Yes,Artist,6.0,Average,4.0,Cat_6,C
Male,No,20,No,Healthcare,1.0,Low,3.0,Cat_3,A
Male,No,26,Yes,Doctor,0.0,Low,9.0,Cat_4,B
Male,No,37,Yes,Healthcare,,Low,,Cat_4,C
Female,No,33,Yes,Healthcare,,Low,,Cat_6,B
Female,Yes,39,Yes,Artist,0.0,Low,2.0,Cat_4,B
Female,Yes,53,No,Artist,1.0,Average,5.0,Cat_6,B
Male,Yes,49,No,Entertainment,0.0,Average,4.0,Cat_6,D
Male,No,21,No,Healthcare,0.0,Low,2.0,Cat_3,D
Male,Yes,39,No,Homemaker,8.0,Low,1.0,Cat_6,B
Female,Yes,38,No,Artist,2.0,Average,4.0,Cat_3,B
Male,No,22,No,Healthcare,4.0,Low,4.0,Cat_6,B
Male,Yes,52,No,Artist,2.0,Average,4.0,Cat_6,D
Male,No,40,Yes,Entertainment,,Low,3.0,Cat_6,C
Male,No,20,No,Doctor,8.0,Low,3.0,Cat_6,A
Male,No,41,Yes,Executive,1.0,Low,3.0,Cat_6,D
Male,No,30,Yes,Artist,1.0,Low,1.0,Cat_3,A
Female,Yes,89,Yes,Lawyer,1.0,High,3.0,Cat_6,D
Male,Yes,83,No,Lawyer,1.0,High,3.0,Cat_6,A
Male,Yes,53,Yes,Artist,0.0,Average,3.0,Cat_6,A
Male,No,31,No,Doctor,1.0,Low,5.0,Cat_2,D
Male,Yes,48,Yes,Artist,1.0,Average,4.0,Cat_6,C
Female,No,29,No,Doctor,0.0,Low,2.0,Cat_6,A
Male,Yes,87,Yes,Lawyer,0.0,Low,1.0,Cat_6,D
Male,No,19,No,Engineer,4.0,Low,7.0,Cat_6,A
Male,Yes,60,No,Entertainment,1.0,Low,2.0,Cat_6,B
Male,No,23,No,Healthcare,1.0,Low,2.0,Cat_3,D
Male,Yes,61,Yes,Executive,9.0,High,4.0,Cat_6,D
Female,No,27,Yes,Artist,1.0,Low,3.0,Cat_6,A
Male,Yes,32,No,Doctor,14.0,Average,2.0,Cat_3,D
Male,Yes,79,,Lawyer,0.0,High,2.0,Cat_6,C
Male,No,19,No,Healthcare,1.0,Low,4.0,Cat_6,D
Male,Yes,42,Yes,Executive,0.0,High,3.0,Cat_4,C
Male,Yes,76,No,Lawyer,1.0,Low,1.0,Cat_6,D
Female,Yes,41,No,Marketing,1.0,Average,2.0,Cat_6,D
Male,Yes,38,Yes,Entertainment,0.0,Average,4.0,Cat_6,D
Male,Yes,43,Yes,Entertainment,0.0,Average,3.0,Cat_4,B
Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_1,D
Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_7,B
Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
Male,No,28,Yes,Engineer,0.0,Low,3.0,Cat_3,C
Male,Yes,60,No,Marketing,1.0,High,2.0,Cat_3,A
Female,No,55,Yes,Artist,0.0,Low,,Cat_3,B
Male,Yes,35,Yes,Entertainment,1.0,Average,2.0,Cat_3,D
Male,No,25,No,Healthcare,5.0,Low,5.0,Cat_3,A
Male,Yes,71,Yes,Artist,1.0,Low,1.0,Cat_3,D
Male,Yes,65,No,Lawyer,,High,2.0,Cat_3,D
Male,Yes,74,Yes,Lawyer,1.0,Low,1.0,Cat_6,B
Female,No,20,No,Healthcare,5.0,Low,4.0,Cat_4,D
Male,Yes,43,No,Entertainment,9.0,Low,2.0,Cat_4,B
Female,No,20,No,Marketing,3.0,Low,6.0,Cat_3,D
Male,Yes,40,Yes,Healthcare,,High,5.0,Cat_3,C
Female,Yes,46,Yes,Engineer,0.0,High,5.0,Cat_3,C
Female,Yes,65,No,Lawyer,1.0,High,7.0,Cat_3,A
Male,No,21,No,Healthcare,0.0,Low,,Cat_4,D
Male,Yes,50,No,Healthcare,1.0,Low,7.0,Cat_4,B
Male,No,18,No,Healthcare,0.0,Low,5.0,Cat_4,D
Female,Yes,61,Yes,Doctor,1.0,Low,7.0,Cat_7,A
Male,Yes,49,Yes,,1.0,High,3.0,Cat_6,C
Male,Yes,39,No,Executive,,High,4.0,Cat_3,D
Female,Yes,52,No,Lawyer,1.0,High,2.0,Cat_6,B
Male,Yes,56,Yes,Executive,0.0,High,5.0,Cat_6,C
Male,Yes,55,Yes,Executive,,Low,6.0,Cat_3,C
Male,Yes,42,No,Engineer,1.0,Average,5.0,Cat_3,A
Female,No,33,No,Homemaker,0.0,Low,6.0,Cat_3,D
Male,No,19,No,Healthcare,8.0,Low,4.0,Cat_1,A
Female,No,27,No,Engineer,1.0,Low,1.0,Cat_3,D
Female,Yes,38,Yes,Artist,1.0,Average,4.0,Cat_3,C
Female,No,38,No,Artist,1.0,Low,4.0,Cat_3,D
Female,Yes,43,Yes,Doctor,8.0,Low,1.0,Cat_6,B
Male,Yes,53,Yes,Artist,1.0,Average,4.0,Cat_3,A
Male,Yes,33,No,Executive,4.0,High,4.0,Cat_3,B
Female,No,30,Yes,Healthcare,7.0,Low,,Cat_3,A
Female,No,22,No,Healthcare,6.0,Low,3.0,Cat_3,C
Male,No,33,No,Doctor,0.0,Low,4.0,Cat_3,B
Male,No,21,No,Healthcare,1.0,Low,8.0,Cat_4,D
Male,No,20,No,Healthcare,1.0,Low,5.0,Cat_4,D
Male,No,19,No,Healthcare,7.0,Low,3.0,Cat_6,C
Female,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,C
Male,Yes,67,Yes,Artist,1.0,High,,Cat_6,B
Female,Yes,36,Yes,Entertainment,1.0,Low,2.0,Cat_3,A
Female,No,30,No,Homemaker,8.0,Low,,Cat_3,A
Male,No,23,No,Homemaker,1.0,Low,4.0,Cat_3,A
Female,No,42,Yes,Entertainment,1.0,Low,,Cat_3,D
Female,No,37,No,Marketing,8.0,Low,3.0,Cat_3,A
Female,Yes,58,No,Entertainment,9.0,Low,4.0,Cat_3,C
Female,Yes,26,No,Engineer,7.0,Average,2.0,Cat_3,B
Male,No,39,Yes,Entertainment,9.0,Low,2.0,Cat_3,B
Female,No,23,No,Marketing,,Low,4.0,Cat_3,A
Male,Yes,41,No,Executive,8.0,Average,4.0,Cat_1,A
Male,Yes,26,No,Entertainment,0.0,Low,3.0,Cat_3,D
Female,Yes,25,No,Engineer,3.0,Low,3.0,Cat_3,D
Male,No,19,No,Healthcare,,Low,4.0,Cat_3,D
Male,No,36,No,Executive,0.0,Low,5.0,Cat_3,A
Male,No,29,No,Healthcare,9.0,Low,4.0,Cat_3,A
Male,No,26,No,Marketing,1.0,Low,1.0,Cat_3,A
Female,No,78,Yes,Lawyer,,Low,1.0,Cat_6,C
Female,No,55,Yes,Artist,,Low,1.0,Cat_6,A
Male,No,26,Yes,Healthcare,,Low,3.0,Cat_2,D
Female,No,46,Yes,Entertainment,0.0,Low,1.0,Cat_6,C
Male,No,29,No,Healthcare,0.0,Low,4.0,Cat_6,D
Female,No,36,Yes,Artist,10.0,Low,1.0,Cat_6,B
Male,Yes,27,No,Executive,1.0,Low,6.0,Cat_6,D
Female,No,29,No,Executive,8.0,Low,3.0,Cat_6,C
Female,No,25,No,Marketing,1.0,Low,4.0,Cat_6,B
Female,No,30,No,Marketing,10.0,Low,6.0,Cat_6,A
Male,Yes,45,Yes,,1.0,Low,2.0,Cat_6,A
Female,No,21,No,Executive,0.0,Low,,Cat_3,A
Female,Yes,41,Yes,Executive,,High,,Cat_3,A
Male,Yes,38,Yes,Entertainment,,Low,,Cat_3,C
Female,No,28,Yes,Healthcare,9.0,Low,1.0,Cat_6,A
Male,No,33,Yes,Doctor,1.0,Low,5.0,Cat_2,A
Male,Yes,31,Yes,Healthcare,7.0,Low,2.0,Cat_6,A
Male,Yes,45,Yes,Healthcare,0.0,Low,2.0,Cat_6,A
Male,Yes,47,Yes,Marketing,0.0,Low,5.0,Cat_6,A
Female,No,39,No,Healthcare,0.0,Low,1.0,Cat_6,B
Female,No,47,Yes,Marketing,1.0,Low,,Cat_6,C
Female,Yes,53,Yes,Doctor,0.0,Low,1.0,Cat_3,D
Male,No,27,No,Doctor,1.0,Low,4.0,Cat_4,B
Male,Yes,37,Yes,Engineer,1.0,Average,2.0,Cat_4,D
Female,Yes,62,Yes,Artist,1.0,Average,3.0,Cat_4,B
Female,No,29,No,Engineer,0.0,Low,7.0,Cat_4,C
Female,Yes,51,Yes,Artist,0.0,Low,1.0,Cat_4,B
Male,No,30,No,Marketing,1.0,Low,6.0,Cat_4,B
Male,No,18,No,Entertainment,0.0,Low,4.0,Cat_4,B
Female,Yes,87,Yes,Lawyer,,High,2.0,Cat_6,C
Male,Yes,68,Yes,Marketing,0.0,Low,2.0,Cat_7,B
Male,Yes,84,Yes,Lawyer,5.0,Low,1.0,Cat_6,D
Male,No,22,No,Healthcare,2.0,Low,9.0,Cat_2,D
Female,No,22,No,Doctor,2.0,Low,4.0,Cat_6,D
Male,No,21,No,Healthcare,1.0,Low,3.0,Cat_6,D
Female,Yes,89,No,Lawyer,,High,2.0,Cat_3,C
Male,Yes,73,No,Lawyer,0.0,High,2.0,Cat_6,B
Female,Yes,75,Yes,Lawyer,0.0,High,2.0,Cat_6,C
Female,No,20,No,Doctor,6.0,Low,4.0,Cat_2,A
Male,No,22,No,Healthcare,1.0,Low,2.0,Cat_6,D
Female,No,22,No,Healthcare,0.0,Low,4.0,Cat_6,D
Male,Yes,63,Yes,Artist,0.0,Average,,Cat_6,B
Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_6,D
Male,Yes,58,No,Artist,0.0,Average,2.0,Cat_6,B
Female,No,41,Yes,Artist,1.0,Low,3.0,Cat_6,B
Male,Yes,42,Yes,Artist,0.0,Average,2.0,Cat_6,A
Female,Yes,43,Yes,Healthcare,6.0,Average,2.0,Cat_6,B
Female,No,49,Yes,Artist,3.0,Low,1.0,Cat_6,D
Female,No,40,Yes,Artist,0.0,Low,1.0,Cat_6,A
Male,Yes,53,No,Executive,8.0,High,2.0,Cat_6,D
Male,Yes,36,Yes,Artist,4.0,Average,2.0,Cat_7,B
Male,Yes,50,Yes,Artist,8.0,Low,2.0,Cat_6,D
Male,Yes,42,Yes,Healthcare,1.0,Low,1.0,Cat_6,D
Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_2,D
Male,No,29,No,Healthcare,2.0,Low,5.0,Cat_2,D
Male,No,28,Yes,Entertainment,1.0,Low,2.0,Cat_6,B
Male,No,27,Yes,Healthcare,1.0,Low,4.0,Cat_6,D
Male,No,49,Yes,Artist,0.0,Low,1.0,Cat_6,A
Male,No,32,Yes,Healthcare,1.0,Low,1.0,Cat_6,D
Male,No,25,Yes,Doctor,1.0,Low,3.0,Cat_6,A
Female,Yes,63,Yes,Artist,,Low,1.0,Cat_6,B
Female,No,42,Yes,Artist,8.0,Low,1.0,Cat_6,B
Male,No,31,Yes,Healthcare,1.0,Low,,Cat_5,B
Male,Yes,71,Yes,Artist,0.0,High,2.0,Cat_6,A
Male,No,20,No,Healthcare,,Low,5.0,Cat_2,B
Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_6,D
Female,No,29,Yes,Entertainment,1.0,Low,5.0,Cat_6,A
Male,Yes,47,Yes,Marketing,0.0,Low,3.0,Cat_6,A
Male,Yes,43,Yes,Artist,,Average,3.0,Cat_6,B
Male,No,32,Yes,Artist,1.0,Low,3.0,Cat_4,D
Male,Yes,47,Yes,Artist,7.0,Average,2.0,Cat_6,A
Male,No,46,Yes,Artist,0.0,Low,1.0,Cat_6,B
Female,Yes,41,Yes,Artist,1.0,Average,2.0,Cat_6,D
Male,Yes,37,Yes,Entertainment,0.0,Average,2.0,Cat_6,B
Male,Yes,40,Yes,Artist,0.0,Average,2.0,Cat_6,A
Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,A
Male,Yes,46,Yes,Artist,0.0,Average,6.0,Cat_2,D
Female,Yes,36,Yes,Artist,6.0,High,4.0,Cat_7,B
Female,No,38,No,Marketing,0.0,Low,1.0,Cat_6,B
Female,Yes,32,No,Doctor,0.0,Low,5.0,Cat_6,A
Female,No,41,Yes,Artist,5.0,Low,1.0,Cat_6,D
Male,Yes,56,Yes,Marketing,0.0,Low,3.0,Cat_6,A
Male,Yes,31,Yes,Artist,8.0,Average,2.0,Cat_6,D
Male,Yes,45,No,Artist,0.0,Low,2.0,Cat_7,A
Male,Yes,69,Yes,Entertainment,,Average,3.0,Cat_6,C
Male,Yes,37,Yes,Artist,0.0,Low,2.0,Cat_6,A
Male,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_2,D
Female,Yes,52,Yes,Artist,1.0,Average,3.0,Cat_6,C
Female,Yes,57,Yes,Artist,1.0,High,3.0,Cat_6,A
Female,No,50,Yes,Artist,9.0,Low,1.0,Cat_6,A
Male,Yes,27,No,Engineer,0.0,Average,2.0,Cat_6,D
Female,Yes,45,Yes,Engineer,1.0,High,3.0,Cat_6,B
Female,No,30,Yes,Artist,8.0,Low,2.0,Cat_6,D
Male,Yes,45,Yes,Artist,0.0,Low,2.0,Cat_6,B
Male,No,30,No,Healthcare,1.0,Low,4.0,Cat_6,C
Male,Yes,31,Yes,Entertainment,1.0,Average,3.0,Cat_6,A
Female,Yes,45,Yes,Artist,1.0,Average,4.0,Cat_3,C
Male,Yes,67,Yes,Artist,0.0,High,2.0,Cat_6,B
Male,Yes,76,No,Executive,1.0,High,2.0,Cat_6,A
Male,Yes,69,Yes,Entertainment,0.0,Low,2.0,Cat_6,D
Male,Yes,83,No,Entertainment,0.0,Low,2.0,Cat_6,A
Male,Yes,38,Yes,Engineer,0.0,Low,2.0,Cat_6,D
Male,Yes,36,Yes,Artist,0.0,Low,1.0,Cat_6,A
Male,No,41,Yes,,2.0,Low,2.0,Cat_2,A
Female,Yes,69,No,Lawyer,0.0,Low,3.0,Cat_6,C
Female,No,33,Yes,Engineer,0.0,Low,3.0,Cat_6,A
Male,No,38,Yes,Artist,1.0,Low,3.0,Cat_7,C
Female,Yes,48,Yes,Engineer,1.0,Average,2.0,Cat_6,B
Male,Yes,51,Yes,Engineer,2.0,Average,2.0,Cat_6,C
Male,Yes,56,Yes,Executive,1.0,High,2.0,Cat_6,A
Male,Yes,57,Yes,Artist,0.0,Average,3.0,Cat_6,D
Female,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,B
Male,No,30,Yes,Healthcare,0.0,Low,3.0,Cat_6,D
Female,Yes,40,Yes,Doctor,8.0,Average,2.0,Cat_6,B
Female,No,30,Yes,Artist,0.0,Low,,Cat_6,D
Male,Yes,38,No,Entertainment,0.0,Average,2.0,Cat_6,D
Female,No,31,Yes,Healthcare,8.0,Low,5.0,Cat_6,D
Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,C
Male,No,50,Yes,Artist,0.0,Low,2.0,Cat_6,A
Male,Yes,52,Yes,Executive,,High,3.0,Cat_6,C
Female,Yes,39,Yes,Artist,0.0,Average,,Cat_2,D
Male,Yes,73,Yes,Executive,0.0,High,2.0,Cat_6,C
Male,Yes,46,Yes,Artist,0.0,Average,3.0,Cat_6,C
Male,Yes,50,Yes,Artist,0.0,Low,2.0,Cat_7,C
Male,No,30,No,Healthcare,0.0,Low,6.0,Cat_6,D
Female,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,D
Female,Yes,39,Yes,Homemaker,9.0,Average,2.0,Cat_6,D
Female,Yes,59,Yes,Artist,1.0,Average,2.0,Cat_5,B
Female,Yes,51,Yes,Artist,0.0,Average,2.0,Cat_6,C
Female,Yes,40,Yes,Artist,5.0,Average,2.0,Cat_2,B
Male,No,23,No,Healthcare,1.0,Low,3.0,Cat_6,D
Male,Yes,53,Yes,Artist,4.0,Average,4.0,Cat_2,C
Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,A
Male,Yes,52,Yes,Executive,0.0,High,4.0,Cat_6,B
Female,No,31,Yes,Engineer,0.0,Low,1.0,Cat_6,D
Male,No,30,Yes,Healthcare,3.0,Low,4.0,Cat_6,A
Male,No,25,Yes,Healthcare,8.0,Low,3.0,Cat_7,D
Male,Yes,40,Yes,Executive,1.0,High,4.0,Cat_6,A
