Image;Question;Prediction;Reference
Employee_boxplots.png;Scaling this dataset would be mandatory to improve the results with distance-based methods.;T;T
Employee_histograms_symbolic.png;All variables should be dealt with as date.;F;F
Employee_histograms_symbolic.png;The variable Gender can be seen as ordinal.;T;T
Employee_histograms_symbolic.png;The variable EverBenched can be seen as ordinal without losing information.;T;T
Employee_histograms_symbolic.png;Considering the common semantics for Education and City variables, dummification if applied would increase the risk of facing the curse of dimensionality.;F;F
Employee_histograms_symbolic.png;Considering the common semantics for City variable, dummification would be the most adequate encoding.;F;T
Employee_histograms_symbolic.png;The variable City can be coded as ordinal without losing information.;T;F
Employee_histograms_symbolic.png;Feature generation based on variable City seems to be promising.;F;F
Employee_histograms_symbolic.png;Feature generation based on the use of variable EverBenched wouldn’t be useful, but the use of Education seems to be promising.;F;F
Employee_histograms_symbolic.png;Given the usual semantics of Gender variable, dummification would have been a better codification.;F;F
Employee_histograms_symbolic.png;Not knowing the semantics of Education variable, dummification could have been a more adequate codification.;F;T
Employee_class_histogram.png;Balancing this dataset would be mandatory to improve the results.;T;T
Employee_nr_records_nr_variables.png;Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;F;F
Employee_nr_records_nr_variables.png;We face the curse of dimensionality when training a classifier with this dataset.;F;F
Employee_histograms_numeric.png;All variables should be dealt with as date.;F;F
Employee_histograms_numeric.png;The variable PaymentTier can be seen as ordinal.;T;T
Employee_histograms_numeric.png;The variable Age can be seen as ordinal without losing information.;F;F
Employee_histograms_numeric.png;Variable Age is balanced.;F;F
Employee_histograms_numeric.png;It is clear that variable PaymentTier shows some outliers, but we can’t be sure of the same for variable Age.;F;F
Employee_histograms_numeric.png;Outliers seem to be a problem in the dataset.;F;F
Employee_histograms_numeric.png;Variable JoiningYear shows some outlier values.;F;F
Employee_histograms_numeric.png;Variable ExperienceInCurrentDomain doesn’t have any outliers.;T;T
Employee_histograms_numeric.png;Variable PaymentTier presents some outliers.;F;F
Employee_histograms_numeric.png;At least 50% of the variables present outliers.;F;F
Employee_histograms_numeric.png;The histograms presented show a large number of outliers for most of the numeric variables.;F;F
Employee_histograms_numeric.png;The existence of outliers is one of the problems to tackle in this dataset.;F;F
Employee_histograms_numeric.png;Considering the common semantics for JoiningYear and PaymentTier variables, dummification if applied would increase the risk of facing the curse of dimensionality.;T;F
Employee_histograms_numeric.png;Considering the common semantics for PaymentTier variable, dummification would be the most adequate encoding.;F;F
Employee_histograms_numeric.png;The variable PaymentTier can be coded as ordinal without losing information.;T;T
Employee_histograms_numeric.png;Feature generation based on variable PaymentTier seems to be promising.;F;F
Employee_histograms_numeric.png;Feature generation based on the use of variable ExperienceInCurrentDomain wouldn’t be useful, but the use of JoiningYear seems to be promising.;F;F
Employee_histograms_numeric.png;Given the usual semantics of PaymentTier variable, dummification would have been a better codification.;F;T
Employee_histograms_numeric.png;Not knowing the semantics of Age variable, dummification could have been a more adequate codification.;F;F
