Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,ReachedOnTime
4,5,263,4,7,4243,Yes
3,1,180,3,21,1047,Yes
4,2,186,2,2,5604,Yes
4,2,240,5,7,1711,Yes
4,3,192,3,10,5190,No
4,5,150,2,30,1782,Yes
3,2,123,4,10,5891,No
4,5,251,5,7,1070,Yes
4,2,150,3,48,1193,Yes
3,3,167,3,42,1363,Yes
3,3,274,3,6,2986,Yes
3,4,240,3,28,2356,Yes
5,1,160,5,16,1526,Yes
3,3,104,5,5,4643,No
3,3,219,3,4,5956,No
4,5,197,3,34,3784,Yes
5,3,258,2,10,5371,Yes
5,4,307,5,8,1903,No
5,2,266,2,3,4030,No
4,5,216,2,8,5767,Yes
5,1,245,3,9,4694,No
3,5,199,2,46,2728,Yes
4,2,259,4,13,2495,Yes
3,3,176,8,1,4895,Yes
5,5,232,3,5,5338,No
6,2,134,8,42,1054,Yes
4,3,196,2,5,5656,No
6,2,259,5,1,1357,No
5,5,270,3,9,5807,Yes
4,4,220,2,7,2551,Yes
3,1,140,4,27,1184,Yes
5,1,137,3,10,4641,No
3,5,168,3,5,1143,Yes
6,4,237,5,10,5434,No
4,1,293,3,8,1326,Yes
3,1,166,2,10,5932,Yes
3,2,257,2,8,4242,Yes
6,5,249,4,3,1710,Yes
4,5,254,3,29,3885,Yes
3,1,266,3,5,5154,No
3,1,265,4,50,2249,Yes
3,4,212,2,7,4742,No
5,3,243,5,9,1312,Yes
2,2,271,4,9,4066,No
3,2,172,2,9,4532,Yes
2,5,172,2,7,4649,No
3,4,128,3,51,1524,Yes
3,4,190,10,38,2018,Yes
3,3,150,3,9,5852,No
4,3,190,5,8,4736,No
2,1,184,2,3,4331,No
3,4,207,10,6,5856,No
6,2,169,2,9,5580,No
4,4,205,2,8,5876,No
4,1,207,2,2,3242,Yes
6,2,279,4,10,1990,Yes
3,1,181,3,34,3306,Yes
5,1,125,4,3,5595,No
2,2,160,3,48,1691,Yes
3,5,206,2,4,4080,No
3,5,147,2,6,4350,No
4,3,175,4,5,5177,Yes
4,1,189,3,5,4133,No
6,4,282,4,6,1580,No
5,5,193,5,4,5087,Yes
5,5,251,5,10,1683,No
3,1,112,5,41,1249,Yes
4,1,231,2,1,5917,Yes
2,4,120,2,13,1240,Yes
6,3,250,4,9,1618,No
4,5,140,3,8,4956,No
4,5,157,3,28,1557,Yes
3,5,216,4,3,4934,No
3,1,153,3,9,4404,No
3,1,271,3,4,4108,No
4,5,153,2,1,4492,No
6,4,266,4,5,1639,Yes
2,4,102,4,6,5421,No
5,3,245,5,1,1605,No
3,1,150,2,6,5697,No
3,5,165,3,33,1500,Yes
3,3,252,2,48,2102,Yes
3,2,264,4,1,4877,No
3,5,271,4,1,5852,Yes
3,3,138,4,56,1440,Yes
3,5,195,3,10,5585,No
5,1,248,5,8,1810,No
3,1,133,3,9,5724,No
3,1,181,3,29,2981,Yes
3,1,196,3,8,4516,No
3,4,177,3,6,4445,No
3,2,197,3,3,4491,No
4,3,253,3,18,2849,Yes
5,4,226,5,47,2240,Yes
5,5,198,5,36,2803,Yes
5,3,255,4,4,4178,Yes
4,4,140,3,11,1911,Yes
5,4,136,3,4,5413,No
3,5,134,3,10,4693,No
3,1,153,2,51,1841,Yes
5,1,205,2,3,5682,Yes
5,4,214,3,52,3403,Yes
4,1,260,3,9,5886,Yes
3,4,189,6,9,4668,Yes
4,2,247,3,8,4977,No
4,3,258,2,11,2252,Yes
4,1,185,2,44,2910,Yes
4,1,175,3,2,5861,No
4,5,242,2,5,4806,No
4,3,170,4,9,4375,No
3,2,273,3,41,3464,Yes
3,3,162,2,65,1184,Yes
4,1,174,3,8,5549,No
5,4,178,5,9,4729,Yes
5,1,206,5,2,5766,No
4,5,163,4,49,1470,Yes
5,1,232,5,4,1776,No
4,2,296,2,2,1233,No
4,5,247,2,18,2404,Yes
6,4,268,4,9,1793,No
5,5,135,4,7,5765,Yes
4,5,261,10,7,5208,No
5,3,245,4,8,4129,Yes
3,5,172,3,1,5024,Yes
5,3,178,2,60,1830,Yes
3,3,223,3,4,5062,Yes
4,2,171,3,4,5859,No
3,1,147,8,6,4575,No
3,3,240,7,3,4385,No
3,5,267,2,1,4195,Yes
3,1,250,4,8,4028,Yes
4,5,221,5,5,1608,Yes
4,2,193,2,48,2371,Yes
4,5,268,3,9,5521,Yes
4,5,221,3,43,3561,Yes
5,1,208,2,9,4887,No
5,4,263,3,59,3978,Yes
4,4,218,2,3,5692,Yes
3,2,159,3,4,1681,Yes
5,1,187,4,14,3849,Yes
6,1,168,5,65,1601,Yes
5,1,167,3,9,4660,No
3,4,158,2,8,4086,No
4,3,146,3,41,1140,Yes
4,3,196,3,10,4433,Yes
6,5,275,5,51,3569,Yes
4,1,233,7,7,4272,Yes
5,5,187,4,9,5326,No
2,1,282,5,51,1362,Yes
4,5,233,3,7,5604,Yes
7,4,244,4,4,1953,Yes
4,5,129,5,7,5554,Yes
3,3,232,4,4,4662,Yes
4,5,142,2,2,5150,Yes
4,3,217,3,51,3144,Yes
4,2,149,2,8,5460,Yes
4,4,267,5,9,1716,Yes
3,3,228,2,27,3473,Yes
4,5,251,5,6,1434,No
6,4,305,4,1,1384,No
3,3,229,2,1,5670,No
5,3,254,6,7,1064,No
3,2,183,5,2,1158,Yes
5,1,250,4,10,5306,Yes
4,3,264,3,23,2376,Yes
4,5,218,3,25,2682,Yes
3,1,238,3,17,2624,Yes
5,1,271,2,46,2744,Yes
3,5,189,3,5,5422,No
3,4,211,3,8,3710,Yes
4,1,181,2,3,5877,No
6,3,286,4,5,1750,Yes
5,4,165,3,48,1240,Yes
3,5,223,7,8,4178,Yes
3,3,215,2,2,5661,No
3,5,211,2,9,4577,Yes
5,2,275,5,10,1924,No
5,5,123,2,60,1653,Yes
6,4,284,4,7,1584,No
5,3,219,6,9,1019,No
5,2,240,7,57,2708,Yes
4,4,252,5,2,1995,Yes
4,3,268,3,23,2996,Yes
4,3,287,5,6,4376,Yes
5,4,242,3,2,3564,Yes
2,4,170,5,10,5448,No
3,1,214,3,2,4958,No
3,1,217,4,1,5761,Yes
5,2,171,3,34,1029,Yes
2,1,249,3,11,2534,Yes
5,5,134,3,5,5783,Yes
5,3,250,4,4,1111,Yes
6,4,283,4,10,1512,No
4,2,265,4,3,4283,Yes
5,2,143,3,12,1802,Yes
4,1,152,7,5,5325,Yes
6,5,148,4,1,5216,Yes
5,4,216,4,8,5878,Yes
7,5,253,4,10,1166,Yes
4,1,167,4,7,5264,No
4,1,272,2,1,5666,No
5,1,245,3,6,4343,Yes
5,2,271,3,32,3785,Yes
6,1,244,4,5,1867,No
2,2,236,3,3,3416,Yes
4,4,135,10,57,1361,Yes
4,2,211,2,39,2520,Yes
7,2,302,4,6,1632,No
2,4,252,4,4,4787,No
3,5,205,3,9,4565,Yes
5,3,175,3,7,5047,Yes
3,3,126,10,10,4128,No
6,2,140,2,1,4053,No
2,2,145,2,1,1126,Yes
2,2,169,3,4,5485,Yes
4,5,194,2,1,5300,Yes
4,2,232,3,8,4658,Yes
3,3,275,3,7,4968,No
4,3,225,8,8,4718,Yes
4,1,132,3,63,1901,Yes
4,4,253,5,2,1709,No
5,1,201,3,4,5166,Yes
3,1,171,2,1,1629,Yes
2,5,243,3,9,4182,No
3,4,247,3,10,5749,Yes
4,1,160,2,28,1276,Yes
3,4,145,6,57,1949,Yes
4,2,173,3,3,5364,No
3,5,151,2,16,1422,Yes
3,2,177,3,10,1641,Yes
3,5,206,3,6,5618,No
3,1,261,8,9,5248,Yes
4,2,272,2,21,3271,Yes
4,2,266,3,4,4197,Yes
4,3,186,2,7,4947,Yes
5,1,259,3,37,3023,Yes
6,5,253,4,2,1893,Yes
5,3,238,5,1,1871,Yes
4,1,114,3,9,1240,Yes
4,4,233,3,14,2522,Yes
3,3,163,2,10,5364,Yes
5,4,239,5,10,1042,Yes
4,4,252,3,7,2477,Yes
4,2,222,2,16,2518,Yes
5,3,244,3,52,3118,Yes
5,2,246,5,4,1072,Yes
5,4,216,3,2,5404,Yes
6,2,267,4,1,1935,No
4,2,280,4,9,5288,Yes
3,1,257,4,8,4692,Yes
3,4,196,3,47,2447,Yes
5,1,151,3,9,5667,No
3,1,151,2,4,1748,Yes
3,1,211,2,45,3332,Yes
4,5,202,3,46,3181,Yes
6,5,289,4,5,1600,Yes
5,3,170,3,4,4446,Yes
4,5,217,5,3,1572,Yes
3,1,154,10,3,4524,No
3,3,185,3,4,4111,Yes
3,5,156,4,26,1769,Yes
5,1,218,5,8,1651,Yes
3,2,270,3,9,5873,Yes
4,3,211,8,3,4550,No
4,5,171,2,1,4439,No
4,1,238,3,4,5449,Yes
3,5,167,2,8,5083,No
3,2,214,2,7,4938,No
4,5,270,3,1,4131,No
3,2,143,4,22,1249,Yes
6,1,257,4,3,5656,Yes
4,4,255,2,29,2267,Yes
2,1,100,3,1,5776,Yes
4,1,238,5,3,1913,No
4,5,160,2,8,5234,No
4,2,234,2,27,3393,Yes
3,1,205,2,2,5322,No
4,5,155,4,54,1408,Yes
7,1,265,4,3,1357,Yes
3,4,203,3,18,3127,Yes
3,4,192,3,31,3331,Yes
3,2,137,3,9,1347,Yes
4,2,246,3,7,5616,No
5,2,248,8,10,4583,No
5,3,266,3,4,4195,No
4,5,234,3,4,5100,Yes
4,4,142,4,2,1461,Yes
4,1,275,10,23,2726,Yes
4,4,196,5,6,4258,No
5,1,152,3,6,4735,No
6,4,286,4,9,1096,Yes
4,5,157,3,2,5791,Yes
4,3,223,4,25,3148,Yes
3,4,144,3,8,5867,Yes
4,3,163,4,5,5593,No
3,3,206,3,3,5746,Yes
4,4,149,2,19,1665,Yes
6,2,289,4,3,1116,No
6,5,283,4,3,1374,Yes
6,4,186,2,5,4851,Yes
2,4,182,4,1,3624,Yes
2,3,257,4,52,2073,Yes
3,4,236,4,2,1016,No
4,3,181,3,5,5398,Yes
3,5,260,4,8,4162,Yes
5,1,194,3,32,3003,Yes
4,4,213,3,1,4266,No
5,1,187,2,17,3513,Yes
3,3,239,6,7,4501,Yes
5,4,167,7,43,1619,Yes
4,5,191,3,19,2392,Yes
3,4,267,2,9,5940,No
4,5,162,3,10,4850,Yes
3,1,232,3,9,2958,Yes
4,2,201,3,39,2066,Yes
4,1,265,3,4,4249,No
5,2,165,2,6,4819,Yes
5,1,239,5,7,1859,Yes
7,4,308,5,7,1563,Yes
6,1,189,3,9,5316,No
7,3,272,4,7,1067,Yes
3,1,229,3,2,3963,Yes
3,1,186,2,3,5818,No
5,2,170,3,15,1314,Yes
6,1,283,5,5,1298,No
4,4,249,3,4,5809,Yes
2,3,260,2,1,4547,No
7,3,270,4,10,1211,No
4,4,264,3,6,5959,Yes
3,4,270,3,10,5417,No
3,5,243,3,4,3189,Yes
4,4,182,3,7,5197,No
4,4,254,4,10,4827,No
3,1,168,4,9,5136,No
4,2,239,6,7,1934,No
2,1,213,3,29,2732,Yes
6,3,167,6,15,1278,Yes
4,4,201,2,7,4320,No
5,5,221,5,8,1718,No
5,2,257,6,3,1379,Yes
4,2,255,5,7,1378,No
7,3,281,4,1,1215,Yes
3,4,226,3,26,2299,Yes
3,1,185,2,34,3299,Yes
3,2,135,7,8,4901,No
3,2,193,2,3,4799,Yes
3,2,163,3,6,4323,No
6,2,269,4,10,1166,No
2,3,185,3,7,4246,No
4,1,196,3,4,4634,Yes
5,3,229,5,10,1951,No
4,1,256,4,3,5324,No
3,2,204,10,10,4534,No
4,3,154,3,52,1432,Yes
6,4,275,4,4,1192,Yes
3,1,141,3,39,1838,Yes
5,1,224,5,1,1600,No
3,1,235,10,7,2991,Yes
6,2,246,4,4,1555,No
5,4,250,2,10,4277,No
6,4,286,4,1,1570,No
3,1,202,2,52,2312,Yes
5,1,245,5,5,1996,Yes
5,1,258,3,8,5694,No
3,3,155,3,5,4957,Yes
7,3,310,4,8,1497,No
6,3,202,4,6,4249,No
4,4,266,3,6,5758,Yes
5,5,230,10,10,5619,Yes
5,5,218,5,7,1692,No
7,3,245,4,10,1610,Yes
4,2,272,3,6,4559,No
4,5,248,2,4,4789,Yes
3,1,178,5,15,1242,Yes
4,2,269,5,45,2383,Yes
4,5,216,4,1,4458,Yes
4,2,206,7,3,4991,No
4,3,211,2,6,5473,Yes
4,4,189,2,5,4553,No
6,5,113,3,31,1037,Yes
4,1,234,6,7,1711,No
4,5,240,3,9,5794,Yes
2,4,139,8,62,1180,Yes
3,4,223,3,18,3959,Yes
5,5,157,4,60,1407,Yes
3,2,198,2,8,5889,No
5,4,206,3,53,2182,Yes
5,5,171,2,22,1695,Yes
4,1,150,2,5,4140,No
4,1,171,2,6,5719,Yes
3,4,268,2,4,1442,Yes
5,1,161,3,47,1954,Yes
5,5,227,5,5,1186,No
5,5,195,4,1,4393,Yes
4,1,220,3,1,5159,Yes
5,1,177,2,9,4881,No
3,2,150,3,2,5502,No
4,4,261,3,2,4140,No
4,2,229,6,5,1689,No
3,1,248,3,7,5588,No
5,2,167,3,7,1939,Yes
5,2,225,4,1,4328,Yes
5,2,130,4,4,4371,No
4,4,160,3,5,4440,No
2,5,111,2,5,4038,Yes
3,5,178,3,39,1498,Yes
4,1,250,2,17,3544,Yes
4,2,192,3,3,4130,Yes
3,5,152,3,43,1282,Yes
6,2,282,4,6,1674,No
3,3,257,2,5,4681,Yes
2,3,197,2,2,4277,No
3,4,221,3,10,4927,Yes
5,5,260,2,55,2791,Yes
5,5,260,5,2,1128,No
3,3,163,3,5,5362,No
5,5,165,4,3,4242,No
5,5,225,5,7,1168,No
3,2,215,4,3,4042,No
6,4,254,4,9,1594,No
6,1,253,4,10,1962,No
3,2,269,4,1,5797,No
6,5,292,4,10,1969,Yes
6,3,199,4,1,5204,No
4,4,239,5,6,1239,No
6,2,243,4,4,1768,No
4,5,180,2,1,5622,No
4,2,180,3,47,1434,Yes
3,1,231,6,64,3627,Yes
5,1,143,3,5,5146,Yes
3,3,168,2,1,1829,Yes
3,2,188,3,8,5709,No
5,3,201,2,4,3757,Yes
3,4,194,2,7,5553,No
3,5,206,2,3,5113,Yes
5,4,260,6,8,5440,Yes
5,4,227,2,9,5706,Yes
6,2,256,4,6,1507,No
5,1,245,2,2,4882,Yes
3,4,266,2,33,3798,Yes
4,3,163,3,45,1395,Yes
3,2,175,2,9,4859,No
4,2,199,2,4,3351,Yes
3,2,205,3,3,4563,Yes
5,1,189,3,14,3318,Yes
3,3,213,10,2,4847,No
5,1,169,4,4,4541,No
7,1,306,4,5,1467,No
4,4,232,5,2,1386,No
4,1,173,3,1,5749,No
3,4,153,2,24,1442,Yes
5,4,223,3,8,4310,Yes
2,1,173,2,1,4135,Yes
5,5,262,5,9,1400,No
4,3,263,3,3,5253,No
4,5,133,3,53,1467,Yes
6,2,143,5,17,1955,Yes
4,4,153,4,5,5162,No
4,4,258,3,2,5420,No
5,1,249,3,5,4392,No
3,3,273,10,10,5574,Yes
6,1,260,4,2,1131,No
4,5,264,3,10,5972,No
3,3,214,3,9,5856,No
3,2,137,3,23,1246,Yes
4,3,173,2,10,1179,Yes
5,5,271,4,6,4547,Yes
5,5,268,3,7,4480,Yes
2,5,127,3,44,1341,Yes
3,3,176,8,10,4376,Yes
4,5,273,5,2,1441,No
5,5,247,2,5,4250,No
5,4,243,3,35,2899,Yes
5,5,161,5,54,1511,Yes
5,1,261,5,5,1837,Yes
5,3,146,4,5,1718,Yes
4,4,136,2,16,1131,Yes
4,5,235,4,6,4633,Yes
5,4,241,3,6,4157,No
3,3,251,3,8,4246,No
4,2,225,2,6,2010,Yes
4,1,261,5,6,1129,No
4,5,139,3,5,5335,No
3,2,143,3,58,1785,Yes
3,3,185,4,6,4015,No
4,5,259,3,10,4921,Yes
4,1,225,2,10,4577,Yes
4,3,287,4,6,5889,No
5,4,121,5,4,4814,No
2,2,174,3,3,5348,No
5,1,260,5,3,1705,No
2,2,148,6,63,1279,Yes
4,2,204,2,1,4533,No
5,1,142,6,1,4843,Yes
5,3,149,3,43,1005,Yes
4,3,137,3,5,4854,Yes
4,3,266,3,8,4493,No
3,2,267,5,48,2622,Yes
3,5,228,2,6,5893,No
4,2,182,3,14,3413,Yes
4,1,236,3,4,4248,No
5,3,268,3,9,4152,Yes
3,1,242,10,9,5151,Yes
4,4,197,3,29,2915,Yes
3,3,229,3,14,2164,Yes
3,4,220,3,5,5078,No
4,5,223,5,4,4704,No
3,3,248,4,36,3276,Yes
5,2,173,3,7,1855,Yes
3,1,190,3,2,4312,No
3,3,231,2,46,2962,Yes
3,1,237,2,9,4626,Yes
2,4,108,5,5,4874,Yes
7,4,272,4,3,1805,No
5,4,229,3,29,2505,Yes
5,3,266,3,4,4969,Yes
5,5,284,6,9,3912,Yes
3,4,206,3,5,4022,No
3,2,144,5,43,1027,Yes
4,3,165,2,2,5210,No
4,2,250,3,53,2478,Yes
4,4,188,3,6,4174,Yes
4,5,198,6,6,5380,No
4,2,257,3,8,5045,Yes
6,4,249,4,10,1318,No
6,3,254,5,7,1615,Yes
5,2,196,5,10,5111,No
4,3,169,10,6,5106,Yes
3,2,227,3,21,2351,Yes
4,1,250,6,7,1292,No
3,2,195,2,8,4365,No
3,3,261,4,3,5722,Yes
3,1,186,2,7,4556,No
4,4,258,3,4,4578,No
3,3,253,4,57,2489,Yes
4,1,154,10,10,5674,Yes
3,4,246,3,30,3748,Yes
3,4,246,3,1,4020,Yes
5,2,223,5,5,1010,Yes
3,4,181,4,3,5163,Yes
3,5,142,2,8,4914,No
4,4,217,2,6,4029,Yes
3,3,174,2,1,5556,No
3,4,236,4,9,4744,No
4,1,264,2,8,2436,Yes
6,5,310,4,10,1553,No
3,2,211,4,1,5831,Yes
5,4,223,5,2,1400,No
4,2,164,3,15,1489,Yes
4,2,258,3,9,4977,Yes
2,2,134,3,38,1352,Yes
3,4,203,4,46,3640,Yes
5,3,247,5,10,1699,Yes
4,1,241,3,6,4558,No
5,1,255,4,9,4881,Yes
5,1,234,3,40,3340,Yes
4,3,130,3,3,4317,No
2,3,160,3,43,1251,Yes
2,3,277,3,1,1738,No
6,2,219,5,9,1071,No
2,3,164,5,7,1243,No
4,2,142,3,3,4644,No
3,2,210,3,43,2096,Yes
5,3,254,2,4,5014,No
3,2,199,4,1,5660,No
4,5,187,2,44,3218,Yes
4,2,231,4,9,5194,No
5,2,248,5,1,1845,Yes
2,5,167,3,8,4605,No
4,5,143,3,48,1922,Yes
5,1,226,5,3,1409,No
5,5,180,2,5,4585,Yes
3,1,171,2,34,1999,Yes
5,2,128,5,45,1707,Yes
6,5,294,4,10,1628,Yes
5,3,264,10,34,3441,Yes
5,1,196,3,24,2957,Yes
3,1,254,4,33,2542,Yes
4,1,200,3,5,4686,No
6,5,261,4,3,1217,Yes
3,5,224,3,6,5115,No
3,5,251,4,3,5215,Yes
3,3,209,3,2,4036,Yes
3,2,194,3,7,4727,Yes
4,2,244,5,7,5337,No
6,2,286,4,4,1594,No
5,3,190,3,52,2611,Yes
3,4,213,3,5,4535,Yes
6,4,287,4,5,1972,Yes
4,1,277,5,3,1527,Yes
4,1,189,3,5,4496,Yes
7,3,307,4,1,1793,Yes
4,4,221,3,5,4024,No
3,1,236,3,8,5341,Yes
2,3,151,3,23,1930,Yes
4,1,201,8,4,4295,No
5,2,206,2,2,5627,Yes
2,5,158,3,40,1722,Yes
6,3,269,4,4,1948,Yes
5,2,203,6,7,5289,No
3,2,142,2,7,4082,No
2,2,124,3,56,1494,Yes
3,4,232,2,10,5678,No
6,5,286,4,31,3774,Yes
4,1,214,2,10,4447,No
3,1,160,2,10,5642,Yes
3,3,220,3,6,5269,Yes
6,4,285,4,4,1244,Yes
7,5,285,4,6,1591,Yes
5,3,218,5,4,1433,No
2,1,192,3,46,3206,Yes
4,1,235,5,9,1821,Yes
4,2,190,5,38,3022,Yes
3,4,209,2,62,2935,Yes
3,3,249,5,9,1752,No
7,1,267,4,9,1261,Yes
4,1,177,3,5,4382,No
4,1,157,2,5,5647,No
3,3,255,2,10,5632,No
4,1,258,5,8,1306,No
3,3,241,3,6,5261,No
3,4,263,3,2,5741,Yes
4,5,161,3,2,5378,No
5,4,268,3,3,5320,Yes
3,4,231,3,39,3792,Yes
3,4,273,4,4,5361,No
3,4,145,3,7,4079,Yes
4,5,134,10,5,4244,No
5,3,159,3,7,5462,Yes
4,2,210,2,3,5876,Yes
3,2,245,4,60,2178,Yes
4,1,162,3,6,4343,Yes
3,2,135,2,2,1150,Yes
6,3,285,7,7,5030,Yes
6,5,246,5,3,4660,Yes
4,1,231,3,5,4118,Yes
5,5,227,5,2,1436,Yes
3,4,100,3,4,4191,No
5,5,228,4,6,4946,Yes
4,3,242,4,62,3997,Yes
4,1,237,5,5,1154,Yes
4,2,159,5,4,5547,Yes
3,4,183,3,1,5959,Yes
3,3,229,7,4,5075,Yes
3,2,232,2,58,2054,Yes
7,1,290,4,9,1885,No
6,2,245,4,10,1448,No
3,4,212,8,34,2750,Yes
6,4,266,4,3,1503,Yes
6,5,309,4,6,1463,Yes
6,3,225,4,5,4184,Yes
3,1,185,3,61,3280,Yes
4,4,232,4,27,3436,Yes
4,5,133,3,8,5653,Yes
4,2,259,2,54,2244,Yes
3,3,223,2,30,3622,Yes
4,2,203,3,9,5296,Yes
5,1,265,3,5,4951,Yes
3,4,195,3,10,2021,Yes
3,3,145,3,8,4522,No
3,4,207,2,10,4706,No
4,2,271,5,4,1633,Yes
4,3,249,3,4,4811,No
4,5,269,4,60,3456,Yes
4,2,158,3,3,4527,No
5,2,274,2,5,4154,No
7,3,302,4,7,1915,No
4,5,228,4,4,4750,No
6,4,297,4,9,1249,Yes
6,4,210,5,2,4651,No
5,5,212,5,6,4463,No
5,3,167,3,5,1772,Yes
4,4,209,3,44,2075,Yes
3,2,167,3,5,5995,Yes
6,2,161,4,9,1377,No
3,2,204,2,7,5961,No
7,5,243,5,28,1100,Yes
4,3,164,3,4,4495,No
3,4,206,4,2,4372,No
4,1,139,3,7,4550,No
5,1,103,5,3,4966,No
2,2,140,3,19,1806,Yes
5,5,265,3,46,3997,Yes
5,5,254,5,7,1967,No
3,5,156,2,8,5848,No
4,5,257,5,6,1008,No
4,5,195,3,7,4835,No
4,2,231,5,7,4718,No
3,5,164,3,10,4639,Yes
3,4,273,2,39,2651,Yes
3,5,233,3,7,5787,No
7,3,300,4,5,1244,No
6,5,275,4,8,1553,Yes
3,1,264,4,10,4265,No
5,3,270,2,7,5248,Yes
4,1,216,6,9,1678,Yes
4,4,106,2,10,5173,Yes
5,3,168,4,7,1298,Yes
4,1,206,3,2,5013,Yes
5,2,264,5,4,1318,No
4,2,257,4,58,2269,Yes
6,3,223,2,7,5007,No
3,4,162,3,7,5313,No
4,3,220,4,19,3602,Yes
5,3,236,2,6,1329,Yes
2,4,183,2,5,5335,Yes
5,4,252,3,2,4162,No
3,3,176,2,58,1730,Yes
3,4,222,3,6,5819,No
4,1,139,3,56,1811,Yes
4,4,186,3,2,4430,No
3,5,167,2,5,5042,Yes
4,3,245,6,2,1727,Yes
3,1,142,4,4,1583,Yes
3,2,195,10,9,4256,No
3,3,176,3,1,5168,No
4,5,197,2,3,4379,Yes
4,2,163,3,11,1926,Yes
4,3,271,3,1,4137,No
4,5,201,4,46,3498,Yes
5,1,189,4,10,4166,Yes
2,2,190,8,33,3448,Yes
5,2,219,5,10,1276,No
5,1,208,2,8,5218,No
4,5,191,2,10,5068,Yes
3,1,146,2,8,5375,No
3,5,260,3,7,5379,Yes
4,3,179,3,3,5495,Yes
3,5,108,2,10,5559,Yes
3,4,153,10,4,5456,Yes
6,4,264,4,1,1660,Yes
3,5,177,4,9,5311,No
5,5,239,3,5,4122,No
4,4,260,5,5,1952,Yes
3,5,250,2,9,1205,No
6,4,279,4,10,1462,Yes
6,5,252,4,9,1460,No
3,3,146,3,4,5384,No
5,5,261,5,9,5385,No
3,4,240,2,33,3489,Yes
3,4,136,3,6,4631,No
3,4,242,3,54,3011,Yes
3,4,164,3,5,1408,Yes
4,4,238,3,5,4724,Yes
3,4,251,3,5,5608,Yes
5,3,261,5,10,1434,Yes
3,4,175,3,10,4771,Yes
2,2,240,3,53,2980,Yes
4,3,237,2,22,2912,Yes
3,2,169,2,30,1698,Yes
4,1,133,3,57,1379,Yes
5,1,162,3,1,5537,No
3,1,143,2,63,1246,Yes
3,1,221,3,64,2794,Yes
4,4,221,4,14,2932,Yes
3,1,230,2,4,4387,Yes
3,3,220,3,2,5065,Yes
2,3,139,3,9,1471,Yes
4,3,167,2,2,5544,No
4,2,249,5,2,1195,No
4,3,158,3,57,1911,Yes
2,5,192,6,41,2673,Yes
5,2,254,2,4,4180,Yes
4,4,176,6,5,4494,Yes
5,3,194,4,9,5851,No
2,1,189,2,48,2429,Yes
3,1,136,2,61,1509,Yes
4,5,224,2,6,4994,No
4,4,272,5,3,5243,No
4,5,159,5,2,5654,Yes
3,2,233,3,7,5838,No
5,5,260,3,8,4586,Yes
4,3,218,2,7,4423,No
5,1,248,4,6,1944,Yes
5,4,135,4,4,4541,No
7,1,254,4,6,1279,Yes
5,4,263,3,61,2606,Yes
7,2,288,4,4,1321,No
3,1,269,3,61,3542,Yes
5,5,238,8,9,5186,No
3,1,243,4,59,3838,Yes
3,2,243,4,5,4670,Yes
5,1,230,3,43,2994,Yes
4,3,260,4,5,5307,No
4,4,224,5,9,4902,Yes
4,3,132,4,10,1767,Yes
4,1,237,3,8,5668,Yes
5,1,248,5,3,1642,Yes
3,2,198,3,15,3250,Yes
3,5,193,3,2,4784,No
3,1,219,8,1,4122,Yes
6,2,255,4,3,1355,No
4,1,178,3,63,1573,Yes
5,2,181,3,4,4323,No
5,1,171,4,9,4418,Yes
4,4,274,3,3,4202,Yes
4,3,261,2,47,2336,Yes
2,4,114,5,5,5334,Yes
6,5,301,4,3,1958,No
5,5,134,2,53,1088,Yes
3,1,218,3,4,2304,Yes
5,2,192,3,7,5695,Yes
5,1,203,3,2,4162,Yes
5,4,251,2,3,5347,Yes
3,4,180,2,49,1942,Yes
5,2,224,3,4,4271,No
5,1,253,5,31,3836,Yes
4,3,261,3,6,2787,Yes
6,1,277,5,2,1190,Yes
4,1,239,5,1,1780,Yes
4,4,234,5,7,1871,No
5,4,236,5,1,1682,No
4,1,173,2,8,4893,No
4,3,262,3,9,4404,Yes
3,1,211,3,7,5178,No
3,1,231,3,9,5148,Yes
4,1,153,2,9,4359,No
4,1,233,2,48,2804,Yes
3,2,256,2,9,4228,Yes
2,5,186,2,10,4506,No
5,1,158,4,4,5687,Yes
6,4,136,3,2,1187,No
3,2,208,2,1,4999,No
6,1,251,4,2,1679,No
5,2,135,2,4,5405,No
4,4,246,2,2,4633,Yes
3,2,250,4,3,5449,Yes
3,1,231,2,24,3811,Yes
6,2,244,4,1,1406,Yes
4,1,194,3,9,5804,No
4,2,168,6,9,4030,No
5,4,137,2,7,5338,Yes
4,1,201,10,37,3402,Yes
3,4,133,4,10,4571,No
3,2,221,2,10,4312,No
5,4,228,5,9,1549,Yes
4,4,127,4,54,1239,Yes
3,5,196,3,9,4741,Yes
3,5,253,2,8,5476,Yes
5,5,243,6,9,4587,No
4,1,274,4,61,3402,Yes
4,4,149,2,9,4605,No
4,5,156,3,2,1127,Yes
4,1,154,2,1,5578,No
3,1,249,2,9,5987,Yes
3,5,145,2,2,4232,Yes
6,1,141,5,9,5113,No
3,5,193,10,6,5247,Yes
5,1,246,2,4,5461,No
5,2,249,3,9,5978,Yes
5,2,217,2,6,4120,Yes
4,3,237,6,8,5588,No
7,1,307,4,8,1339,No
4,4,209,3,37,3026,Yes
4,1,250,2,45,3021,Yes
2,4,268,4,5,4400,Yes
4,4,228,5,6,1853,Yes
5,1,275,5,7,1623,Yes
