no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,lead_time,arrival_month,arrival_date,avg_price_per_room,no_of_special_requests,booking_status
2.0,0.0,2.0,2.0,21.0,9.0,2.0,141.0,1.0,Canceled
2.0,0.0,0.0,1.0,1.0,12.0,29.0,65.0,1.0,Not_Canceled
2.0,0.0,0.0,3.0,144.0,9.0,22.0,129.6,1.0,Not_Canceled
2.0,0.0,2.0,3.0,157.0,6.0,26.0,90.95,0.0,Canceled
2.0,0.0,2.0,5.0,180.0,8.0,3.0,112.2,0.0,Canceled
2.0,0.0,1.0,0.0,3.0,4.0,17.0,89.0,0.0,Not_Canceled
2.0,0.0,2.0,4.0,260.0,10.0,7.0,100.3,2.0,Canceled
2.0,0.0,2.0,5.0,81.0,9.0,6.0,72.25,0.0,Not_Canceled
2.0,0.0,0.0,3.0,57.0,9.0,1.0,123.3,1.0,Canceled
2.0,0.0,2.0,3.0,192.0,9.0,25.0,102.0,0.0,Canceled
2.0,0.0,1.0,3.0,14.0,11.0,5.0,43.5,0.0,Not_Canceled
1.0,0.0,1.0,0.0,10.0,10.0,18.0,65.0,0.0,Not_Canceled
2.0,0.0,2.0,1.0,89.0,4.0,9.0,79.5,0.0,Not_Canceled
2.0,2.0,0.0,2.0,136.0,8.0,12.0,221.3,1.0,Canceled
3.0,0.0,0.0,1.0,34.0,8.0,10.0,168.3,0.0,Canceled
1.0,0.0,0.0,2.0,103.0,4.0,19.0,115.0,0.0,Canceled
3.0,0.0,2.0,3.0,232.0,12.0,24.0,75.65,0.0,Not_Canceled
2.0,0.0,0.0,2.0,21.0,4.0,13.0,117.0,0.0,Canceled
2.0,1.0,0.0,1.0,39.0,12.0,27.0,133.0,1.0,Not_Canceled
2.0,0.0,1.0,1.0,174.0,10.0,10.0,70.0,0.0,Canceled
2.0,1.0,1.0,3.0,4.0,11.0,17.0,109.23,3.0,Not_Canceled
2.0,0.0,0.0,2.0,56.0,9.0,17.0,82.0,0.0,Not_Canceled
2.0,0.0,1.0,5.0,28.0,10.0,3.0,137.2,1.0,Not_Canceled
2.0,0.0,0.0,2.0,377.0,10.0,14.0,115.0,1.0,Canceled
1.0,0.0,0.0,1.0,40.0,4.0,27.0,72.0,0.0,Not_Canceled
2.0,0.0,1.0,2.0,2.0,8.0,21.0,100.67,2.0,Not_Canceled
2.0,0.0,2.0,3.0,161.0,10.0,2.0,91.48,1.0,Not_Canceled
2.0,0.0,0.0,3.0,28.0,11.0,2.0,130.0,2.0,Not_Canceled
2.0,0.0,0.0,1.0,72.0,9.0,18.0,108.0,0.0,Not_Canceled
2.0,0.0,2.0,2.0,119.0,6.0,26.0,83.83,1.0,Not_Canceled
2.0,0.0,1.0,2.0,89.0,11.0,23.0,72.25,2.0,Not_Canceled
1.0,0.0,2.0,5.0,11.0,10.0,23.0,116.71,3.0,Not_Canceled
2.0,0.0,0.0,1.0,17.0,3.0,16.0,97.0,0.0,Canceled
3.0,0.0,0.0,3.0,199.0,8.0,9.0,128.7,2.0,Canceled
3.0,0.0,2.0,1.0,31.0,7.0,9.0,168.3,0.0,Canceled
2.0,0.0,0.0,3.0,30.0,10.0,5.0,157.5,2.0,Not_Canceled
2.0,0.0,1.0,4.0,37.0,11.0,25.0,94.18,2.0,Not_Canceled
2.0,0.0,2.0,1.0,6.0,10.0,10.0,65.0,0.0,Not_Canceled
2.0,0.0,0.0,4.0,180.0,10.0,26.0,66.49,1.0,Not_Canceled
1.0,0.0,0.0,1.0,8.0,10.0,20.0,89.0,1.0,Not_Canceled
2.0,0.0,0.0,1.0,2.0,3.0,8.0,103.0,1.0,Not_Canceled
1.0,0.0,1.0,4.0,34.0,2.0,8.0,73.9,0.0,Not_Canceled
2.0,0.0,1.0,2.0,20.0,12.0,5.0,88.0,1.0,Not_Canceled
2.0,1.0,1.0,2.0,238.0,10.0,28.0,112.5,0.0,Canceled
2.0,0.0,0.0,3.0,276.0,9.0,22.0,95.0,0.0,Canceled
2.0,0.0,0.0,2.0,16.0,12.0,2.0,91.5,1.0,Not_Canceled
2.0,0.0,2.0,2.0,56.0,9.0,25.0,185.0,0.0,Not_Canceled
2.0,0.0,0.0,3.0,63.0,11.0,10.0,118.33,3.0,Not_Canceled
2.0,0.0,2.0,3.0,61.0,7.0,17.0,120.6,1.0,Not_Canceled
2.0,0.0,0.0,1.0,35.0,12.0,26.0,97.0,1.0,Not_Canceled
1.0,0.0,2.0,1.0,9.0,2.0,21.0,85.0,0.0,Canceled
2.0,0.0,2.0,2.0,48.0,10.0,15.0,173.7,2.0,Not_Canceled
2.0,0.0,0.0,2.0,80.0,10.0,9.0,136.0,0.0,Not_Canceled
2.0,0.0,2.0,0.0,0.0,12.0,25.0,80.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,1.0,9.0,30.0,102.6,0.0,Not_Canceled
2.0,0.0,2.0,4.0,149.0,7.0,23.0,99.45,1.0,Not_Canceled
1.0,0.0,1.0,0.0,0.0,10.0,3.0,65.0,0.0,Not_Canceled
1.0,0.0,0.0,3.0,71.0,6.0,14.0,120.0,0.0,Not_Canceled
2.0,0.0,2.0,3.0,5.0,12.0,30.0,116.0,1.0,Not_Canceled
2.0,2.0,0.0,1.0,70.0,4.0,20.0,186.3,0.0,Canceled
2.0,0.0,0.0,2.0,36.0,9.0,16.0,243.9,2.0,Not_Canceled
2.0,0.0,2.0,4.0,78.0,3.0,25.0,48.33,0.0,Not_Canceled
1.0,0.0,0.0,1.0,21.0,2.0,25.0,66.0,0.0,Canceled
1.0,0.0,0.0,2.0,21.0,10.0,26.0,95.48,1.0,Not_Canceled
1.0,0.0,1.0,1.0,5.0,7.0,18.0,65.0,2.0,Not_Canceled
1.0,0.0,0.0,4.0,323.0,5.0,17.0,86.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,43.0,11.0,11.0,130.0,1.0,Not_Canceled
2.0,0.0,0.0,3.0,125.0,12.0,27.0,68.0,1.0,Not_Canceled
2.0,0.0,2.0,2.0,6.0,4.0,3.0,85.0,0.0,Not_Canceled
2.0,0.0,2.0,1.0,18.0,12.0,26.0,97.0,0.0,Not_Canceled
2.0,0.0,0.0,5.0,9.0,4.0,12.0,143.6,0.0,Canceled
1.0,0.0,1.0,3.0,8.0,10.0,17.0,112.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,0.0,8.0,14.0,109.0,0.0,Not_Canceled
2.0,1.0,1.0,0.0,1.0,3.0,28.0,101.0,0.0,Not_Canceled
1.0,0.0,0.0,1.0,1.0,8.0,19.0,65.0,0.0,Not_Canceled
2.0,0.0,2.0,3.0,69.0,3.0,20.0,90.95,1.0,Not_Canceled
2.0,0.0,0.0,1.0,83.0,7.0,23.0,105.3,1.0,Not_Canceled
2.0,0.0,1.0,2.0,305.0,11.0,4.0,89.0,0.0,Canceled
2.0,1.0,0.0,1.0,0.0,7.0,1.0,159.0,0.0,Not_Canceled
2.0,0.0,0.0,4.0,12.0,11.0,22.0,77.78,2.0,Not_Canceled
1.0,0.0,0.0,2.0,0.0,3.0,2.0,55.0,1.0,Not_Canceled
2.0,0.0,2.0,2.0,247.0,10.0,28.0,70.03,1.0,Canceled
2.0,0.0,0.0,2.0,39.0,8.0,14.0,101.5,0.0,Not_Canceled
2.0,0.0,1.0,1.0,45.0,11.0,5.0,106.2,2.0,Not_Canceled
1.0,0.0,1.0,2.0,0.0,9.0,7.0,65.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,292.0,7.0,21.0,115.0,0.0,Canceled
1.0,0.0,2.0,2.0,81.0,11.0,6.0,146.6,1.0,Not_Canceled
2.0,0.0,1.0,3.0,18.0,6.0,2.0,140.9,1.0,Not_Canceled
3.0,0.0,1.0,2.0,222.0,12.0,2.0,110.7,2.0,Not_Canceled
1.0,0.0,2.0,1.0,116.0,2.0,28.0,1.0,0.0,Not_Canceled
2.0,0.0,2.0,4.0,179.0,7.0,23.0,90.95,1.0,Not_Canceled
2.0,0.0,1.0,1.0,53.0,10.0,29.0,107.1,1.0,Canceled
2.0,0.0,0.0,1.0,85.0,6.0,2.0,140.4,0.0,Canceled
2.0,0.0,2.0,5.0,6.0,6.0,10.0,144.57,2.0,Not_Canceled
1.0,0.0,3.0,5.0,10.0,5.0,29.0,110.0,0.0,Not_Canceled
2.0,0.0,0.0,5.0,36.0,11.0,3.0,60.0,0.0,Not_Canceled
2.0,0.0,1.0,3.0,56.0,11.0,10.0,97.23,0.0,Not_Canceled
2.0,0.0,0.0,3.0,304.0,11.0,3.0,89.0,0.0,Canceled
2.0,0.0,1.0,2.0,35.0,10.0,28.0,129.0,1.0,Not_Canceled
2.0,0.0,2.0,2.0,37.0,6.0,26.0,156.6,2.0,Not_Canceled
2.0,0.0,1.0,1.0,134.0,7.0,4.0,109.8,0.0,Not_Canceled
2.0,0.0,0.0,2.0,64.0,5.0,17.0,140.0,0.0,Canceled
2.0,2.0,1.0,3.0,72.0,12.0,26.0,156.61,0.0,Canceled
2.0,0.0,2.0,0.0,5.0,9.0,20.0,100.0,0.0,Not_Canceled
2.0,0.0,1.0,2.0,13.0,4.0,29.0,125.67,1.0,Not_Canceled
2.0,0.0,1.0,1.0,33.0,1.0,25.0,62.0,0.0,Canceled
2.0,0.0,2.0,2.0,43.0,7.0,3.0,127.1,3.0,Not_Canceled
3.0,0.0,1.0,4.0,103.0,8.0,1.0,146.7,0.0,Not_Canceled
1.0,0.0,2.0,2.0,35.0,4.0,22.0,118.8,0.0,Canceled
2.0,2.0,0.0,1.0,85.0,6.0,30.0,186.3,0.0,Canceled
2.0,0.0,2.0,1.0,20.0,8.0,21.0,175.0,2.0,Not_Canceled
2.0,0.0,2.0,2.0,95.0,7.0,15.0,79.56,0.0,Not_Canceled
2.0,0.0,0.0,1.0,0.0,8.0,17.0,150.0,1.0,Not_Canceled
2.0,0.0,2.0,3.0,118.0,8.0,13.0,114.3,1.0,Not_Canceled
1.0,0.0,0.0,1.0,0.0,12.0,21.0,65.0,0.0,Not_Canceled
2.0,0.0,0.0,1.0,1.0,4.0,6.0,129.0,0.0,Not_Canceled
2.0,0.0,2.0,0.0,6.0,12.0,27.0,75.0,0.0,Not_Canceled
2.0,0.0,2.0,2.0,256.0,8.0,7.0,96.25,1.0,Not_Canceled
1.0,0.0,0.0,1.0,1.0,1.0,30.0,46.0,0.0,Not_Canceled
2.0,0.0,2.0,3.0,45.0,4.0,24.0,108.79,0.0,Not_Canceled
2.0,0.0,1.0,2.0,84.0,10.0,16.0,89.25,2.0,Not_Canceled
1.0,0.0,2.0,1.0,125.0,8.0,7.0,108.9,0.0,Canceled
2.0,0.0,0.0,1.0,55.0,4.0,6.0,104.0,0.0,Not_Canceled
2.0,0.0,1.0,3.0,113.0,4.0,25.0,100.75,1.0,Not_Canceled
2.0,0.0,1.0,0.0,49.0,7.0,11.0,93.15,0.0,Canceled
2.0,0.0,0.0,2.0,286.0,12.0,9.0,78.3,2.0,Not_Canceled
2.0,0.0,2.0,0.0,75.0,8.0,14.0,135.9,0.0,Canceled
1.0,0.0,0.0,3.0,166.0,11.0,1.0,110.0,0.0,Canceled
1.0,0.0,0.0,1.0,99.0,2.0,19.0,81.0,0.0,Not_Canceled
1.0,0.0,2.0,4.0,69.0,6.0,12.0,120.0,0.0,Canceled
2.0,0.0,1.0,0.0,1.0,6.0,27.0,127.0,1.0,Not_Canceled
1.0,0.0,0.0,1.0,8.0,10.0,6.0,65.0,0.0,Not_Canceled
1.0,0.0,3.0,7.0,313.0,12.0,23.0,77.69,0.0,Canceled
2.0,0.0,0.0,1.0,19.0,4.0,13.0,119.0,1.0,Not_Canceled
1.0,0.0,2.0,1.0,18.0,12.0,11.0,67.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,62.0,12.0,8.0,100.6,0.0,Not_Canceled
3.0,0.0,2.0,2.0,151.0,9.0,23.0,162.0,2.0,Canceled
1.0,0.0,0.0,2.0,33.0,9.0,28.0,65.0,0.0,Not_Canceled
2.0,2.0,0.0,2.0,83.0,4.0,1.0,159.3,0.0,Canceled
2.0,1.0,2.0,6.0,185.0,8.0,2.0,114.75,1.0,Canceled
1.0,0.0,0.0,1.0,2.0,10.0,15.0,104.72,1.0,Not_Canceled
1.0,0.0,1.0,1.0,45.0,11.0,19.0,86.4,0.0,Canceled
2.0,0.0,0.0,2.0,35.0,10.0,28.0,109.0,2.0,Not_Canceled
2.0,0.0,1.0,2.0,24.0,2.0,12.0,74.8,1.0,Not_Canceled
2.0,0.0,1.0,2.0,3.0,3.0,25.0,135.67,1.0,Not_Canceled
1.0,0.0,1.0,0.0,3.0,3.0,6.0,96.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,39.0,8.0,14.0,109.0,0.0,Not_Canceled
2.0,0.0,0.0,3.0,50.0,8.0,16.0,135.9,2.0,Not_Canceled
2.0,0.0,2.0,4.0,6.0,8.0,5.0,70.0,0.0,Not_Canceled
1.0,0.0,0.0,1.0,5.0,2.0,3.0,67.0,0.0,Not_Canceled
2.0,0.0,1.0,1.0,235.0,8.0,6.0,96.3,1.0,Not_Canceled
2.0,0.0,0.0,3.0,37.0,10.0,13.0,105.0,0.0,Not_Canceled
2.0,0.0,2.0,3.0,190.0,12.0,1.0,59.16,0.0,Not_Canceled
1.0,0.0,0.0,1.0,0.0,9.0,8.0,91.2,0.0,Not_Canceled
2.0,0.0,0.0,1.0,56.0,6.0,8.0,120.0,0.0,Not_Canceled
2.0,0.0,0.0,3.0,24.0,9.0,1.0,122.0,0.0,Not_Canceled
3.0,0.0,0.0,4.0,57.0,3.0,29.0,116.45,0.0,Canceled
2.0,0.0,0.0,3.0,50.0,1.0,14.0,52.0,2.0,Not_Canceled
1.0,0.0,2.0,3.0,90.0,3.0,6.0,74.95,0.0,Not_Canceled
2.0,0.0,0.0,1.0,4.0,2.0,16.0,79.0,0.0,Not_Canceled
1.0,0.0,0.0,2.0,37.0,9.0,8.0,90.0,0.0,Not_Canceled
1.0,0.0,0.0,1.0,15.0,1.0,26.0,80.0,0.0,Not_Canceled
2.0,0.0,2.0,0.0,386.0,10.0,23.0,115.0,1.0,Canceled
1.0,0.0,0.0,1.0,6.0,9.0,24.0,77.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,1.0,9.0,9.0,142.0,1.0,Canceled
3.0,0.0,1.0,0.0,40.0,10.0,2.0,158.4,1.0,Not_Canceled
1.0,0.0,1.0,1.0,6.0,7.0,11.0,166.0,1.0,Not_Canceled
1.0,0.0,2.0,3.0,34.0,10.0,18.0,90.9,2.0,Not_Canceled
2.0,1.0,0.0,1.0,10.0,1.0,16.0,77.6,1.0,Not_Canceled
2.0,0.0,0.0,1.0,47.0,10.0,27.0,128.0,1.0,Not_Canceled
2.0,0.0,1.0,0.0,31.0,4.0,24.0,94.5,0.0,Canceled
2.0,0.0,0.0,3.0,213.0,6.0,7.0,130.0,0.0,Canceled
2.0,0.0,2.0,2.0,24.0,9.0,10.0,109.0,1.0,Not_Canceled
2.0,0.0,2.0,1.0,186.0,8.0,14.0,112.0,0.0,Canceled
2.0,0.0,1.0,2.0,17.0,11.0,13.0,38.67,0.0,Not_Canceled
1.0,0.0,1.0,1.0,6.0,10.0,1.0,152.0,0.0,Not_Canceled
1.0,0.0,1.0,2.0,118.0,6.0,6.0,110.0,0.0,Not_Canceled
1.0,0.0,1.0,2.0,118.0,6.0,6.0,110.0,0.0,Not_Canceled
2.0,0.0,2.0,1.0,96.0,7.0,11.0,94.5,0.0,Canceled
2.0,0.0,0.0,4.0,13.0,2.0,3.0,96.0,0.0,Not_Canceled
2.0,0.0,2.0,1.0,124.0,8.0,7.0,114.3,0.0,Canceled
2.0,0.0,2.0,1.0,92.0,3.0,26.0,100.0,0.0,Canceled
1.0,0.0,1.0,2.0,114.0,7.0,1.0,75.0,0.0,Canceled
2.0,2.0,0.0,3.0,50.0,8.0,30.0,181.8,0.0,Not_Canceled
2.0,0.0,1.0,0.0,6.0,8.0,21.0,75.0,0.0,Not_Canceled
2.0,0.0,0.0,3.0,304.0,11.0,3.0,89.0,0.0,Canceled
2.0,0.0,2.0,2.0,35.0,12.0,2.0,74.8,2.0,Not_Canceled
2.0,0.0,0.0,3.0,37.0,10.0,13.0,105.0,0.0,Not_Canceled
2.0,0.0,1.0,2.0,50.0,11.0,13.0,60.0,0.0,Not_Canceled
2.0,0.0,2.0,3.0,57.0,9.0,9.0,109.29,1.0,Not_Canceled
2.0,0.0,1.0,4.0,96.0,7.0,22.0,76.5,1.0,Canceled
1.0,0.0,0.0,3.0,8.0,3.0,1.0,56.0,0.0,Not_Canceled
2.0,0.0,2.0,0.0,13.0,9.0,25.0,149.0,0.0,Canceled
2.0,0.0,0.0,3.0,50.0,11.0,11.0,60.0,0.0,Not_Canceled
2.0,0.0,2.0,4.0,29.0,12.0,30.0,84.67,0.0,Not_Canceled
2.0,0.0,0.0,2.0,56.0,9.0,17.0,82.0,0.0,Not_Canceled
2.0,0.0,0.0,3.0,37.0,10.0,13.0,105.0,0.0,Not_Canceled
1.0,0.0,0.0,2.0,273.0,7.0,17.0,87.0,0.0,Not_Canceled
2.0,2.0,2.0,5.0,136.0,5.0,7.0,170.36,0.0,Canceled
2.0,0.0,0.0,1.0,172.0,11.0,12.0,99.9,1.0,Not_Canceled
2.0,0.0,0.0,2.0,39.0,8.0,14.0,101.5,0.0,Not_Canceled
2.0,0.0,1.0,3.0,68.0,12.0,8.0,88.4,1.0,Not_Canceled
1.0,0.0,0.0,3.0,73.0,11.0,24.0,67.83,0.0,Not_Canceled
1.0,0.0,0.0,1.0,0.0,12.0,31.0,0.0,0.0,Not_Canceled
1.0,0.0,1.0,1.0,24.0,9.0,19.0,87.78,2.0,Not_Canceled
2.0,0.0,2.0,1.0,103.0,7.0,18.0,94.5,0.0,Canceled
2.0,0.0,2.0,1.0,240.0,12.0,10.0,67.5,2.0,Canceled
2.0,0.0,2.0,2.0,56.0,5.0,14.0,132.6,1.0,Not_Canceled
3.0,0.0,2.0,0.0,47.0,12.0,4.0,98.1,2.0,Not_Canceled
2.0,0.0,0.0,2.0,291.0,8.0,19.0,115.0,0.0,Canceled
2.0,0.0,1.0,1.0,6.0,9.0,17.0,149.0,1.0,Not_Canceled
1.0,0.0,2.0,0.0,95.0,11.0,20.0,90.0,2.0,Canceled
1.0,0.0,1.0,1.0,67.0,11.0,26.0,86.4,1.0,Not_Canceled
1.0,0.0,0.0,4.0,55.0,12.0,13.0,74.8,2.0,Not_Canceled
2.0,0.0,0.0,2.0,12.0,6.0,8.0,121.0,1.0,Canceled
2.0,0.0,1.0,1.0,251.0,11.0,21.0,73.35,1.0,Not_Canceled
2.0,0.0,0.0,4.0,270.0,4.0,20.0,62.8,0.0,Canceled
2.0,0.0,2.0,1.0,21.0,9.0,25.0,139.0,1.0,Not_Canceled
1.0,0.0,0.0,1.0,105.0,9.0,28.0,65.0,0.0,Not_Canceled
2.0,2.0,1.0,1.0,2.0,4.0,30.0,211.0,2.0,Not_Canceled
2.0,0.0,1.0,2.0,168.0,4.0,22.0,85.0,0.0,Canceled
2.0,0.0,2.0,2.0,33.0,4.0,16.0,103.05,1.0,Not_Canceled
2.0,0.0,0.0,4.0,17.0,3.0,1.0,92.53,0.0,Canceled
2.0,0.0,1.0,1.0,152.0,7.0,11.0,99.0,2.0,Not_Canceled
2.0,0.0,2.0,3.0,212.0,5.0,20.0,78.0,1.0,Not_Canceled
2.0,0.0,0.0,3.0,123.0,5.0,17.0,94.5,1.0,Not_Canceled
2.0,0.0,1.0,1.0,44.0,1.0,2.0,2.0,0.0,Not_Canceled
2.0,0.0,1.0,3.0,100.0,3.0,17.0,73.95,0.0,Not_Canceled
2.0,0.0,0.0,3.0,50.0,11.0,10.0,126.3,2.0,Not_Canceled
2.0,0.0,0.0,2.0,57.0,11.0,11.0,75.0,0.0,Not_Canceled
2.0,0.0,0.0,1.0,28.0,4.0,12.0,80.85,1.0,Not_Canceled
1.0,0.0,0.0,1.0,8.0,10.0,6.0,170.63,0.0,Canceled
2.0,0.0,1.0,3.0,12.0,9.0,7.0,77.57,1.0,Not_Canceled
3.0,0.0,0.0,3.0,8.0,2.0,10.0,92.67,2.0,Not_Canceled
2.0,0.0,2.0,4.0,99.0,4.0,10.0,93.78,1.0,Canceled
2.0,0.0,0.0,1.0,2.0,3.0,30.0,101.0,2.0,Not_Canceled
2.0,2.0,2.0,1.0,28.0,10.0,16.0,219.0,0.0,Canceled
1.0,0.0,1.0,3.0,118.0,6.0,6.0,110.0,0.0,Not_Canceled
2.0,0.0,1.0,2.0,60.0,2.0,5.0,78.3,0.0,Not_Canceled
1.0,0.0,2.0,0.0,10.0,9.0,11.0,149.0,0.0,Canceled
2.0,0.0,1.0,3.0,48.0,11.0,3.0,112.0,0.0,Not_Canceled
2.0,0.0,1.0,3.0,93.0,12.0,26.0,92.51,2.0,Not_Canceled
2.0,0.0,0.0,3.0,43.0,1.0,14.0,86.75,1.0,Not_Canceled
2.0,0.0,2.0,2.0,60.0,3.0,20.0,75.0,0.0,Canceled
2.0,0.0,1.0,5.0,18.0,9.0,7.0,143.0,1.0,Canceled
2.0,0.0,2.0,3.0,0.0,3.0,20.0,124.2,0.0,Not_Canceled
2.0,0.0,1.0,2.0,24.0,2.0,22.0,72.8,0.0,Canceled
2.0,0.0,1.0,2.0,66.0,10.0,9.0,75.0,0.0,Not_Canceled
2.0,0.0,2.0,2.0,166.0,6.0,19.0,100.3,1.0,Canceled
2.0,0.0,2.0,1.0,4.0,9.0,25.0,180.0,1.0,Not_Canceled
2.0,0.0,0.0,3.0,304.0,11.0,3.0,89.0,0.0,Canceled
2.0,2.0,2.0,5.0,110.0,8.0,21.0,205.38,2.0,Canceled
2.0,0.0,1.0,2.0,163.0,9.0,5.0,161.1,2.0,Canceled
2.0,0.0,1.0,2.0,133.0,8.0,15.0,86.36,0.0,Canceled
1.0,0.0,2.0,2.0,56.0,9.0,25.0,185.0,0.0,Not_Canceled
2.0,0.0,2.0,3.0,126.0,9.0,23.0,129.6,2.0,Not_Canceled
2.0,0.0,2.0,0.0,25.0,9.0,25.0,145.0,2.0,Not_Canceled
2.0,0.0,0.0,4.0,15.0,9.0,8.0,105.0,1.0,Not_Canceled
2.0,0.0,1.0,2.0,147.0,12.0,5.0,90.0,0.0,Canceled
2.0,0.0,0.0,2.0,8.0,11.0,25.0,90.0,1.0,Not_Canceled
2.0,0.0,1.0,3.0,127.0,4.0,28.0,90.0,0.0,Not_Canceled
2.0,0.0,2.0,2.0,147.0,5.0,27.0,118.15,1.0,Not_Canceled
1.0,0.0,0.0,1.0,8.0,5.0,25.0,119.0,0.0,Not_Canceled
2.0,0.0,2.0,1.0,13.0,11.0,15.0,85.0,1.0,Not_Canceled
1.0,0.0,0.0,3.0,335.0,10.0,13.0,80.0,0.0,Not_Canceled
3.0,0.0,0.0,4.0,175.0,8.0,2.0,130.05,1.0,Canceled
1.0,0.0,0.0,3.0,58.0,6.0,1.0,140.4,0.0,Canceled
1.0,0.0,1.0,3.0,56.0,6.0,9.0,74.0,0.0,Not_Canceled
2.0,0.0,0.0,5.0,120.0,8.0,9.0,136.8,1.0,Not_Canceled
2.0,0.0,1.0,0.0,8.0,6.0,19.0,0.0,1.0,Not_Canceled
2.0,0.0,2.0,1.0,221.0,10.0,17.0,65.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,30.0,6.0,2.0,140.0,0.0,Not_Canceled
2.0,0.0,0.0,1.0,20.0,9.0,21.0,85.5,0.0,Not_Canceled
2.0,0.0,2.0,2.0,33.0,11.0,13.0,97.4,1.0,Not_Canceled
1.0,0.0,1.0,2.0,56.0,6.0,20.0,94.5,0.0,Canceled
1.0,0.0,1.0,0.0,7.0,11.0,16.0,91.0,2.0,Not_Canceled
2.0,0.0,1.0,2.0,91.0,4.0,4.0,80.0,0.0,Canceled
1.0,0.0,0.0,2.0,7.0,7.0,6.0,106.0,0.0,Not_Canceled
2.0,0.0,0.0,1.0,55.0,4.0,6.0,104.0,0.0,Not_Canceled
0.0,2.0,0.0,3.0,14.0,6.0,9.0,116.49,0.0,Not_Canceled
2.0,0.0,0.0,2.0,14.0,4.0,15.0,142.0,1.0,Not_Canceled
0.0,2.0,0.0,1.0,180.0,8.0,20.0,97.54,1.0,Not_Canceled
2.0,0.0,0.0,2.0,206.0,8.0,4.0,105.3,0.0,Canceled
2.0,0.0,0.0,4.0,270.0,4.0,20.0,80.0,0.0,Not_Canceled
2.0,0.0,1.0,1.0,33.0,6.0,20.0,89.1,1.0,Not_Canceled
2.0,0.0,0.0,4.0,21.0,12.0,28.0,129.58,0.0,Not_Canceled
2.0,0.0,0.0,3.0,133.0,7.0,12.0,105.3,2.0,Not_Canceled
2.0,0.0,1.0,2.0,191.0,6.0,3.0,132.0,0.0,Canceled
1.0,0.0,0.0,1.0,2.0,7.0,29.0,65.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,185.0,5.0,6.0,81.77,2.0,Canceled
1.0,0.0,0.0,2.0,69.0,9.0,22.0,83.0,0.0,Not_Canceled
2.0,0.0,0.0,4.0,253.0,5.0,4.0,90.0,0.0,Canceled
2.0,0.0,1.0,2.0,101.0,4.0,4.0,80.0,0.0,Canceled
2.0,0.0,0.0,3.0,69.0,8.0,16.0,135.9,2.0,Not_Canceled
2.0,0.0,1.0,3.0,210.0,10.0,8.0,72.75,0.0,Not_Canceled
2.0,1.0,1.0,2.0,118.0,8.0,15.0,139.5,1.0,Not_Canceled
2.0,0.0,2.0,5.0,163.0,9.0,10.0,96.88,0.0,Not_Canceled
1.0,0.0,2.0,4.0,69.0,9.0,4.0,88.83,0.0,Canceled
1.0,0.0,0.0,2.0,26.0,3.0,30.0,99.2,0.0,Not_Canceled
2.0,0.0,2.0,0.0,9.0,10.0,30.0,178.0,2.0,Not_Canceled
3.0,0.0,0.0,3.0,8.0,2.0,4.0,127.0,0.0,Canceled
1.0,0.0,0.0,2.0,20.0,7.0,19.0,91.63,1.0,Not_Canceled
3.0,0.0,1.0,2.0,158.0,8.0,15.0,107.1,0.0,Canceled
2.0,0.0,2.0,7.0,57.0,4.0,21.0,114.66,1.0,Not_Canceled
1.0,0.0,1.0,1.0,6.0,4.0,18.0,104.0,0.0,Not_Canceled
2.0,0.0,1.0,3.0,63.0,7.0,25.0,94.5,1.0,Not_Canceled
3.0,0.0,1.0,1.0,171.0,8.0,22.0,137.7,0.0,Canceled
2.0,0.0,0.0,1.0,100.0,10.0,16.0,108.0,0.0,Canceled
1.0,0.0,1.0,0.0,21.0,11.0,21.0,67.0,0.0,Not_Canceled
2.0,1.0,2.0,5.0,150.0,9.0,18.0,91.12,0.0,Not_Canceled
1.0,0.0,0.0,1.0,14.0,9.0,22.0,184.0,2.0,Not_Canceled
2.0,0.0,2.0,1.0,131.0,8.0,15.0,94.5,0.0,Canceled
2.0,0.0,0.0,3.0,37.0,10.0,20.0,146.33,1.0,Canceled
1.0,0.0,0.0,1.0,8.0,5.0,24.0,114.75,0.0,Not_Canceled
2.0,0.0,2.0,3.0,34.0,3.0,3.0,48.4,0.0,Not_Canceled
2.0,0.0,1.0,1.0,120.0,7.0,18.0,94.5,0.0,Not_Canceled
1.0,0.0,2.0,3.0,22.0,9.0,4.0,73.15,0.0,Not_Canceled
1.0,0.0,1.0,1.0,301.0,7.0,30.0,90.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,23.0,11.0,18.0,91.5,1.0,Canceled
2.0,0.0,4.0,9.0,10.0,5.0,15.0,129.0,0.0,Not_Canceled
2.0,0.0,2.0,2.0,59.0,12.0,4.0,96.9,1.0,Not_Canceled
2.0,0.0,2.0,1.0,109.0,4.0,30.0,77.03,1.0,Not_Canceled
