duration,credit_amount,installment_commitment,residence_since,age,existing_credits,class
12.0,886.0,4.0,2.0,21.0,1.0,good
48.0,6758.0,3.0,2.0,31.0,1.0,bad
48.0,18424.0,1.0,2.0,32.0,1.0,bad
30.0,8386.0,2.0,2.0,49.0,1.0,bad
18.0,2249.0,4.0,3.0,30.0,1.0,good
18.0,866.0,4.0,2.0,25.0,1.0,good
36.0,6614.0,4.0,4.0,34.0,2.0,good
24.0,2896.0,2.0,1.0,29.0,1.0,good
15.0,2708.0,2.0,3.0,27.0,2.0,good
9.0,1478.0,4.0,2.0,22.0,1.0,bad
12.0,1255.0,4.0,4.0,61.0,2.0,good
24.0,3863.0,1.0,2.0,32.0,1.0,good
36.0,12612.0,1.0,4.0,47.0,1.0,bad
18.0,6260.0,3.0,3.0,28.0,1.0,good
6.0,666.0,3.0,4.0,39.0,2.0,good
48.0,5951.0,2.0,2.0,22.0,1.0,bad
48.0,7119.0,3.0,4.0,53.0,2.0,bad
10.0,2132.0,2.0,3.0,27.0,2.0,good
12.0,1264.0,4.0,4.0,57.0,1.0,good
18.0,1049.0,4.0,4.0,21.0,1.0,good
15.0,6850.0,1.0,2.0,34.0,1.0,bad
15.0,806.0,4.0,4.0,22.0,1.0,good
11.0,2142.0,1.0,2.0,28.0,1.0,good
24.0,1333.0,4.0,2.0,43.0,2.0,bad
24.0,2483.0,4.0,4.0,22.0,1.0,good
48.0,4844.0,3.0,2.0,33.0,1.0,bad
24.0,3430.0,3.0,2.0,31.0,1.0,good
21.0,5003.0,1.0,4.0,29.0,2.0,bad
24.0,3749.0,2.0,4.0,26.0,1.0,good
60.0,7418.0,1.0,1.0,27.0,1.0,good
12.0,3017.0,3.0,1.0,34.0,1.0,good
18.0,1217.0,4.0,3.0,47.0,1.0,bad
42.0,4370.0,3.0,2.0,26.0,2.0,bad
42.0,3965.0,4.0,3.0,34.0,1.0,bad
36.0,7980.0,4.0,4.0,27.0,2.0,bad
36.0,3342.0,4.0,2.0,51.0,1.0,good
6.0,783.0,1.0,2.0,26.0,1.0,good
6.0,518.0,3.0,1.0,29.0,1.0,good
9.0,2507.0,2.0,4.0,51.0,1.0,good
24.0,4139.0,3.0,3.0,27.0,2.0,good
47.0,10722.0,1.0,1.0,35.0,1.0,good
36.0,3835.0,2.0,4.0,45.0,1.0,good
12.0,1413.0,3.0,2.0,55.0,1.0,good
10.0,2315.0,3.0,4.0,52.0,1.0,good
24.0,1024.0,4.0,4.0,48.0,1.0,bad
6.0,1237.0,1.0,1.0,27.0,2.0,good
4.0,601.0,1.0,3.0,23.0,1.0,good
18.0,2622.0,4.0,4.0,34.0,1.0,good
36.0,2225.0,4.0,4.0,57.0,2.0,bad
48.0,3844.0,4.0,4.0,34.0,1.0,bad
12.0,717.0,4.0,4.0,52.0,3.0,good
39.0,11760.0,2.0,3.0,32.0,1.0,good
6.0,2108.0,2.0,2.0,29.0,1.0,good
18.0,1345.0,4.0,3.0,26.0,1.0,bad
42.0,4042.0,4.0,4.0,36.0,2.0,good
12.0,1318.0,4.0,4.0,54.0,1.0,good
14.0,802.0,4.0,2.0,27.0,2.0,good
36.0,909.0,4.0,4.0,36.0,1.0,good
42.0,4796.0,4.0,4.0,56.0,1.0,good
24.0,1585.0,4.0,3.0,40.0,2.0,good
24.0,4817.0,2.0,3.0,31.0,1.0,bad
24.0,5743.0,2.0,4.0,24.0,2.0,good
26.0,7966.0,2.0,3.0,30.0,2.0,good
36.0,8335.0,3.0,4.0,47.0,1.0,bad
11.0,1322.0,4.0,4.0,40.0,2.0,good
15.0,392.0,4.0,4.0,23.0,1.0,good
12.0,2366.0,3.0,3.0,36.0,1.0,good
12.0,1655.0,2.0,4.0,63.0,2.0,good
12.0,795.0,4.0,4.0,53.0,1.0,bad
9.0,1244.0,4.0,4.0,41.0,2.0,good
9.0,1136.0,4.0,3.0,32.0,2.0,bad
24.0,3021.0,2.0,2.0,24.0,1.0,good
28.0,7824.0,3.0,4.0,40.0,2.0,good
27.0,8613.0,2.0,2.0,27.0,2.0,good
12.0,6078.0,2.0,2.0,32.0,1.0,good
24.0,1987.0,2.0,4.0,21.0,1.0,bad
21.0,3976.0,2.0,3.0,35.0,1.0,good
12.0,983.0,1.0,4.0,19.0,1.0,good
12.0,1297.0,3.0,4.0,23.0,1.0,good
15.0,3343.0,4.0,2.0,28.0,1.0,good
24.0,3345.0,4.0,2.0,39.0,1.0,bad
12.0,1262.0,2.0,4.0,49.0,1.0,good
24.0,2333.0,4.0,2.0,29.0,1.0,good
36.0,2394.0,4.0,4.0,25.0,1.0,good
24.0,2439.0,4.0,4.0,35.0,1.0,bad
12.0,639.0,4.0,2.0,30.0,1.0,bad
39.0,14179.0,4.0,4.0,30.0,2.0,good
42.0,6289.0,2.0,1.0,33.0,2.0,good
24.0,1935.0,4.0,4.0,31.0,2.0,bad
12.0,609.0,4.0,1.0,26.0,1.0,bad
18.0,1530.0,3.0,2.0,32.0,2.0,bad
24.0,6403.0,1.0,2.0,33.0,1.0,good
48.0,6999.0,1.0,1.0,34.0,2.0,bad
18.0,1943.0,4.0,4.0,23.0,1.0,bad
42.0,7166.0,2.0,4.0,29.0,1.0,good
18.0,3104.0,3.0,1.0,31.0,1.0,good
12.0,1076.0,2.0,2.0,26.0,1.0,good
24.0,3552.0,3.0,4.0,27.0,1.0,bad
42.0,7174.0,4.0,3.0,30.0,1.0,bad
6.0,1374.0,4.0,3.0,75.0,1.0,good
27.0,3416.0,3.0,2.0,27.0,1.0,good
6.0,672.0,1.0,4.0,54.0,1.0,good
18.0,1940.0,3.0,4.0,36.0,1.0,good
24.0,11560.0,1.0,4.0,23.0,2.0,bad
12.0,1185.0,3.0,2.0,27.0,2.0,good
18.0,2039.0,1.0,4.0,20.0,1.0,bad
24.0,6313.0,3.0,4.0,41.0,1.0,good
12.0,1163.0,4.0,4.0,44.0,1.0,good
9.0,1437.0,2.0,3.0,29.0,1.0,bad
48.0,6224.0,4.0,4.0,50.0,1.0,bad
9.0,1288.0,3.0,4.0,48.0,2.0,good
24.0,5943.0,1.0,1.0,44.0,2.0,bad
48.0,2751.0,4.0,3.0,38.0,2.0,good
12.0,759.0,4.0,2.0,26.0,1.0,bad
12.0,1295.0,3.0,1.0,25.0,1.0,bad
12.0,1386.0,2.0,2.0,26.0,1.0,bad
36.0,8065.0,3.0,2.0,25.0,2.0,bad
18.0,1056.0,3.0,3.0,30.0,2.0,bad
48.0,8858.0,2.0,1.0,35.0,2.0,good
12.0,1495.0,4.0,1.0,38.0,2.0,good
27.0,5965.0,1.0,2.0,30.0,2.0,good
21.0,1602.0,4.0,3.0,30.0,2.0,good
24.0,717.0,4.0,4.0,54.0,2.0,good
48.0,6110.0,1.0,3.0,31.0,1.0,good
27.0,5117.0,3.0,4.0,26.0,2.0,good
12.0,1657.0,2.0,2.0,27.0,1.0,good
18.0,2899.0,4.0,4.0,43.0,1.0,good
24.0,1823.0,4.0,2.0,30.0,1.0,bad
18.0,1098.0,4.0,4.0,65.0,2.0,good
36.0,5800.0,3.0,4.0,34.0,2.0,good
36.0,4463.0,4.0,2.0,26.0,2.0,bad
30.0,3622.0,4.0,4.0,57.0,2.0,good
24.0,2032.0,4.0,4.0,60.0,2.0,good
8.0,731.0,4.0,4.0,47.0,2.0,good
12.0,902.0,4.0,4.0,21.0,1.0,bad
12.0,1103.0,4.0,3.0,29.0,2.0,good
15.0,2788.0,2.0,3.0,24.0,2.0,good
18.0,1568.0,3.0,4.0,24.0,1.0,good
12.0,2579.0,4.0,1.0,33.0,1.0,bad
6.0,1236.0,2.0,4.0,50.0,1.0,good
36.0,4455.0,2.0,2.0,30.0,2.0,bad
6.0,1538.0,1.0,2.0,56.0,1.0,good
24.0,1851.0,4.0,2.0,33.0,2.0,good
24.0,4169.0,4.0,4.0,28.0,1.0,good
36.0,14318.0,4.0,2.0,57.0,1.0,bad
24.0,2255.0,4.0,1.0,54.0,1.0,good
24.0,5804.0,4.0,2.0,27.0,2.0,good
12.0,2073.0,4.0,2.0,28.0,1.0,good
12.0,727.0,4.0,3.0,33.0,1.0,bad
12.0,1680.0,3.0,1.0,35.0,1.0,good
24.0,1246.0,4.0,2.0,23.0,1.0,bad
36.0,6304.0,4.0,4.0,36.0,2.0,good
6.0,1050.0,4.0,1.0,35.0,2.0,good
24.0,2892.0,3.0,4.0,51.0,1.0,good
30.0,4530.0,4.0,4.0,26.0,1.0,good
15.0,1360.0,4.0,2.0,31.0,2.0,good
21.0,571.0,4.0,4.0,65.0,2.0,good
12.0,625.0,4.0,1.0,26.0,1.0,good
15.0,1300.0,4.0,4.0,45.0,1.0,good
18.0,1169.0,4.0,3.0,29.0,2.0,good
12.0,684.0,4.0,4.0,40.0,1.0,bad
15.0,2360.0,2.0,2.0,36.0,1.0,good
12.0,3590.0,2.0,2.0,29.0,1.0,good
21.0,5248.0,1.0,3.0,26.0,1.0,good
18.0,2864.0,2.0,1.0,34.0,1.0,bad
24.0,2578.0,2.0,2.0,34.0,1.0,good
6.0,1740.0,2.0,2.0,30.0,2.0,good
18.0,4380.0,3.0,4.0,35.0,1.0,good
12.0,1768.0,3.0,2.0,24.0,1.0,good
6.0,338.0,4.0,4.0,52.0,2.0,good
10.0,1347.0,4.0,2.0,27.0,2.0,good
48.0,4308.0,3.0,4.0,24.0,1.0,bad
18.0,12976.0,3.0,4.0,38.0,1.0,bad
12.0,1995.0,4.0,1.0,27.0,1.0,good
42.0,7882.0,2.0,4.0,45.0,1.0,good
9.0,1313.0,1.0,4.0,20.0,1.0,good
24.0,3632.0,1.0,4.0,22.0,1.0,good
15.0,1471.0,4.0,4.0,35.0,2.0,good
24.0,2384.0,4.0,4.0,64.0,1.0,good
9.0,1980.0,2.0,2.0,19.0,2.0,bad
24.0,4679.0,3.0,3.0,35.0,2.0,good
18.0,3966.0,1.0,4.0,33.0,3.0,bad
36.0,7409.0,3.0,2.0,37.0,2.0,good
36.0,6948.0,2.0,2.0,35.0,1.0,good
24.0,1381.0,4.0,2.0,35.0,1.0,bad
6.0,428.0,2.0,1.0,49.0,1.0,good
24.0,3181.0,4.0,4.0,26.0,1.0,good
12.0,1860.0,4.0,2.0,34.0,2.0,good
