Chart;description;Questions
StressLevelDataset_histograms_numeric.png;A set of histograms of the variables ['anxiety_level', 'self_esteem', 'depression', 'headache', 'sleep_quality', 'breathing_problem', 'living_conditions', 'basic_needs', 'study_load', 'bullying'].;['All variables, but the class, should be dealt with as symbolic.', 'The variable living_conditions can be seen as ordinal.', 'The variable breathing_problem can be seen as ordinal without losing information.', 'Variable breathing_problem is balanced.', 'It is clear that variable depression shows some outliers, but we can’t be sure of the same for variable study_load.', 'Outliers seem to be a problem in the dataset.', 'Variable bullying shows a high number of outlier values.', 'Variable headache doesn’t have any outliers.', 'Variable anxiety_level presents some outliers.', 'At least 60 of the variables present outliers.', 'The histograms presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'Considering the common semantics for sleep_quality and anxiety_level variables, dummification if applied would increase the risk of facing the curse of dimensionality.', 'Considering the common semantics for headache variable, dummification would be the most adequate encoding.', 'The variable breathing_problem can be coded as ordinal without losing information.', 'Feature generation based on variable self_esteem seems to be promising.', 'Feature generation based on the use of variable anxiety_level wouldn’t be useful, but the use of self_esteem seems to be promising.', 'Given the usual semantics of study_load variable, dummification would have been a better codification.', 'It is better to drop the variable depression than removing all records with missing values.', 'Not knowing the semantics of basic_needs variable, dummification could have been a more adequate codification.']
WineQT_decision_tree.png;An image showing a decision tree with depth = 2 where the first decision is made with the condition density <= 1.0 and the second with the condition chlorides <= 0.08.;['The variable chlorides discriminates between the target values, as shown in the decision tree.', 'Variable density is one of the most relevant variables.', 'A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 8%.', 'As reported in the tree, the number of False Positive is smaller than the number of False Negatives.', 'The precision for the presented tree is higher than 75%.', 'The number of False Negatives is lower than the number of True Negatives for the presented tree.', 'The number of False Positives is lower than the number of False Negatives for the presented tree.', 'The number of False Positives reported in the same tree is 10.', 'Considering that A=True<=>[density <= 1.0] and B=True<=>[chlorides <= 0.08], it is possible to state that KNN algorithm classifies (not A, not B) as 6 for any k ≤ 447.', 'Considering that A=True<=>[density <= 1.0] and B=True<=>[chlorides <= 0.08], it is possible to state that Naive Bayes algorithm classifies (A, not B), as 3.', 'Considering that A=True<=>[density <= 1.0] and B=True<=>[chlorides <= 0.08], it is possible to state that KNN algorithm classifies (not A, not B) as 5 for any k ≤ 172.']
WineQT_overfitting_mlp.png;A multi-line chart showing the overfitting of a mlp where the y-axis represents the accuracy and the x-axis represents the number of iterations ranging from 100 to 1000.;['We are able to identify the existence of overfitting for MLP models trained longer than 500 episodes.']
WineQT_overfitting_gb.png;A multi-line chart showing the overfitting of gradient boosting where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['We are able to identify the existence of overfitting for gradient boosting models with more than 502 estimators.']
WineQT_overfitting_rf.png;A multi-line chart showing the overfitting of random forest where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['Results for Random Forests identified as 3, may be explained by its estimators being in overfitting.', 'The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.', 'We are able to identify the existence of overfitting for random forest models with more than 502 estimators.']
WineQT_overfitting_knn.png;A multi-line chart showing the overfitting of k-nearest neighbors where the y-axis represents the accuracy and the x-axis represents the number of neighbors ranging from 1 to 23.;['KNN is in overfitting for k larger than 13.', 'KNN with 7 neighbour is in overfitting.', 'KNN with more than 7 neighbours is in overfitting.', 'We are able to identify the existence of overfitting for KNN models with less than 6 neighbors.']
WineQT_overfitting_decision_tree.png;A multi-line chart showing the overfitting of a decision tree where the y-axis represents the accuracy and the x-axis represents the max depth ranging from 2 to 25.;['According to the decision tree overfitting chart, the tree with 16 nodes of depth is in overfitting.', 'The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 8.', 'The decision tree is in overfitting for depths above 10.', 'We are able to identify the existence of overfitting for decision tree models with more than 5 nodes of depth.']
WineQT_pca.png;A bar chart showing the explained variance ratio of 11 principal components.;['The first 8 principal components are enough for explaining half the data variance.', 'Using the first 6 principal components would imply an error between 15 and 25%.']
WineQT_correlation_heatmap.png;A heatmap showing the correlation between the variables of the dataset. The variables are ['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol'].;['The intrinsic dimensionality of this dataset is 5.', 'One of the variables citric acid or residual sugar can be discarded without losing information.', 'The variable chlorides can be discarded without risking losing information.', 'Variables sulphates and pH are redundant, but we can’t say the same for the pair free sulfur dioxide and volatile acidity.', 'Variables free sulfur dioxide and total sulfur dioxide are redundant.', 'From the correlation analysis alone, it is clear that there are relevant variables.', 'Variable volatile acidity seems to be relevant for the majority of mining tasks.', 'Variables chlorides and citric acid seem to be useful for classification tasks.', 'Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.', 'Removing variable fixed acidity might improve the training of decision trees .', 'There is evidence in favour for sequential backward selection to select variable pH previously than variable chlorides.']
WineQT_boxplots.png;A set of boxplots of the variables ['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol'].;['Variable citric acid is balanced.', 'Those boxplots show that the data is not normalized.', 'It is clear that variable pH shows some outliers, but we can’t be sure of the same for variable volatile acidity.', 'Outliers seem to be a problem in the dataset.', 'Variable free sulfur dioxide shows a high number of outlier values.', 'Variable chlorides doesn’t have any outliers.', 'Variable total sulfur dioxide presents some outliers.', 'At least 75 of the variables present outliers.', 'The histograms presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'A scaling transformation is mandatory, in order to improve the Naive Bayes performance in this dataset.', 'Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.', 'Normalization of this dataset could not have impact on a KNN classifier.', 'Scaling this dataset would be mandatory to improve the results with distance-based methods.']
WineQT_class_histogram.png;A bar chart showing the distribution of the target variable quality.;['Balancing this dataset would be mandatory to improve the results.']
WineQT_nr_records_nr_variables.png;A bar chart showing the number of records and variables of the dataset.;['Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.', 'We face the curse of dimensionality when training a classifier with this dataset.', 'Balancing this dataset by SMOTE would most probably be preferable over undersampling.']
WineQT_histograms_numeric.png;A set of histograms of the variables ['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol'].;['All variables, but the class, should be dealt with as numeric.', 'The variable fixed acidity can be seen as ordinal.', 'The variable pH can be seen as ordinal without losing information.', 'Variable free sulfur dioxide is balanced.', 'It is clear that variable alcohol shows some outliers, but we can’t be sure of the same for variable sulphates.', 'Outliers seem to be a problem in the dataset.', 'Variable sulphates shows a high number of outlier values.', 'Variable pH doesn’t have any outliers.', 'Variable citric acid presents some outliers.', 'At least 75 of the variables present outliers.', 'The histograms presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'Considering the common semantics for citric acid and fixed acidity variables, dummification if applied would increase the risk of facing the curse of dimensionality.', 'Considering the common semantics for citric acid variable, dummification would be the most adequate encoding.', 'The variable pH can be coded as ordinal without losing information.', 'Feature generation based on variable density seems to be promising.', 'Feature generation based on the use of variable sulphates wouldn’t be useful, but the use of fixed acidity seems to be promising.', 'Given the usual semantics of citric acid variable, dummification would have been a better codification.', 'It is better to drop the variable free sulfur dioxide than removing all records with missing values.', 'Not knowing the semantics of pH variable, dummification could have been a more adequate codification.']
loan_data_decision_tree.png;An image showing a decision tree with depth = 2 where the first decision is made with the condition Loan_Amount_Term <= 420.0 and the second with the condition ApplicantIncome <= 1519.0.;['The variable ApplicantIncome discriminates between the target values, as shown in the decision tree.', 'Variable ApplicantIncome is one of the most relevant variables.', 'A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 5%.', 'As reported in the tree, the number of False Positive is bigger than the number of False Negatives.', 'The recall for the presented tree is lower than 90%.', 'The number of False Positives is higher than the number of True Negatives for the presented tree.', 'The number of False Negatives is higher than the number of True Positives for the presented tree.', 'The recall for the presented tree is higher than its accuracy.', 'Considering that A=True<=>[Loan_Amount_Term <= 420.0] and B=True<=>[ApplicantIncome <= 1519.0], it is possible to state that KNN algorithm classifies (not A, not B) as Y for any k ≤ 3.', 'Considering that A=True<=>[Loan_Amount_Term <= 420.0] and B=True<=>[ApplicantIncome <= 1519.0], it is possible to state that KNN algorithm classifies (not A, B) as N for any k ≤ 204.', 'Considering that A=True<=>[Loan_Amount_Term <= 420.0] and B=True<=>[ApplicantIncome <= 1519.0], it is possible to state that Naive Bayes algorithm classifies (not A, not B), as N.']
loan_data_overfitting_mlp.png;A multi-line chart showing the overfitting of a mlp where the y-axis represents the accuracy and the x-axis represents the number of iterations ranging from 100 to 1000.;['We are able to identify the existence of overfitting for MLP models trained longer than 300 episodes.']
loan_data_overfitting_gb.png;A multi-line chart showing the overfitting of gradient boosting where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['We are able to identify the existence of overfitting for gradient boosting models with more than 502 estimators.']
loan_data_overfitting_rf.png;A multi-line chart showing the overfitting of random forest where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['Results for Random Forests identified as 2, may be explained by its estimators being in underfitting.', 'The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.', 'We are able to identify the existence of overfitting for random forest models with more than 1502 estimators.']
loan_data_overfitting_knn.png;A multi-line chart showing the overfitting of k-nearest neighbors where the y-axis represents the accuracy and the x-axis represents the number of neighbors ranging from 1 to 23.;['KNN is in overfitting for k larger than 13.', 'KNN with 7 neighbour is in overfitting.', 'KNN with more than 15 neighbours is in overfitting.', 'We are able to identify the existence of overfitting for KNN models with less than 5 neighbors.']
loan_data_overfitting_decision_tree.png;A multi-line chart showing the overfitting of a decision tree where the y-axis represents the accuracy and the x-axis represents the max depth ranging from 2 to 25.;['According to the decision tree overfitting chart, the tree with 16 nodes of depth is in overfitting.', 'The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 5.', 'The decision tree is in overfitting for depths above 10.', 'We are able to identify the existence of overfitting for decision tree models with more than 3 nodes of depth.']
loan_data_overfitting_dt_acc_rec.png;A multi-line chart showing the overfitting of decision tree where the y-axis represents the performance of both accuracy and recall and the x-axis represents the max depth ranging from 2 to 25.;['The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.']
loan_data_pca.png;A bar chart showing the explained variance ratio of 4 principal components.;['The first 2 principal components are enough for explaining half the data variance.', 'Using the first 2 principal components would imply an error between 10 and 20%.']
loan_data_correlation_heatmap.png;A heatmap showing the correlation between the variables of the dataset. The variables are ['ApplicantIncome', 'CoapplicantIncome', 'LoanAmount', 'Loan_Amount_Term'].;['The intrinsic dimensionality of this dataset is 2.', 'One of the variables CoapplicantIncome or ApplicantIncome can be discarded without losing information.', 'The variable CoapplicantIncome can be discarded without risking losing information.', 'Variables ApplicantIncome and LoanAmount seem to be useful for classification tasks.', 'Variables Loan_Amount_Term and CoapplicantIncome are redundant.', 'From the correlation analysis alone, it is clear that there are relevant variables.', 'Variable ApplicantIncome seems to be relevant for the majority of mining tasks.', 'Variables CoapplicantIncome and ApplicantIncome seem to be useful for classification tasks.', 'Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.', 'Removing variable LoanAmount might improve the training of decision trees .', 'There is evidence in favour for sequential backward selection to select variable CoapplicantIncome previously than variable Loan_Amount_Term.']
loan_data_boxplots.png;A set of boxplots of the variables ['ApplicantIncome', 'CoapplicantIncome', 'LoanAmount', 'Loan_Amount_Term'].;['Variable Loan_Amount_Term is balanced.', 'Those boxplots show that the data is not normalized.', 'It is clear that variable Loan_Amount_Term shows some outliers, but we can’t be sure of the same for variable ApplicantIncome.', 'Outliers seem to be a problem in the dataset.', 'Variable ApplicantIncome shows a high number of outlier values.', 'Variable Loan_Amount_Term doesn’t have any outliers.', 'Variable ApplicantIncome presents some outliers.', 'At least 50 of the variables present outliers.', 'The boxplots presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.', 'Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.', 'Normalization of this dataset could not have impact on a KNN classifier.', 'Scaling this dataset would be mandatory to improve the results with distance-based methods.']
loan_data_histograms_symbolic.png;A set of bar charts of the variables ['Dependents', 'Property_Area', 'Gender', 'Married', 'Education', 'Self_Employed', 'Credit_History'].;['All variables, but the class, should be dealt with as numeric.', 'The variable Credit_History can be seen as ordinal.', 'The variable Married can be seen as ordinal without losing information.', 'Considering the common semantics for Credit_History and Dependents variables, dummification if applied would increase the risk of facing the curse of dimensionality.', 'Considering the common semantics for Property_Area variable, dummification would be the most adequate encoding.', 'The variable Dependents can be coded as ordinal without losing information.', 'Feature generation based on variable Dependents seems to be promising.', 'Feature generation based on the use of variable Self_Employed wouldn’t be useful, but the use of Dependents seems to be promising.', 'Given the usual semantics of Education variable, dummification would have been a better codification.', 'It is better to drop the variable Property_Area than removing all records with missing values.', 'Not knowing the semantics of Dependents variable, dummification could have been a more adequate codification.']
loan_data_mv.png;A bar chart showing the number of missing values per variable of the dataset. The variables that have missing values are: ['Gender', 'Dependents', 'Self_Employed', 'Loan_Amount_Term', 'Credit_History'].;['Discarding variable Gender would be better than discarding all the records with missing values for that variable.', 'Dropping all records with missing values would be better than to drop the variables with missing values.', 'Dropping all rows with missing values can lead to a dataset with less than 25% of the original data.', 'There is no reason to believe that discarding records showing missing values is safer than discarding the corresponding variables in this case.', 'Feature generation based on variable Dependents seems to be promising.', 'It is better to drop the variable Self_Employed than removing all records with missing values.']
loan_data_class_histogram.png;A bar chart showing the distribution of the target variable Loan_Status.;['Balancing this dataset would be mandatory to improve the results.']
loan_data_nr_records_nr_variables.png;A bar chart showing the number of records and variables of the dataset.;['Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.', 'We face the curse of dimensionality when training a classifier with this dataset.', 'Balancing this dataset by SMOTE would most probably be preferable over undersampling.']
loan_data_histograms_numeric.png;A set of histograms of the variables ['ApplicantIncome', 'CoapplicantIncome', 'LoanAmount', 'Loan_Amount_Term'].;['All variables, but the class, should be dealt with as date.', 'The variable Loan_Amount_Term can be seen as ordinal.', 'The variable CoapplicantIncome can be seen as ordinal without losing information.', 'Variable LoanAmount is balanced.', 'It is clear that variable LoanAmount shows some outliers, but we can’t be sure of the same for variable Loan_Amount_Term.', 'Outliers seem to be a problem in the dataset.', 'Variable Loan_Amount_Term shows a high number of outlier values.', 'Variable Loan_Amount_Term doesn’t have any outliers.', 'Variable LoanAmount presents some outliers.', 'At least 85 of the variables present outliers.', 'The boxplots presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'Considering the common semantics for LoanAmount and ApplicantIncome variables, dummification if applied would increase the risk of facing the curse of dimensionality.', 'Considering the common semantics for LoanAmount variable, dummification would be the most adequate encoding.', 'The variable LoanAmount can be coded as ordinal without losing information.', 'Feature generation based on variable LoanAmount seems to be promising.', 'Feature generation based on the use of variable CoapplicantIncome wouldn’t be useful, but the use of ApplicantIncome seems to be promising.', 'Given the usual semantics of ApplicantIncome variable, dummification would have been a better codification.', 'It is better to drop the variable ApplicantIncome than removing all records with missing values.', 'Not knowing the semantics of Loan_Amount_Term variable, dummification could have been a more adequate codification.']
Dry_Bean_Dataset_decision_tree.png;An image showing a decision tree with depth = 2 where the first decision is made with the condition Area <= 39172.5 and the second with the condition AspectRation <= 1.86.;['The variable Area discriminates between the target values, as shown in the decision tree.', 'Variable AspectRation is one of the most relevant variables.', 'A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 6%.', 'As reported in the tree, the number of False Positive is bigger than the number of False Negatives.', 'The recall for the presented tree is higher than 60%.', 'The number of True Positives is lower than the number of False Negatives for the presented tree.', 'The number of True Positives is higher than the number of False Positives for the presented tree.', 'The precision for the presented tree is higher than its specificity.', 'Considering that A=True<=>[Area <= 39172.5] and B=True<=>[AspectRation <= 1.86], it is possible to state that KNN algorithm classifies (not A, not B) as SEKER for any k ≤ 1284.', 'Considering that A=True<=>[Area <= 39172.5] and B=True<=>[AspectRation <= 1.86], the Decision Tree presented classifies (not A, B) as BOMBAY.', 'Considering that A=True<=>[Area <= 39172.5] and B=True<=>[AspectRation <= 1.86], it is possible to state that KNN algorithm classifies (A,B) as DERMASON for any k ≤ 2501.']
Dry_Bean_Dataset_overfitting_mlp.png;A multi-line chart showing the overfitting of a mlp where the y-axis represents the accuracy and the x-axis represents the number of iterations ranging from 100 to 1000.;['We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.']
Dry_Bean_Dataset_overfitting_gb.png;A multi-line chart showing the overfitting of gradient boosting where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['We are able to identify the existence of overfitting for gradient boosting models with more than 1502 estimators.']
Dry_Bean_Dataset_overfitting_rf.png;A multi-line chart showing the overfitting of random forest where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['Results for Random Forests identified as 3, may be explained by its estimators being in underfitting.', 'The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.', 'We are able to identify the existence of overfitting for random forest models with more than 1502 estimators.']
Dry_Bean_Dataset_overfitting_knn.png;A multi-line chart showing the overfitting of k-nearest neighbors where the y-axis represents the accuracy and the x-axis represents the number of neighbors ranging from 1 to 23.;['KNN is in overfitting for k larger than 17.', 'KNN with 5 neighbour is in overfitting.', 'KNN with more than 15 neighbours is in overfitting.', 'We are able to identify the existence of overfitting for KNN models with less than 6 neighbors.']
Dry_Bean_Dataset_overfitting_decision_tree.png;A multi-line chart showing the overfitting of a decision tree where the y-axis represents the accuracy and the x-axis represents the max depth ranging from 2 to 25.;['According to the decision tree overfitting chart, the tree with 16 nodes of depth is in overfitting.', 'The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 8.', 'The decision tree is in overfitting for depths above 8.', 'We are able to identify the existence of overfitting for decision tree models with more than 4 nodes of depth.']
Dry_Bean_Dataset_pca.png;A bar chart showing the explained variance ratio of 9 principal components.;['The first 6 principal components are enough for explaining half the data variance.', 'Using the first 2 principal components would imply an error between 15 and 25%.']
Dry_Bean_Dataset_correlation_heatmap.png;A heatmap showing the correlation between the variables of the dataset. The variables are ['Area', 'Perimeter', 'MinorAxisLength', 'AspectRation', 'Eccentricity', 'EquivDiameter', 'Extent', 'Solidity', 'roundness', 'ShapeFactor1'].;['The intrinsic dimensionality of this dataset is 9.', 'One of the variables MinorAxisLength or Eccentricity can be discarded without losing information.', 'The variable Eccentricity can be discarded without risking losing information.', 'Variables MinorAxisLength and Solidity are redundant, but we can’t say the same for the pair ShapeFactor1 and Extent.', 'Variables roundness and ShapeFactor1 are redundant.', 'From the correlation analysis alone, it is clear that there are relevant variables.', 'Variable ShapeFactor1 seems to be relevant for the majority of mining tasks.', 'Variables Perimeter and Eccentricity seem to be useful for classification tasks.', 'Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.', 'Removing variable Solidity might improve the training of decision trees .', 'There is evidence in favour for sequential backward selection to select variable Eccentricity previously than variable EquivDiameter.']
Dry_Bean_Dataset_boxplots.png;A set of boxplots of the variables ['Area', 'Perimeter', 'MinorAxisLength', 'AspectRation', 'Eccentricity', 'EquivDiameter', 'Extent', 'Solidity', 'roundness', 'ShapeFactor1'].;['Variable MinorAxisLength is balanced.', 'Those boxplots show that the data is not normalized.', 'It is clear that variable Solidity shows some outliers, but we can’t be sure of the same for variable EquivDiameter.', 'Outliers seem to be a problem in the dataset.', 'Variable Solidity shows some outlier values.', 'Variable roundness doesn’t have any outliers.', 'Variable Eccentricity presents some outliers.', 'At least 50 of the variables present outliers.', 'The boxplots presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.', 'Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.', 'Normalization of this dataset could not have impact on a KNN classifier.', 'Scaling this dataset would be mandatory to improve the results with distance-based methods.']
Dry_Bean_Dataset_class_histogram.png;A bar chart showing the distribution of the target variable Class.;['Balancing this dataset would be mandatory to improve the results.']
Dry_Bean_Dataset_nr_records_nr_variables.png;A bar chart showing the number of records and variables of the dataset.;['Given the number of records and that some variables are date, we might be facing the curse of dimensionality.', 'We face the curse of dimensionality when training a classifier with this dataset.', 'Balancing this dataset by SMOTE would most probably be preferable over undersampling.']
Dry_Bean_Dataset_histograms_numeric.png;A set of histograms of the variables ['Area', 'Perimeter', 'MinorAxisLength', 'AspectRation', 'Eccentricity', 'EquivDiameter', 'Extent', 'Solidity', 'roundness', 'ShapeFactor1'].;['All variables, but the class, should be dealt with as date.', 'The variable Perimeter can be seen as ordinal.', 'The variable Extent can be seen as ordinal without losing information.', 'Variable Solidity is balanced.', 'It is clear that variable EquivDiameter shows some outliers, but we can’t be sure of the same for variable MinorAxisLength.', 'Outliers seem to be a problem in the dataset.', 'Variable Area shows some outlier values.', 'Variable roundness doesn’t have any outliers.', 'Variable Solidity presents some outliers.', 'At least 85 of the variables present outliers.', 'The histograms presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'Considering the common semantics for AspectRation and Area variables, dummification if applied would increase the risk of facing the curse of dimensionality.', 'Considering the common semantics for EquivDiameter variable, dummification would be the most adequate encoding.', 'The variable roundness can be coded as ordinal without losing information.', 'Feature generation based on variable EquivDiameter seems to be promising.', 'Feature generation based on the use of variable MinorAxisLength wouldn’t be useful, but the use of Area seems to be promising.', 'Given the usual semantics of roundness variable, dummification would have been a better codification.', 'It is better to drop the variable Solidity than removing all records with missing values.', 'Not knowing the semantics of Perimeter variable, dummification could have been a more adequate codification.']
credit_customers_decision_tree.png;An image showing a decision tree with depth = 2 where the first decision is made with the condition existing_credits <= 1.5 and the second with the condition residence_since <= 3.5.;['The variable residence_since discriminates between the target values, as shown in the decision tree.', 'Variable residence_since is one of the most relevant variables.', 'A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 8%.', 'As reported in the tree, the number of False Positive is bigger than the number of False Negatives.', 'The accuracy for the presented tree is higher than 90%.', 'The number of False Negatives is lower than the number of True Positives for the presented tree.', 'The number of True Positives is higher than the number of False Positives for the presented tree.', 'The accuracy for the presented tree is higher than its recall.', 'Considering that A=True<=>[existing_credits <= 1.5] and B=True<=>[residence_since <= 3.5], it is possible to state that KNN algorithm classifies (not A, not B) as bad for any k ≤ 107.', 'Considering that A=True<=>[existing_credits <= 1.5] and B=True<=>[residence_since <= 3.5], it is possible to state that Naive Bayes algorithm classifies (not A, B), as bad.', 'Considering that A=True<=>[existing_credits <= 1.5] and B=True<=>[residence_since <= 3.5], it is possible to state that KNN algorithm classifies (not A, not B) as bad for any k ≤ 264.']
credit_customers_overfitting_mlp.png;A multi-line chart showing the overfitting of a mlp where the y-axis represents the accuracy and the x-axis represents the number of iterations ranging from 100 to 1000.;['We are able to identify the existence of overfitting for MLP models trained longer than 500 episodes.']
credit_customers_overfitting_gb.png;A multi-line chart showing the overfitting of gradient boosting where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['We are able to identify the existence of overfitting for gradient boosting models with more than 502 estimators.']
credit_customers_overfitting_rf.png;A multi-line chart showing the overfitting of random forest where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['Results for Random Forests identified as 10, may be explained by its estimators being in underfitting.', 'The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.', 'We are able to identify the existence of overfitting for random forest models with more than 1502 estimators.']
credit_customers_overfitting_knn.png;A multi-line chart showing the overfitting of k-nearest neighbors where the y-axis represents the accuracy and the x-axis represents the number of neighbors ranging from 1 to 23.;['KNN is in overfitting for k less than 13.', 'KNN with 7 neighbour is in overfitting.', 'KNN with more than 15 neighbours is in overfitting.', 'We are able to identify the existence of overfitting for KNN models with less than 5 neighbors.']
credit_customers_overfitting_decision_tree.png;A multi-line chart showing the overfitting of a decision tree where the y-axis represents the accuracy and the x-axis represents the max depth ranging from 2 to 25.;['According to the decision tree overfitting chart, the tree with 16 nodes of depth is in overfitting.', 'The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 3.', 'The decision tree is in overfitting for depths above 7.', 'We are able to identify the existence of overfitting for decision tree models with more than 5 nodes of depth.']
credit_customers_overfitting_dt_acc_rec.png;A multi-line chart showing the overfitting of decision tree where the y-axis represents the performance of both accuracy and recall and the x-axis represents the max depth ranging from 2 to 25.;['The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.']
credit_customers_pca.png;A bar chart showing the explained variance ratio of 6 principal components.;['The first 3 principal components are enough for explaining half the data variance.', 'Using the first 4 principal components would imply an error between 5 and 20%.']
credit_customers_correlation_heatmap.png;A heatmap showing the correlation between the variables of the dataset. The variables are ['duration', 'credit_amount', 'installment_commitment', 'residence_since', 'age', 'existing_credits'].;['The intrinsic dimensionality of this dataset is 2.', 'One of the variables age or credit_amount can be discarded without losing information.', 'The variable existing_credits can be discarded without risking losing information.', 'Variables existing_credits and credit_amount are redundant, but we can’t say the same for the pair duration and installment_commitment.', 'Variables residence_since and existing_credits are redundant.', 'From the correlation analysis alone, it is clear that there are relevant variables.', 'Variable age seems to be relevant for the majority of mining tasks.', 'Variables age and installment_commitment seem to be useful for classification tasks.', 'Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.', 'Removing variable credit_amount might improve the training of decision trees .', 'There is evidence in favour for sequential backward selection to select variable existing_credits previously than variable credit_amount.']
credit_customers_boxplots.png;A set of boxplots of the variables ['duration', 'credit_amount', 'installment_commitment', 'residence_since', 'age', 'existing_credits'].;['Variable existing_credits is balanced.', 'Those boxplots show that the data is not normalized.', 'It is clear that variable age shows some outliers, but we can’t be sure of the same for variable residence_since.', 'Outliers seem to be a problem in the dataset.', 'Variable age shows some outlier values.', 'Variable residence_since doesn’t have any outliers.', 'Variable age presents some outliers.', 'At least 50 of the variables present outliers.', 'The histograms presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.', 'Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.', 'Normalization of this dataset could not have impact on a KNN classifier.', 'Scaling this dataset would be mandatory to improve the results with distance-based methods.']
credit_customers_histograms_symbolic.png;A set of bar charts of the variables ['checking_status', 'employment', 'other_parties', 'other_payment_plans', 'housing', 'num_dependents', 'own_telephone', 'foreign_worker'].;['All variables, but the class, should be dealt with as numeric.', 'The variable other_parties can be seen as ordinal.', 'The variable employment can be seen as ordinal without losing information.', 'Considering the common semantics for checking_status and employment variables, dummification if applied would increase the risk of facing the curse of dimensionality.', 'Considering the common semantics for housing variable, dummification would be the most adequate encoding.', 'The variable checking_status can be coded as ordinal without losing information.', 'Feature generation based on variable num_dependents seems to be promising.', 'Feature generation based on the use of variable employment wouldn’t be useful, but the use of checking_status seems to be promising.', 'Given the usual semantics of own_telephone variable, dummification would have been a better codification.', 'It is better to drop the variable num_dependents than removing all records with missing values.', 'Not knowing the semantics of num_dependents variable, dummification could have been a more adequate codification.']
credit_customers_class_histogram.png;A bar chart showing the distribution of the target variable class.;['Balancing this dataset would be mandatory to improve the results.']
