Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,ReachedOnTime
A,Road,3,5,209,2,low,M,33,2603,Yes
B,Road,4,1,264,3,low,M,13,3015,Yes
C,Road,3,2,268,3,low,M,30,2867,Yes
F,Road,6,2,224,3,medium,F,26,3247,Yes
D,Road,4,3,223,10,low,F,21,2943,Yes
F,Road,3,5,191,3,high,F,17,2235,Yes
A,Road,4,4,184,3,high,F,27,3967,Yes
B,Road,6,4,174,3,medium,F,14,1651,Yes
C,Road,6,2,134,8,high,M,42,1054,Yes
F,Road,4,5,135,2,high,F,22,1195,Yes
D,Road,5,5,234,2,high,M,50,3914,Yes
F,Road,3,1,215,6,high,M,42,3715,Yes
A,Road,5,2,187,2,medium,F,29,2863,Yes
B,Road,3,2,238,2,medium,F,32,3274,Yes
C,Road,4,1,273,4,low,F,54,2611,Yes
F,Road,5,5,192,3,medium,F,37,2197,Yes
D,Road,3,5,268,4,high,M,19,2893,Yes
F,Road,3,4,164,3,low,M,5,1408,Yes
A,Flight,2,2,255,3,low,M,59,1514,Yes
B,Flight,4,4,141,2,low,F,30,1130,Yes
C,Flight,2,5,202,3,low,M,50,2587,Yes
F,Flight,4,4,282,6,medium,F,52,3009,Yes
D,Flight,6,4,190,3,low,M,7,3175,Yes
F,Flight,4,2,192,4,low,F,61,2256,Yes
A,Flight,3,4,179,2,low,M,51,1041,Yes
B,Flight,4,3,238,2,medium,M,43,2200,Yes
C,Flight,3,2,181,4,low,F,18,3696,Yes
F,Flight,5,2,128,5,medium,F,45,1707,Yes
D,Flight,5,1,285,5,low,M,51,2063,Yes
F,Flight,5,5,273,3,medium,F,18,2415,Yes
A,Flight,2,2,242,6,low,F,63,3144,Yes
B,Flight,3,4,226,3,medium,F,22,3593,Yes
C,Flight,2,5,255,4,low,F,36,2093,Yes
F,Flight,5,1,198,2,medium,F,37,3025,Yes
D,Flight,5,4,263,3,medium,M,59,3978,Yes
F,Flight,3,5,186,2,low,F,39,2197,Yes
A,Flight,5,2,260,3,low,F,22,2935,Yes
B,Flight,4,2,167,2,low,F,5,1169,Yes
C,Flight,4,3,210,3,low,F,46,2344,Yes
F,Flight,4,5,216,3,low,F,20,3549,Yes
D,Ship,3,2,273,3,low,F,12,2154,Yes
F,Ship,5,1,153,2,low,F,55,1414,Yes
A,Ship,3,2,183,3,medium,F,44,3809,Yes
B,Ship,4,1,224,3,medium,F,36,3499,Yes
C,Ship,5,1,170,3,high,M,58,1651,Yes
F,Ship,5,1,237,4,low,M,33,2605,Yes
D,Ship,5,5,234,6,medium,F,60,2443,Yes
F,Ship,3,2,264,3,medium,F,43,3439,Yes
A,Ship,2,2,153,3,low,F,55,1273,Yes
B,Ship,4,3,228,4,low,M,61,3583,Yes
C,Ship,3,5,264,2,medium,M,33,2021,Yes
F,Ship,4,3,267,3,low,F,42,2332,Yes
D,Ship,3,2,213,2,low,M,22,3248,Yes
F,Ship,4,1,181,3,medium,M,38,3258,Yes
A,Ship,6,4,209,5,low,F,53,3169,Yes
B,Ship,3,2,165,3,low,F,19,1111,Yes
C,Ship,3,4,164,3,high,F,55,1293,Yes
F,Ship,5,5,141,2,medium,M,14,1114,Yes
D,Ship,3,2,164,4,medium,M,2,1701,Yes
F,Ship,3,3,178,2,medium,M,4,1778,Yes
A,Ship,5,4,200,3,medium,M,24,2078,Yes
B,Ship,4,5,185,2,low,F,47,3974,Yes
C,Ship,2,1,180,2,medium,F,31,1078,Yes
F,Ship,4,5,144,3,low,M,9,1526,Yes
D,Ship,4,4,161,4,low,F,14,1194,Yes
F,Ship,4,5,152,3,medium,M,25,1222,Yes
A,Ship,2,3,129,3,low,M,50,1111,Yes
B,Ship,5,2,140,3,medium,F,16,1969,Yes
C,Ship,4,1,270,4,medium,F,64,3312,Yes
F,Ship,3,2,183,3,medium,F,25,2023,Yes
D,Ship,4,1,264,3,low,F,39,3719,Yes
F,Ship,3,2,167,4,medium,M,49,1973,Yes
A,Ship,5,1,219,3,low,M,14,2447,Yes
B,Ship,4,2,225,3,low,M,52,3189,Yes
C,Ship,4,1,228,3,low,F,53,2021,Yes
F,Ship,3,5,119,3,medium,M,7,1021,Yes
D,Ship,3,5,244,3,low,F,8,3154,Yes
F,Ship,4,3,163,5,low,M,29,1349,Yes
A,Ship,4,5,260,3,medium,M,59,3951,Yes
B,Ship,4,3,135,2,medium,F,53,1073,Yes
C,Ship,5,2,167,3,medium,F,7,1939,Yes
F,Ship,4,4,233,3,medium,F,14,2522,Yes
D,Ship,4,5,147,2,medium,F,19,1940,Yes
F,Ship,2,4,159,2,low,F,17,1686,Yes
A,Ship,4,2,139,3,medium,M,5,1674,Yes
B,Ship,3,1,200,2,low,F,44,2651,Yes
C,Ship,4,1,221,3,low,F,3,2546,Yes
F,Ship,4,3,158,3,low,M,18,1036,Yes
D,Ship,4,5,227,3,low,M,65,3984,Yes
F,Ship,3,3,179,3,medium,F,12,1125,Yes
A,Ship,3,2,232,3,low,F,64,3131,Yes
B,Ship,3,3,139,2,low,M,9,1177,Yes
C,Ship,6,3,195,2,medium,M,21,3869,Yes
F,Ship,6,2,276,6,medium,M,7,2437,Yes
D,Ship,2,5,171,3,medium,F,13,1101,Yes
F,Ship,5,4,259,3,medium,F,43,2685,Yes
A,Ship,3,2,123,4,medium,F,7,1596,Yes
B,Ship,3,2,199,4,low,F,47,2208,Yes
C,Ship,4,3,226,2,low,F,32,2912,Yes
F,Ship,4,2,149,3,medium,F,54,1506,Yes
D,Ship,3,5,115,3,medium,M,60,1122,Yes
F,Ship,3,2,243,2,medium,M,26,2719,Yes
A,Ship,2,4,136,6,medium,M,58,1479,Yes
B,Ship,3,2,180,2,low,F,6,1811,Yes
C,Ship,4,1,274,4,medium,M,57,3332,Yes
F,Ship,6,5,233,6,medium,M,48,3341,Yes
D,Ship,3,2,254,2,medium,F,2,3239,Yes
F,Ship,4,5,153,3,high,F,3,1347,Yes
A,Ship,6,3,175,5,medium,F,64,1860,Yes
B,Ship,5,2,207,2,low,F,35,2184,Yes
C,Ship,3,1,153,2,low,F,6,1314,Yes
F,Ship,3,4,228,2,medium,M,65,3943,Yes
D,Ship,5,2,96,2,low,F,50,1186,Yes
F,Ship,4,4,241,3,high,M,39,3798,Yes
A,Ship,5,2,249,5,high,F,28,2846,Yes
B,Ship,3,3,188,5,low,M,25,3992,Yes
C,Ship,3,2,154,2,high,F,4,1009,Yes
F,Ship,4,4,226,2,high,M,53,3154,Yes
D,Ship,5,3,250,2,low,F,14,2064,Yes
F,Ship,3,1,150,2,medium,F,46,1431,Yes
A,Ship,3,5,267,2,low,F,16,2913,Yes
B,Ship,4,3,223,3,low,M,35,2715,Yes
C,Ship,4,5,192,3,medium,F,41,3873,Yes
F,Ship,3,2,143,3,low,F,58,1785,Yes
D,Ship,3,5,113,2,low,F,19,1660,Yes
F,Ship,4,1,135,3,medium,M,39,1549,Yes
A,Ship,4,4,189,4,high,F,56,2646,Yes
B,Ship,3,2,245,3,medium,M,13,3775,Yes
C,Ship,3,5,181,2,low,M,29,2217,Yes
F,Ship,3,2,207,2,medium,F,37,2460,Yes
D,Ship,3,1,169,2,medium,F,19,1183,Yes
F,Ship,4,5,206,3,low,F,65,2598,Yes
A,Ship,2,5,117,3,low,M,44,1192,Yes
B,Road,2,1,115,3,high,M,42,1247,Yes
C,Road,3,3,149,3,low,F,63,1196,Yes
F,Road,4,5,133,3,medium,M,3,1403,Yes
D,Road,4,3,271,2,medium,M,22,2595,Yes
F,Road,2,5,116,3,low,F,3,1688,Yes
A,Road,3,5,139,2,medium,M,64,1857,Yes
B,Road,4,3,216,3,medium,M,35,2567,Yes
C,Road,3,5,165,2,high,F,37,1234,Yes
F,Road,6,5,286,4,low,F,31,3774,Yes
D,Road,5,3,136,3,medium,F,13,1446,Yes
F,Road,4,5,225,4,low,M,48,2767,Yes
A,Road,4,2,163,3,low,F,27,1639,Yes
B,Road,4,3,272,4,low,M,61,2857,Yes
C,Road,4,3,135,2,high,M,24,1292,Yes
F,Road,4,5,184,3,low,F,64,3812,Yes
D,Road,4,5,219,2,medium,F,28,2164,Yes
F,Road,3,3,249,2,medium,M,53,2323,Yes
A,Road,2,3,142,3,low,F,46,1694,Yes
B,Road,5,2,137,3,medium,M,47,1023,Yes
C,Road,2,5,168,3,low,M,37,1717,Yes
F,Road,5,5,165,3,medium,F,32,1798,Yes
D,Road,3,3,199,2,low,M,4,3553,Yes
F,Flight,3,3,246,3,low,M,27,3648,Yes
A,Flight,5,2,224,4,medium,M,43,2336,Yes
B,Flight,5,5,216,6,low,M,54,2075,Yes
C,Flight,5,3,167,2,low,M,3,1140,Yes
F,Flight,4,2,182,3,medium,M,14,3413,Yes
D,Flight,6,1,126,3,medium,F,37,1697,Yes
F,Flight,5,1,170,3,medium,F,48,1299,Yes
A,Flight,4,2,148,3,medium,M,2,1805,Yes
B,Flight,4,2,141,3,medium,M,61,1875,Yes
C,Flight,5,5,169,2,medium,F,14,1497,Yes
F,Flight,5,2,143,3,medium,M,12,1802,Yes
D,Flight,4,5,156,3,low,F,60,1553,Yes
F,Flight,5,1,241,4,medium,F,19,2193,Yes
A,Flight,3,4,212,3,medium,F,13,2307,Yes
B,Flight,5,3,265,3,medium,M,30,2293,Yes
C,Flight,3,4,243,3,low,F,60,2980,Yes
F,Flight,5,2,209,4,medium,M,15,3330,Yes
D,Flight,4,5,229,3,medium,M,21,2688,Yes
F,Flight,3,1,257,2,low,F,45,3496,Yes
A,Flight,5,5,209,3,low,M,49,3893,Yes
B,Flight,3,3,142,3,medium,M,23,1897,Yes
C,Flight,3,5,208,4,medium,M,12,3181,Yes
F,Ship,6,3,167,6,low,F,15,1278,Yes
D,Ship,3,5,266,3,medium,M,16,2334,Yes
F,Ship,5,3,210,2,medium,M,44,3382,Yes
A,Ship,2,2,147,2,medium,F,49,1447,Yes
B,Ship,5,2,132,2,medium,M,8,1665,Yes
C,Ship,3,4,269,3,medium,F,21,3716,Yes
F,Ship,5,3,148,3,medium,F,48,1099,Yes
D,Ship,4,5,268,2,high,M,32,3675,Yes
F,Ship,3,5,156,2,low,F,43,1301,Yes
A,Ship,5,1,222,4,low,M,63,3506,Yes
B,Ship,4,5,151,3,high,F,31,1365,Yes
C,Ship,3,3,236,3,low,F,28,3652,Yes
F,Ship,3,5,229,3,medium,F,12,3049,Yes
D,Ship,4,3,261,3,low,M,42,2664,Yes
F,Ship,2,1,229,4,low,M,6,3757,Yes
A,Ship,4,5,205,3,low,F,60,2317,Yes
B,Ship,3,4,240,2,low,M,8,3883,Yes
C,Ship,4,3,209,6,low,F,59,2622,Yes
F,Ship,2,1,252,2,low,M,35,2526,Yes
D,Ship,3,4,140,2,medium,M,48,1102,Yes
F,Ship,5,4,156,2,low,F,57,1842,Yes
A,Ship,2,2,190,8,medium,M,33,3448,Yes
B,Ship,3,4,138,6,medium,M,5,1853,Yes
C,Ship,5,4,243,3,low,F,35,2899,Yes
F,Ship,3,1,183,2,low,M,58,3027,Yes
D,Ship,3,5,190,10,medium,M,26,3244,Yes
F,Ship,5,1,235,2,low,M,27,2451,Yes
A,Ship,3,2,143,6,medium,M,63,1953,Yes
B,Ship,3,1,176,2,medium,F,45,1470,Yes
C,Ship,3,5,178,3,low,F,39,1498,Yes
F,Ship,3,2,270,2,medium,F,59,3706,Yes
D,Ship,4,4,141,2,low,M,7,1479,Yes
F,Ship,4,3,220,3,medium,M,8,3342,Yes
A,Ship,5,5,264,3,medium,F,56,3482,Yes
B,Ship,3,5,150,2,low,F,48,1256,Yes
C,Ship,3,4,175,3,medium,M,4,1519,Yes
F,Ship,2,4,223,3,medium,F,19,3356,Yes
D,Ship,4,4,162,10,high,M,12,1583,Yes
F,Ship,6,4,221,10,medium,M,42,2972,Yes
A,Ship,5,1,216,3,low,M,40,2668,Yes
B,Ship,5,5,133,10,medium,M,9,1724,Yes
C,Ship,4,2,191,3,high,M,3,2353,Yes
F,Ship,4,5,156,3,low,M,39,1483,Yes
D,Ship,4,1,252,3,medium,F,30,2669,Yes
F,Ship,3,5,198,3,low,M,2,3417,Yes
A,Ship,2,3,139,8,medium,M,21,1033,Yes
B,Ship,2,1,255,3,low,M,19,1551,Yes
C,Ship,4,1,141,2,low,F,23,1689,Yes
F,Ship,4,1,151,3,high,F,39,1458,Yes
D,Ship,3,5,236,3,low,F,54,3976,Yes
F,Ship,3,4,229,3,medium,F,46,3223,Yes
A,Ship,4,3,261,3,low,F,6,2787,Yes
B,Ship,2,1,229,4,low,F,11,3614,Yes
C,Ship,4,4,205,3,low,F,58,2522,Yes
F,Ship,3,4,240,2,low,F,33,3489,Yes
D,Ship,4,4,209,6,low,M,62,3532,Yes
F,Ship,2,5,252,2,low,F,21,2070,Yes
A,Ship,3,3,140,2,medium,F,30,1547,Yes
B,Ship,5,3,156,2,low,M,1,1147,Yes
C,Ship,2,5,190,8,medium,M,11,2976,Yes
F,Ship,3,3,138,6,medium,M,49,1078,Yes
D,Ship,5,4,243,3,low,F,43,2866,Yes
F,Ship,3,5,183,2,low,F,10,2621,Yes
A,Ship,3,5,190,10,medium,M,32,2931,Yes
B,Ship,5,2,235,2,low,F,61,3451,Yes
C,Ship,3,1,143,6,medium,M,2,1323,Yes
F,Ship,3,3,176,2,medium,M,34,1856,Yes
D,Ship,3,1,178,3,low,F,11,1481,Yes
F,Ship,3,5,270,2,medium,F,46,2716,Yes
A,Ship,4,1,141,2,low,M,10,1340,Yes
B,Ship,4,5,220,3,medium,F,63,3109,Yes
C,Ship,5,5,264,3,medium,F,23,2837,Yes
F,Ship,3,5,150,2,low,M,29,1934,Yes
D,Ship,3,3,175,3,medium,F,32,1848,Yes
F,Ship,2,5,223,3,medium,M,35,3437,Yes
A,Ship,4,3,162,10,high,M,25,1764,Yes
B,Ship,6,3,221,10,medium,F,13,2219,Yes
C,Ship,5,5,216,3,low,F,5,3137,Yes
F,Ship,5,2,133,10,medium,M,53,1674,Yes
D,Ship,4,3,191,3,high,F,45,3714,Yes
F,Ship,4,5,156,3,low,F,33,1836,Yes
A,Ship,4,2,252,3,medium,F,43,3273,Yes
B,Ship,3,2,198,3,low,M,15,3250,Yes
C,Ship,2,4,139,8,medium,F,62,1180,Yes
F,Ship,2,4,255,3,low,F,55,1663,Yes
D,Ship,4,2,141,2,low,F,8,1495,Yes
F,Ship,5,2,263,2,medium,F,63,1254,Yes
A,Ship,3,3,179,3,medium,F,41,1892,Yes
B,Ship,4,5,212,4,low,M,21,1014,Yes
C,Ship,2,1,282,5,low,F,51,1362,Yes
F,Ship,3,5,165,3,medium,M,33,1500,Yes
D,Ship,4,1,189,2,medium,F,63,3474,Yes
F,Ship,5,5,157,4,medium,M,60,1407,Yes
A,Road,3,4,167,3,low,M,14,1420,Yes
B,Road,3,1,175,2,low,M,42,1668,Yes
C,Road,3,4,150,2,medium,M,64,1777,Yes
F,Road,4,2,128,5,low,F,28,1247,Yes
D,Road,5,2,236,2,low,M,24,3679,Yes
F,Road,4,3,162,2,medium,F,58,1708,Yes
A,Road,5,4,230,2,medium,F,48,3743,Yes
B,Road,5,3,225,4,low,F,60,2130,Yes
C,Road,2,2,285,2,medium,F,16,2223,Yes
F,Road,4,5,246,2,medium,M,31,2415,Yes
D,Road,4,4,196,2,low,F,6,2718,Yes
F,Road,5,4,211,6,low,M,33,3955,Yes
A,Road,3,1,197,2,low,M,4,3621,Yes
B,Road,5,3,203,2,low,F,37,3531,Yes
C,Road,4,2,161,3,medium,F,10,1928,Yes
F,Road,5,5,266,4,medium,M,62,2201,Yes
D,Road,4,1,190,3,low,F,32,2774,Yes
F,Road,3,2,140,3,low,F,42,1465,Yes
A,Road,4,1,274,4,medium,M,61,3402,Yes
B,Road,4,2,168,3,low,M,59,1717,Yes
C,Road,3,5,189,3,low,F,61,2203,Yes
F,Road,3,2,231,3,low,F,56,2714,Yes
D,Flight,5,1,189,3,medium,F,14,3318,Yes
F,Flight,4,1,220,2,medium,M,38,2368,Yes
A,Flight,5,4,190,2,medium,F,23,3960,Yes
B,Flight,4,2,238,3,low,M,30,3423,Yes
C,Flight,4,4,220,2,medium,F,33,2897,Yes
F,Flight,4,5,194,2,high,M,44,2651,Yes
D,Flight,3,3,203,3,medium,M,29,3261,Yes
F,Flight,3,5,258,3,low,M,21,3446,Yes
A,Flight,3,5,151,3,low,M,3,1273,Yes
B,Flight,3,2,218,3,medium,F,52,2149,Yes
C,Flight,5,1,265,3,medium,M,6,2452,Yes
F,Flight,4,1,157,3,medium,M,31,1712,Yes
D,Flight,4,2,214,3,medium,F,20,2009,Yes
F,Flight,4,4,221,4,medium,M,14,2932,Yes
A,Flight,3,2,149,2,medium,M,37,1699,Yes
B,Flight,4,2,273,5,medium,F,6,2126,Yes
C,Flight,5,1,253,5,low,M,31,3836,Yes
F,Flight,3,5,102,6,medium,M,3,1341,Yes
D,Flight,4,1,258,2,low,F,56,3186,Yes
F,Flight,4,2,273,2,low,F,9,3383,Yes
A,Flight,4,2,187,2,low,M,54,2191,Yes
B,Flight,5,1,151,2,medium,F,30,1377,Yes
C,Ship,2,4,120,2,medium,M,13,1240,Yes
F,Ship,3,1,254,2,low,M,56,3463,Yes
D,Ship,5,3,149,3,medium,F,43,1005,Yes
F,Ship,4,1,152,3,high,M,26,1464,Yes
A,Ship,5,4,187,3,low,F,53,3172,Yes
B,Ship,4,4,170,2,low,M,34,1512,Yes
C,Ship,3,3,156,3,high,F,20,1305,Yes
F,Ship,4,5,228,2,low,M,63,3401,Yes
D,Ship,3,1,272,2,low,M,51,2719,Yes
F,Ship,3,1,140,2,low,F,6,1435,Yes
A,Ship,3,5,185,2,medium,M,27,3624,Yes
B,Ship,5,3,167,3,low,F,5,1772,Yes
C,Ship,4,5,244,3,low,F,49,3914,Yes
F,Ship,3,4,229,6,medium,F,33,2815,Yes
D,Ship,4,1,273,3,medium,F,25,3717,Yes
F,Ship,4,3,204,3,low,M,30,3774,Yes
A,Ship,4,3,154,3,medium,M,10,1711,Yes
B,Ship,3,1,254,4,low,F,33,2542,Yes
C,Ship,3,2,151,3,low,M,40,1173,Yes
F,Ship,3,5,242,5,medium,F,61,3688,Yes
D,Ship,4,5,137,2,medium,F,14,1796,Yes
F,Ship,4,4,163,2,low,F,41,1634,Yes
A,Ship,3,3,143,3,medium,F,16,1343,Yes
B,Ship,4,4,196,3,low,F,11,3244,Yes
C,Ship,4,3,264,2,low,F,38,3877,Yes
F,Ship,4,1,217,3,medium,M,2,2692,Yes
D,Ship,3,3,124,3,medium,M,59,1959,Yes
F,Ship,3,1,269,3,low,M,61,3542,Yes
A,Ship,3,1,135,4,medium,M,47,1840,Yes
B,Ship,2,1,192,3,high,M,46,3206,Yes
C,Ship,4,1,274,4,medium,F,42,2430,Yes
F,Ship,3,2,162,4,low,M,25,1316,Yes
D,Ship,3,3,158,3,low,F,20,1431,Yes
F,Ship,5,3,225,3,medium,M,59,2270,Yes
A,Ship,2,5,150,3,low,F,16,1738,Yes
B,Ship,6,3,154,5,medium,F,57,1117,Yes
C,Ship,3,1,181,3,medium,M,34,3306,Yes
F,Ship,3,4,272,3,low,M,44,2548,Yes
D,Ship,3,3,160,4,medium,M,58,1496,Yes
F,Ship,5,5,145,3,medium,F,37,1993,Yes
A,Ship,4,4,143,5,high,F,5,1027,Yes
B,Ship,4,1,201,4,medium,M,59,2925,Yes
C,Ship,4,3,242,4,low,M,62,3997,Yes
F,Ship,4,4,151,2,low,F,38,1001,Yes
D,Ship,4,4,199,2,medium,M,25,3705,Yes
F,Ship,4,1,178,3,medium,M,9,1006,Yes
A,Ship,3,2,138,3,low,M,49,1923,Yes
B,Ship,5,3,162,4,medium,M,38,1407,Yes
C,Ship,4,3,154,3,low,M,33,1101,Yes
F,Ship,3,1,206,2,medium,F,56,2069,Yes
D,Ship,5,2,246,2,low,F,4,3617,Yes
F,Ship,4,3,233,2,medium,F,47,3606,Yes
A,Ship,4,1,251,4,medium,F,33,2906,Yes
B,Ship,3,1,165,3,medium,M,61,1313,Yes
C,Ship,4,3,183,2,low,F,32,3709,Yes
F,Ship,3,2,109,3,low,F,30,1597,Yes
D,Ship,5,3,209,4,medium,F,7,2675,Yes
F,Ship,5,2,168,3,low,F,50,1486,Yes
A,Ship,5,3,210,2,low,M,19,3920,Yes
B,Ship,3,1,185,2,low,F,41,3787,Yes
C,Ship,5,2,243,2,medium,M,58,2758,Yes
F,Ship,3,4,258,3,low,F,55,2777,Yes
D,Ship,4,4,279,5,medium,F,56,2697,Yes
F,Ship,3,1,160,3,low,M,57,1833,Yes
A,Ship,3,1,185,4,low,F,35,3648,Yes
B,Ship,4,3,271,4,low,F,24,3499,Yes
C,Ship,4,2,273,2,low,F,31,2229,Yes
F,Ship,3,4,208,3,medium,F,23,2100,Yes
D,Ship,2,2,137,3,low,F,20,1823,Yes
F,Ship,4,1,198,3,medium,F,56,3135,Yes
A,Ship,5,1,236,4,high,F,64,3231,Yes
B,Ship,5,5,133,2,low,F,18,1134,Yes
C,Ship,4,2,191,3,medium,F,12,3676,Yes
F,Ship,3,1,202,3,low,F,51,3551,Yes
D,Ship,5,1,162,5,low,F,47,1727,Yes
F,Ship,5,1,224,2,low,F,14,2959,Yes
A,Ship,4,2,191,2,high,M,65,3082,Yes
B,Ship,3,5,272,2,medium,M,31,2438,Yes
C,Ship,4,3,269,3,low,F,7,2538,Yes
F,Ship,4,2,179,3,high,F,30,1076,Yes
D,Ship,3,5,225,2,low,F,56,2596,Yes
F,Ship,3,2,132,2,medium,M,6,1185,Yes
A,Ship,5,3,244,3,low,F,52,3118,Yes
B,Ship,3,4,185,2,low,F,62,2849,Yes
C,Ship,3,3,257,3,low,M,64,3103,Yes
F,Ship,3,3,253,5,low,F,63,3788,Yes
D,Ship,4,3,174,3,low,F,5,1502,Yes
F,Ship,2,1,200,3,medium,M,34,2199,Yes
A,Ship,3,1,150,3,medium,F,8,1745,Yes
B,Ship,3,2,137,3,medium,F,9,1347,Yes
C,Ship,3,1,181,3,medium,M,29,2981,Yes
F,Ship,5,2,246,2,medium,M,13,2652,Yes
D,Ship,3,3,237,5,low,M,48,2057,Yes
F,Road,3,5,226,3,medium,M,55,2465,Yes
A,Road,4,4,225,3,low,M,51,2892,Yes
B,Road,3,2,268,2,low,M,20,2731,Yes
C,Road,4,3,146,3,low,M,41,1140,Yes
F,Road,4,5,159,3,low,M,2,1048,Yes
D,Road,3,1,135,3,low,F,38,1829,Yes
F,Road,3,2,134,2,medium,F,45,1946,Yes
A,Road,4,3,210,3,low,M,3,2742,Yes
B,Road,4,4,238,3,low,F,13,2042,Yes
C,Road,4,3,214,4,low,M,34,3446,Yes
F,Road,4,2,204,4,low,F,35,2725,Yes
D,Road,4,1,227,3,low,M,5,3100,Yes
F,Road,4,3,253,3,high,F,18,2849,Yes
A,Road,2,3,126,4,high,F,3,1364,Yes
B,Road,4,4,208,2,high,F,20,2759,Yes
C,Road,4,4,179,3,low,M,48,1943,Yes
F,Road,3,1,132,2,medium,M,62,1909,Yes
D,Road,3,4,144,3,low,M,56,1496,Yes
F,Road,3,3,236,2,medium,F,58,3360,Yes
A,Road,4,4,235,3,low,F,17,3715,Yes
B,Road,4,5,254,3,low,M,29,3885,Yes
C,Road,3,2,144,5,medium,M,43,1027,Yes
F,Flight,5,1,272,3,medium,M,27,2415,Yes
D,Flight,3,3,191,4,medium,F,17,3675,Yes
F,Flight,5,3,177,4,medium,M,60,1159,Yes
A,Flight,5,4,226,3,low,F,46,3149,Yes
B,Flight,3,4,132,2,medium,M,12,1493,Yes
C,Flight,3,1,121,5,low,F,60,1577,Yes
F,Flight,4,2,171,3,low,F,40,1021,Yes
D,Flight,3,3,178,3,high,M,12,1900,Yes
F,Flight,4,3,132,4,medium,M,10,1767,Yes
A,Flight,6,4,249,5,medium,M,43,3078,Yes
B,Flight,2,4,159,3,medium,M,47,1547,Yes
C,Flight,5,2,171,3,high,M,34,1029,Yes
F,Flight,3,3,150,3,low,M,6,1775,Yes
D,Flight,4,4,178,3,low,F,1,1165,Yes
F,Flight,3,3,192,7,high,F,25,2152,Yes
A,Flight,3,5,214,8,high,M,50,3628,Yes
B,Flight,5,3,225,7,medium,F,45,3162,Yes
C,Flight,5,4,167,7,medium,F,23,1691,Yes
F,Flight,3,5,245,4,medium,M,4,2769,Yes
D,Flight,4,5,138,7,medium,M,60,1366,Yes
F,Flight,4,4,173,3,medium,F,64,1847,Yes
A,Flight,3,5,98,3,medium,F,48,1635,Yes
B,Ship,3,1,231,2,low,M,44,3688,Yes
C,Ship,5,5,149,7,medium,F,50,1346,Yes
F,Ship,3,1,206,3,medium,M,28,2892,Yes
D,Ship,5,3,264,10,medium,F,34,3441,Yes
F,Ship,3,1,193,2,medium,F,23,2728,Yes
A,Ship,5,1,263,2,medium,F,4,1092,Yes
B,Ship,3,2,191,4,medium,F,16,2277,Yes
C,Ship,5,4,177,4,medium,M,48,1920,Yes
F,Ship,5,5,226,3,low,M,50,2348,Yes
D,Ship,3,1,132,2,medium,F,16,1731,Yes
F,Ship,3,1,121,5,low,M,62,1505,Yes
A,Ship,4,2,171,3,low,M,34,1352,Yes
B,Ship,3,3,178,3,high,M,43,1517,Yes
C,Ship,4,4,132,4,medium,F,44,1692,Yes
F,Ship,6,5,249,5,medium,M,26,3897,Yes
D,Ship,2,3,159,3,medium,F,39,1477,Yes
F,Ship,5,5,171,3,high,M,14,1554,Yes
A,Ship,3,1,150,3,low,F,43,1831,Yes
B,Ship,4,1,178,3,low,M,19,1906,Yes
C,Ship,3,3,192,7,high,F,36,3634,Yes
F,Ship,3,4,214,8,high,F,6,2924,Yes
D,Ship,5,3,225,7,medium,F,17,3516,Yes
F,Ship,5,4,167,7,medium,F,43,1619,Yes
A,Ship,3,2,245,4,medium,M,60,2178,Yes
B,Ship,4,4,138,7,medium,M,65,1530,Yes
C,Ship,4,4,173,3,medium,F,61,1609,Yes
F,Ship,3,2,98,3,medium,F,60,1057,Yes
D,Ship,3,1,231,2,low,M,24,3811,Yes
F,Ship,5,3,149,7,medium,F,51,1425,Yes
A,Ship,3,5,206,3,medium,M,21,3746,Yes
B,Ship,5,4,264,10,medium,F,34,2960,Yes
C,Ship,3,5,193,2,medium,F,12,3730,Yes
F,Ship,5,2,263,2,medium,F,51,1657,Yes
D,Ship,2,5,282,5,low,M,63,1173,Yes
F,Ship,5,4,193,3,low,M,55,2758,Yes
A,Ship,4,4,171,3,medium,F,11,1594,Yes
B,Ship,3,5,212,3,low,F,19,2703,Yes
C,Ship,2,1,159,2,low,F,44,1213,Yes
F,Ship,3,2,102,4,medium,M,57,1220,Yes
D,Ship,3,2,145,2,medium,F,29,1690,Yes
F,Ship,3,1,225,2,high,F,43,2585,Yes
A,Ship,2,1,174,3,medium,F,12,1358,Yes
B,Ship,4,3,223,4,low,F,25,3148,Yes
C,Ship,3,5,185,2,low,F,36,3501,Yes
F,Ship,4,5,245,3,medium,M,6,2717,Yes
D,Ship,3,3,99,3,high,M,63,1223,Yes
F,Ship,3,3,141,4,low,F,35,1417,Yes
A,Ship,4,2,222,2,medium,F,16,2518,Yes
B,Ship,3,2,192,3,medium,F,64,3233,Yes
C,Ship,3,1,187,4,medium,M,42,3621,Yes
F,Ship,4,2,216,2,low,F,26,2431,Yes
D,Ship,3,2,146,4,low,M,13,1790,Yes
F,Ship,3,2,207,2,low,M,20,3419,Yes
A,Ship,4,2,225,2,low,F,6,2010,Yes
B,Ship,3,4,230,2,medium,F,15,2302,Yes
C,Ship,3,2,173,3,medium,F,37,1990,Yes
F,Ship,4,4,127,4,high,M,54,1239,Yes
D,Ship,3,3,214,2,low,M,28,3869,Yes
